Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Positiver Höhenunterschied,Negativer Höhenunterschied,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Training Stress Score®,Grit,Flow,Kletterzeit,Grundzeit,Minimale Temperatur,Oberflächenpause,Dekompression,Beste Rundenzeit,Anzahl der Runden,Maximale Temperatur
Laufen,2020-11-29 13:57:53,false,"Lüneburg Laufen","13.22","749","00:54:10","161","187","3.4","168","195","4:06","2:10","69","58","1.45","0.0","0.0","0.0","0.0","0.0","54:10","0:00","9.0","0:00","Nein","02:08.28","12","0.0"
Laufen,2020-11-28 07:32:23,false,"Lüneburg Laufen","15.00","873","01:05:14","153","168","3.1","169","180","4:21","3:30","75","83","1.36","0.0","0.0","0.0","0.0","0.0","1:05:14","0:00","15.0","0:00","Nein","04:11.08","15","0.0"
Laufen,2020-11-27 11:10:46,false,"Lüneburg Laufen","7.90","442","00:37:41","143","157","2.1","168","179","4:46","3:46","41","39","1.25","0.0","0.0","0.0","0.0","0.0","37:41","0:00","14.0","0:00","Nein","04:11.75","8","0.0"
Laufen,2020-11-26 09:18:36,false,"Lüneburg Laufen","8.18","522","00:41:43","149","177","2.4","158","223","5:06","1:33","36","39","1.24","0.0","0.0","0.0","0.0","0.0","41:43","0:00","12.0","0:00","Nein","00:55.95","11","0.0"
Laufen,2020-11-25 08:56:55,false,"Lüneburg Laufen","11.91","660","00:55:00","146","160","2.3","169","180","4:37","4:00","54","61","1.28","0.0","0.0","0.0","0.0","0.0","55:00","0:00","16.0","0:00","Nein","03:57.84","12","0.0"
Laufen,2020-11-24 13:07:03,false,"Lüneburg - 12x500m Gelände","13.20","776","00:58:29","158","184","3.1","157","192","4:26","2:45","74","70","1.40","0.0","0.0","0.0","0.0","0.0","58:29","0:00","14.0","0:00","Nein","00:34.62","29","0.0"
Laufen,2020-11-22 14:17:37,false,"Lüneburg Laufen","14.90","874","01:05:51","154","175","2.8","165","176","4:25","3:59","84","87","1.37","0.0","0.0","0.0","0.0","0.0","1:05:51","0:00","16.0","0:00","Nein","03:49.96","15","0.0"
Laufen,2020-11-21 13:24:55,false,"Lüneburg Laufen","12.47","707","00:55:15","155","185","3.0","167","198","4:26","2:16","39","30","1.34","0.0","0.0","0.0","0.0","0.0","55:15","0:00","13.0","0:00","Nein","01:09.73","23","0.0"
Laufen,2020-11-20 13:23:33,false,"Lüneburg Laufen","8.45","477","00:38:59","145","157","2.2","163","174","4:37","4:18","38","36","1.33","0.0","0.0","0.0","0.0","0.0","38:59","0:00","12.0","0:00","Nein","02:03.62","9","0.0"
Laufen,2020-11-19 09:17:47,false,"Lüneburg Laufen","10.00","586","00:43:13","152","170","2.7","168","190","4:19","2:36","51","49","1.38","0.0","0.0","0.0","0.0","0.0","43:13","0:00","14.0","0:00","Nein","04:04.88","10","0.0"
Laufen,2020-11-18 09:13:49,false,"Lüneburg Laufen","10.00","627","00:41:51","159","174","3.3","166","178","4:11","3:50","52","50","1.44","0.0","0.0","0.0","0.0","0.0","41:51","0:00","16.0","0:00","Nein","03:59.37","10","0.0"
Laufen,2020-11-17 13:06:03,false,"Lüneburg - 8x700m Straße","12.53","707","00:51:17","161","186","3.4","167","186","4:06","2:43","35","39","1.45","0.0","0.0","0.0","0.0","0.0","51:17","0:00","16.0","0:00","Nein","01:27.69","21","0.0"
Laufen,2020-11-16 10:18:01,false,"Lüneburg Laufen","6.35","363","00:31:23","142","159","2.0","165","248","4:56","4:23","31","33","1.23","0.0","0.0","0.0","0.0","0.0","31:23","0:00","16.0","0:00","Nein","01:39.73","7","0.0"
Laufen,2020-11-15 14:25:16,false,"Lüneburg Laufen","11.03","649","00:51:13","154","181","3.0","161","188","4:39","2:43","161","157","1.33","0.0","0.0","0.0","0.0","0.0","51:13","0:00","18.0","0:00","Nein","00:26.89","29","0.0"
Laufen,2020-11-14 07:39:52,false,"Lüneburg Laufen","13.44","769","00:58:07","153","169","2.9","172","182","4:19","3:49","70","71","1.35","0.0","0.0","0.0","0.0","0.0","58:07","0:00","16.0","0:00","Nein","01:47.43","14","0.0"
Laufen,2020-11-13 12:29:57,false,"Lüneburg - 10x500m Straße","14.51","809","01:00:39","159","184","3.2","169","188","4:11","2:50","38","35","1.41","0.0","0.0","0.0","0.0","0.0","1:00:39","0:00","16.0","0:00","Nein","01:33.06","25","0.0"
Laufen,2020-11-12 14:20:55,false,"Lüneburg Laufen","15.00","899","01:04:57","157","175","3.1","171","182","4:20","3:48","86","90","1.35","0.0","0.0","0.0","0.0","0.0","1:04:57","0:00","14.0","0:00","Nein","04:05.95","15","0.0"
Laufen,2020-11-11 09:04:45,false,"Lüneburg Laufen","9.34","539","00:44:18","145","165","2.3","171","180","4:44","4:01","52","50","1.23","0.0","0.0","0.0","0.0","0.0","44:18","0:00","11.0","0:00","Nein","01:34.93","10","0.0"
Laufen,2020-11-10 13:13:41,false,"Lüneburg - 3x3000m Straße","14.55","814","00:57:33","167","188","3.8","171","186","3:57","3:12","50","49","1.47","0.0","0.0","0.0","0.0","0.0","57:33","0:00","11.0","0:00","Nein","02:12.26","16","0.0"
Laufen,2020-11-09 09:52:29,false,"Lüneburg Laufen","6.05","331","00:29:12","141","154","2.0","169","179","4:50","4:31","33","33","1.23","0.0","0.0","0.0","0.0","0.0","29:12","0:00","13.0","0:00","Nein","00:12.83","7","0.0"
Laufen,2020-11-08 13:42:36,false,"Lüneburg Laufen","16.77","922","01:16:22","151","169","2.5","164","194","4:33","2:20","55","49","1.34","0.0","0.0","0.0","0.0","0.0","1:16:22","0:00","17.0","0:00","Nein","03:23.77","17","0.0"
Laufen,2020-11-07 17:22:33,false,"Lüneburg Laufen","11.29","688","00:50:51","157","189","2.8","164","190","4:30","2:19","53","55","1.35","0.0","0.0","0.0","0.0","0.0","50:51","0:00","13.0","0:00","Nein","01:16.66","12","0.0"
Laufen,2020-11-05 14:14:03,false,"Lüneburg Laufen","11.60","688","00:57:04","152","198","2.6","158","198","4:55","2:24","123","123","1.26","0.0","0.0","0.0","0.0","0.0","57:04","0:00","15.0","0:00","Nein","00:27.10","29","0.0"
Laufen,2020-11-04 08:58:46,false,"Lüneburg Laufen","8.00","472","00:36:16","147","170","2.5","168","178","4:32","4:12","38","37","1.32","0.0","0.0","0.0","0.0","0.0","36:16","0:00","14.0","0:00","Nein","04:23.46","8","0.0"
Laufen,2020-11-03 12:57:03,false,"Lüneburg - 4x2000m Straße","14.46","849","00:57:23","168","194","3.8","171","182","3:58","3:11","27","27","1.47","0.0","0.0","0.0","0.0","0.0","57:23","0:00","16.0","0:00","Nein","00:00.73","18","0.0"
Laufen,2020-11-02 15:32:41,false,"Lüneburg Laufen","6.00","345","00:27:56","145","164","2.1","163","174","4:39","3:59","29","29","1.32","0.0","0.0","0.0","0.0","0.0","27:56","0:00","21.0","0:00","Nein","04:27.28","6","0.0"
Laufen,2020-11-01 14:11:24,false,"Lüneburg Laufen","15.03","884","01:10:00","151","164","2.5","167","180","4:39","4:00","96","89","1.28","0.0","0.0","0.0","0.0","0.0","1:10:00","0:00","20.0","0:00","Nein","00:08.67","16","0.0"
Laufen,2020-10-31 14:23:53,false,"Lüneburg Laufen","10.00","617","00:47:14","149","173","2.3","163","238","4:43","2:14","55","48","1.30","0.0","0.0","0.0","0.0","0.0","47:14","0:00","18.0","0:00","Nein","04:05.64","10","0.0"
Laufen,2020-10-29 17:23:38,false,"Lüneburg Laufen","13.82","764","01:07:05","149","209","2.8","160","194","4:51","2:15","69","59","1.26","0.0","0.0","0.0","0.0","0.0","1:07:05","0:00","12.0","0:00","Nein","01:26.49","15","0.0"
