Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Positiver Höhenunterschied,Negativer Höhenunterschied,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Training Stress Score®,Grit,Flow,Kletterzeit,Grundzeit,Minimale Temperatur,Oberflächenpause,Dekompression,Beste Rundenzeit,Anzahl der Runden,Maximale Temperatur
Laufen,2020-12-31 14:56:38,false,"Deinste Laufen","1.81","123","00:08:48.3","145","153","1.5","167","172","4:51","4:21","3","1","1.24","0.0","0.0","0.0","0.0","0.0","8:48.3","0:00","14.0","0:00","Nein","03:54.18","2","0.0"
Laufen,2020-12-31 14:37:21,false,"Silvesterlauf 5k","5.01","280","00:16:29","181","189","3.0","181","188","3:18","3:03","11","17","1.68","0.0","0.0","0.0","0.0","0.0","16:29","0:00","8.0","0:00","Nein","00:00.86","6","0.0"
Laufen,2020-12-31 14:07:39,false,"Deinste Laufen","4.00","235","00:19:33","142","152","1.6","164","172","4:53","4:31","16","3","1.25","0.0","0.0","0.0","0.0","0.0","19:33","0:00","10.0","0:00","Nein","04:43.39","4","0.0"
Laufen,2020-12-30 13:32:28,false,"Deinste Laufen","10.04","544","00:48:25","140","169","2.1","167","192","4:50","2:19","18","23","1.24","0.0","0.0","0.0","0.0","0.0","48:25","0:00","15.0","0:00","Nein","00:12.09","11","0.0"
Laufen,2020-12-29 12:38:02,false,"Deinste - 5x5Min Gelände","15.70","874","01:02:36","163","183","3.4","173","186","3:59","3:08","48","49","1.45","0.0","0.0","0.0","0.0","0.0","1:02:36","0:00","9.0","0:00","Nein","05:00.00","11","0.0"
Laufen,2020-12-28 14:12:02,false,"Deinste Laufen","6.00","379","00:27:56","150","163","2.4","171","178","4:39","4:15","11","11","1.26","0.0","0.0","0.0","0.0","0.0","27:56","0:00","17.0","0:00","Nein","04:32.41","6","0.0"
Laufen,2020-12-27 10:56:17,false,"Deinste Laufen","13.47","864","00:57:53","160","178","3.4","172","184","4:18","3:51","50","39","1.36","0.0","0.0","0.0","0.0","0.0","57:53","0:00","14.0","0:00","Nein","02:04.61","14","0.0"
Laufen,2020-12-26 13:07:47,false,"Deinste - 8x1000m Gelände","15.75","891","01:03:01","162","182","3.5","174","192","4:00","3:04","65","54","1.43","0.0","0.0","0.0","0.0","0.0","1:03:01","0:00","10.0","0:00","Nein","02:13.05","17","0.0"
Laufen,2020-12-25 14:11:58,false,"Deinste Laufen","8.23","464","00:35:24","149","160","2.6","166","178","4:18","3:54","26","20","1.40","0.0","0.0","0.0","0.0","0.0","35:24","0:00","8.0","0:00","Nein","00:54.79","9","0.0"
Laufen,2020-12-24 13:43:31,false,"Deinste Laufen","8.34","506","00:42:31","146","177","2.2","156","218","5:06","2:19","22","22","1.25","0.0","0.0","0.0","0.0","0.0","42:31","0:00","12.0","0:00","Nein","00:47.10","12","0.0"
Laufen,2020-12-23 10:57:20,false,"Deinste Laufen","12.10","682","00:56:28","145","167","2.3","170","186","4:40","4:12","31","27","1.26","0.0","0.0","0.0","0.0","0.0","56:28","0:00","15.0","0:00","Nein","00:26.42","13","0.0"
Laufen,2020-12-22 14:22:44,false,"Deinste - 10x1Min Gelände","10.72","635","00:44:51","158","187","3.2","171","196","4:11","2:33","19","32","1.39","0.0","0.0","0.0","0.0","0.0","44:51","0:00","14.0","0:00","Nein","00:53.58","24","0.0"
Laufen,2020-12-20 14:53:18,false,"Deinste Laufen","18.09","1,069","01:17:37","155","170","3.1","163","176","4:17","3:55","41","43","1.43","0.0","0.0","0.0","0.0","0.0","1:17:37","0:00","15.0","0:00","Nein","00:21.52","19","0.0"
Laufen,2020-12-19 13:42:19,false,"Lüneburg Laufen","8.07","465","00:40:19","143","174","2.0","155","228","5:00","2:20","39","37","1.29","0.0","0.0","0.0","0.0","0.0","40:19","0:00","14.0","0:00","Nein","00:27.61","11","0.0"
Laufen,2020-12-18 15:20:47,false,"Lüneburg Laufen","15.04","880","01:07:32","152","164","2.6","166","178","4:29","3:53","94","86","1.34","0.0","0.0","0.0","0.0","0.0","1:07:32","0:00","13.0","0:00","Nein","00:08.70","16","0.0"
Laufen,2020-12-17 14:35:11,false,"Lüneburg Laufen","14.71","812","01:04:31","154","181","3.0","166","192","4:23","2:21","44","41","1.37","0.0","0.0","0.0","0.0","0.0","1:04:31","0:00","14.0","0:00","Nein","00:43.38","33","0.0"
Laufen,2020-12-16 09:06:44,false,"Lüneburg Laufen","11.89","667","00:53:52","146","161","2.5","171","182","4:32","4:00","60","60","1.29","0.0","0.0","0.0","0.0","0.0","53:52","0:00","14.0","0:00","Nein","03:58.03","12","0.0"
Laufen,2020-12-15 13:18:32,false,"Lüneburg Laufen","12.34","747","00:50:17","164","191","3.5","172","189","4:04","3:00","38","32","1.42","0.0","0.0","0.0","0.0","0.0","50:17","0:00","14.0","0:00","Nein","00:59.56","14","0.0"
Laufen,2020-12-13 14:53:19,false,"Lüneburg Laufen","15.00","882","01:04:51","155","175","3.0","167","178","4:19","3:56","89","89","1.39","0.0","0.0","0.0","0.0","0.0","1:04:51","0:00","10.0","0:00","Nein","04:10.10","15","0.0"
Laufen,2020-12-12 13:38:30,false,"Lüneburg Laufen","13.46","727","00:55:18","156","187","3.1","169","192","4:07","2:17","65","64","1.43","0.0","0.0","0.0","0.0","0.0","55:18","0:00","12.0","0:00","Nein","01:07.31","13","0.0"
