,time,x_mean,x_max,x_min,x_std,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean,x_range,y_range,z_range
0,0,0.021821559631235228,4.59679522877522,-4.485016148029887,1.4845665284911482,4.220565552923557,98.63199451818103,13.0,37.25358329977141,0.006623617190727988,5.072398796320679,-5.027782872701996,1.749758002902217,6.038833328751712,200.16642848122092,22.0,48.281159857077164,0.006490886743840188,6.118689002445301,-6.067230736867013,2.0722405739405594,8.449588760284266,193.05630988650012,28.0,78.18406171481865,9.081811376805106,10.100181669022675,12.185919739312315
1,10,-0.0005658616037542226,4.6566534355564375,-4.703909055019763,1.497551537405395,4.405705383533331,102.35759218248968,14.0,40.33202853270244,-0.009339504608599752,4.93342380596976,-5.070763004269574,1.6403114586757714,5.191819773080142,98.04630900465484,18.0,43.34151606280627,0.03076914523278602,5.9098710292003895,-6.019189706637653,2.376328403448698,10.955912019351313,170.84610703203538,33.0,102.66899791803469,9.3605624905762,10.004186810239334,11.929060735838043
2,20,0.009777802339306734,4.498417729098262,-4.785385853464544,1.5241823448413596,4.567912421701782,139.81967760612054,14.0,40.64712912161612,0.006959511463472109,4.469563910912923,-5.059670222872676,1.5836741313351352,4.894830056489572,145.23564345525367,19.0,38.610073404609494,0.0015870640894423227,5.849908945586767,-5.6589313091113285,1.9198635617343984,7.299506817354064,173.6782021460239,20.0,73.86015673301455,9.283803582562806,9.5292341337856,11.508840254698097
3,30,0.006369054592393458,4.541412246506695,-4.77797608787632,1.593918169586139,4.845676522825235,145.19964821043993,16.0,44.748317325007996,0.007957257390594968,5.114917325047546,-5.117320353028332,1.9168647625367659,7.060936889977556,275.9285167972334,21.0,57.640826096204094,0.009151206780640419,6.1191552764135775,-5.6380214084760825,2.283231360994259,9.898613943079381,248.915411675026,31.0,90.72017428546927,9.319388334383016,10.23223767807588,11.75717668488966
4,40,-0.002345938163613691,4.260901314569422,-4.782414390968691,1.462545776548378,4.235708186593409,216.54598172519914,8.0,38.73734381861556,0.011678898528709873,4.706200663775905,-4.909406069734477,1.6110531845770515,5.0839853793161005,229.34004987448404,14.0,41.866362102695014,-0.0037322858432144103,5.825699250138978,-5.776209101735264,1.838640814500201,6.658501990876607,227.29158298968557,17.0,69.152114219314,9.043315705538113,9.615606733510383,11.601908351874243
5,50,-0.0038077760316599907,4.743597953999258,-4.698402233636815,1.6440336709561676,5.346259856010524,211.67828413104573,14.0,47.72660132480717,0.0114379802825628,5.0598581321043925,-5.125056939343363,1.7967057680905874,6.296314733748876,278.4235858911299,15.0,51.35338725877836,-0.00331947165706792,5.9190788496869615,-5.504644987353685,1.9974976807153868,7.87514230903961,238.12200373488685,16.0,76.35274207694822,9.442000187636072,10.184915071447755,11.423723837040647
6,60,-0.0007225283943250798,4.586272716659313,-4.389897429226632,1.434341206756275,4.089918549738475,279.3693568603732,6.0,35.161502701120384,0.0034796072171778196,4.750544679245825,-4.854587633545783,1.57892448328413,4.917496470591515,238.38769013089532,9.0,41.79837287851534,0.006506187952400477,5.9665897912519394,-4.856693607137087,1.7895425647566578,6.329816091281413,281.5014240332371,14.0,60.93701429139252,8.976170145885945,9.605132312791607,10.823283398389027
7,70,-0.004315439217051232,4.832715909333807,-4.740795560079376,1.5038882218529979,4.47759599006642,389.69096626604585,8.0,40.14828705096397,-0.00567138759957605,4.96557704261674,-4.7975775876071225,1.5322320453428822,4.625452751294255,248.9507575458726,12.0,38.961365105134924,-0.0015255892111959834,6.0259630839352365,-5.799072827874816,1.923643069524709,7.342027661023258,231.01790203046798,20.0,75.63268675160975,9.573511469413184,9.763154630223863,11.825035911810051
8,80,-0.00020474789560756833,4.524729106184769,-4.780912551462132,1.4735804827502057,4.280418502740134,69.3524589664284,18.0,38.95535924281504,0.0018347138982768376,4.427310799207274,-4.990443409816177,1.674650626111669,5.470154245662801,123.8240398595989,17.0,44.42037934488392,-0.00956219181482133,5.5681920958305655,-5.846046015585373,1.946892758922187,7.497969390945752,93.7543191862104,25.0,76.5925414933573,9.305641657646902,9.417754209023451,11.414238111415939
9,90,-0.0010383699738572378,4.829208978097981,-4.746795727113192,1.8175792441858751,6.520173499687058,183.07400782192968,18.0,59.403846675518125,0.009599899335360478,5.109666066445394,-5.048423429032299,1.7379276179261867,5.900069944487948,139.3180520091169,18.0,51.86871424031095,0.01421918656136755,6.022653669304936,-5.731189237405946,2.13573755307204,8.980814634193719,178.7298817316891,27.0,88.48824555183985,9.576004705211172,10.158089495477693,11.753842906710883
10,100,-0.0039113585370290265,4.458804705945344,-4.722113842692026,1.82340063723407,6.445451859238219,117.9294408654767,17.0,60.4365754339045,-0.014428609080559165,4.483786085371515,-4.8794472965413735,1.8357710636605955,6.607622602292996,102.78958255382267,24.0,56.010119628625866,-0.023363129115915725,6.085171840099096,-5.946687771982149,2.112531246280935,8.756613372918759,150.92653809630045,30.0,87.90749940421811,9.180918548637369,9.363233381912888,12.031859612081245
11,110,0.003551283679684366,4.662063730280742,-4.812113899740437,1.8721416443883796,6.882212954744532,166.37449012006903,23.0,71.12835863014475,-0.012119527585278213,5.056299690203632,-5.085962582232914,2.0149664153793565,7.925476428369013,177.19201776843897,26.0,72.3551321972433,-0.011484582632417459,6.085949538416388,-5.902332833041557,2.1855397424419394,9.377433842960675,175.20070154977515,32.0,106.84492445423889,9.47417763002118,10.142262272436547,11.988282371457945
12,120,0.026267774805802845,4.833443631844998,-4.665447335763876,1.621253551153272,5.063618803044461,206.09386950232184,12.0,46.27983098709956,-0.023327085729865353,5.090493416168648,-5.114570535104364,1.9028193111329825,7.004709538751681,163.1192006254024,22.0,57.14214411145983,-0.015502184503256501,5.9545346237769285,-5.7373664872583205,1.9448084404150596,7.271717777494268,174.37592073799635,21.0,74.96788586714575,9.498890967608872,10.205063951273011,11.69190111103525
