,time,x_mean,x_max,x_min,x_std,x_range,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_range,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_range,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean
0,0,0.004939543093924756,3.0710084728793605,-3.8513196860778383,1.1144285136505607,6.922328158957199,2.40319833288362,50.038445459755565,4.0,21.8744554233688,0.0005812035619824237,3.5295953330528547,-3.5605171781573897,1.2080711127494057,7.090112511210244,2.8235098819242594,56.291971090811394,8.0,23.22523155875155,0.0038759748542285272,4.387483820900944,-4.4974573716480775,1.6643322055911398,8.884941192549022,5.389648610531196,93.37868279221954,16.0,50.482954844006024
1,10,-0.00932165511486488,3.3387991013381373,-3.9464707384382276,1.2493225666334715,7.285269839776365,2.998158726694239,53.40572324881193,12.0,25.60506048857198,-0.00756892362333128,3.548837494301336,-3.5760984113075804,1.4003628378226425,7.1249359056089165,3.8007994183417884,67.8334431456431,12.0,30.44377975755683,0.004727500830961408,4.453643788131172,-4.474148608741666,1.6601734034483633,8.927792396872839,5.4278611732384165,80.0700927340504,22.0,49.948283891728146
2,20,-0.007303209412587673,4.042649115057209,-3.8505053452848284,1.2061009152058275,7.893154460342037,2.83574601087735,47.28506587476506,6.0,25.94143891028372,0.0011217584029097854,3.4709156427320766,-3.523692286942444,1.2550042579073375,6.994607929674521,2.898561042268303,55.00473192466656,11.0,23.37085862014847,-0.0126559079005415,4.4829639220730355,-4.447369346477427,1.4931786268039489,8.930333268550463,4.296920401173787,51.933779025488334,18.0,42.9679973563841
3,30,0.00326495811853468,3.2853639771178167,-3.305414173174189,1.037871870398275,6.590778150292006,2.1154215903072697,63.38819281133028,3.0,18.647366121827112,-0.00016440653996121002,3.413910979502372,-3.41167872727026,1.0454903393286026,6.825589706772632,2.159830299935182,93.05121806324588,4.0,16.695580698070746,-0.003624521907544335,4.46022931595916,-3.9795461056127137,1.2041713068186755,8.439775421571873,2.874204034362593,58.27975881071809,6.0,30.154935456674067
4,40,0.00023710886782949659,3.3901281797747567,-3.467697845292471,1.080130832391074,6.857826025067228,2.3104578592659717,66.5193640960492,5.0,19.664115861215873,0.0030387771171396134,2.8208351422616467,-2.961718978396573,0.9936122619608722,5.78255412065822,1.9510143502059414,34.47735029610891,6.0,16.150377437431622,0.003333547887459246,4.513851703425174,-3.3269640647235064,1.2649499457761602,7.84081576814868,3.177477214790688,128.79820311333285,9.0,30.016571171468343
5,50,0.007651739664697411,4.005772556046841,-4.1216106868505955,1.3542131458832327,8.127383242897437,3.5300243848944994,85.64650875358612,9.0,31.003237417520577,-0.0026313219710907324,3.5020698420208984,-3.3101186701027263,1.198740105460506,6.812188512123624,2.8247765436006214,164.29313724839187,10.0,22.497406002297954,-0.0019486013739258743,4.360278760778887,-4.3875516606602565,1.3529115995914633,8.747830421439144,3.598534062942459,99.87332404997603,10.0,35.8606404771439
6,60,-0.003983995139598231,3.8119713349848103,-3.932857922100237,1.2894767962786606,7.744829257085048,3.240596855557006,63.249327706511224,9.0,27.68245117409735,-0.0005011753075177059,3.4598072252367253,-3.3138780944404207,1.237650972505198,6.773685319677146,3.0129271308290004,86.0971596526052,9.0,23.730434451100436,0.008016256299334898,4.018972738941477,-4.295605899630609,1.2419961835667566,8.314578638572087,3.046539960565629,131.94721056662053,6.0,29.610908635285806
7,70,0.0065539674974666425,2.77441974951738,-3.67521968476278,1.0340099308051842,6.44963943428016,2.0884390373068125,58.762085047180975,4.0,18.12762960049784,0.004843861892799126,3.4128364236534114,-3.321934761790289,1.0894795617753954,6.7347711854437,2.3365143762488576,64.63253407086748,8.0,17.69729714314645,-0.004292471259876388,3.514808417826951,-3.969611689469189,1.141926708917314,7.48442010729614,2.584179558984578,36.520734346723685,5.0,26.163000742340728
8,80,0.016035901198332914,3.9260601896143137,-3.9798805985787435,1.3731967658688238,7.905940788193057,3.719344974177295,153.90964100318348,8.0,32.05777740022967,-0.00031399901755850654,3.576342900698368,-3.3004077171390933,1.2400958027683249,6.876750617837461,3.0459839268319295,120.75876051174549,7.0,23.69541165927247,-0.0022959038108941103,4.388870612458076,-3.898692737844988,1.3586737815867416,8.287563350303063,3.6653640500333315,187.70391060679404,8.0,34.73111626363706
9,90,0.0005888653016808587,3.738156251268438,-3.9464410341470164,1.3660925251343043,7.684597285415455,3.685062310834398,127.59850546559122,11.0,30.354843778476855,0.004720676669007073,3.4914495843097915,-3.5078127853040324,1.2291367070267187,6.999262369613824,2.9889119848245014,104.7443560763517,11.0,23.233885341762782,-0.003286393899926584,4.255641156761449,-4.444703266312471,1.286162580084201,8.70034442307392,3.2764515987759535,107.91041495012928,8.0,30.966021583833463
