,time,x_mean,x_max,x_min,x_std,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean,x_range,y_range,z_range
0,0,-0.00401216458067006,3.0912996621977173,-3.3075451104303997,1.0006840344772334,1.9759370783945016,35.76992544058846,4.0,18.564150515597177,-0.0034036800851267647,5.999833738876399,-5.615430559976039,1.5568196734348771,4.694872284704285,115.09770717602565,12.0,39.59260577264376,0.002909607584477087,8.079621477247834,-7.4438140860293975,2.427718617264735,11.653079794988244,190.79898741554675,42.0,106.33299360160981,6.398844772628117,11.615264298852438,15.523435563277232
1,10,0.002185549088232694,3.4970433927192164,-3.7709284787344703,0.976977874917904,1.8811879315216187,29.091539516345087,2.0,19.95493803550274,0.01870947454592098,6.291171299882362,-5.984566011949201,1.8784872392081573,6.9176535472063865,191.7261594373834,14.0,58.38109470589786,-0.019913465981323188,7.953640052239679,-8.151871761542372,2.4147041801827926,11.436524207398085,190.1481355818486,41.0,106.40406033073852,7.267971871453687,12.275737311831563,16.10551181378205
2,20,-0.0007910359592384728,3.7193147492386585,-3.962998787941924,1.276516878116632,3.2226453388118457,44.789599115805004,6.0,32.90830542343947,0.017335165453826615,6.260772212280305,-6.271975580921953,2.205817084846986,9.493241064766957,310.3760734589267,25.0,82.75706168938409,-0.0020022361741935933,7.821743441949356,-8.21541895048075,2.735146043059758,14.67663947480674,222.41801118091058,54.0,145.18584826663056,7.682313537180582,12.532747793202258,16.037162392430105
3,30,-0.006969040360028721,3.9001202075838792,-3.944499492970672,1.0890337906034533,2.3128645862995167,21.254852761048365,2.0,25.166380593121506,-0.01214828926893638,6.18941595342255,-6.126812860365102,2.026423966151263,7.972200865410281,302.3001009567436,21.0,72.95884058350676,-0.012515593551644208,6.9388992788030395,-7.631620988196953,2.2082769919444813,9.628286170660209,101.88204117956903,34.0,105.15073022697403,7.844619700554551,12.316228813787653,14.570520266999992
4,40,-0.0013563613320045657,3.6380673560935914,-3.5216323308406285,1.0631452391170364,2.2333395024818827,29.4516280810224,1.0,24.527145687945577,0.002158797137303581,5.8711573633053264,-5.894535988296141,2.003817911653186,7.9297144524241965,123.3780752705145,22.0,76.31030288092074,-0.001308986632102168,7.198742382662859,-7.254822922465752,2.2957607375916584,10.411613657938979,147.28194697482195,42.0,109.54232613868413,7.1596996869342195,11.765693351601467,14.45356530512861
5,50,0.02186116940863311,3.841200336076424,-3.958240645200612,1.3897734050082626,3.713886702825968,45.29337804042327,6.0,43.001594476758115,0.0012417412755647845,6.1468639046784,-6.221861583616144,2.440697563092864,11.41589819689359,450.0441071657267,36.0,106.52174745380744,-0.06453951228978388,8.08915254267767,-8.132415291349393,3.002921683360603,17.188681590388306,286.25342191818874,58.0,196.0267600597113,7.799440981277036,12.368725488294544,16.221567834027063
6,60,0.00483753729256007,3.819030100146933,-3.950813222185405,1.2421575159342424,2.959439938455483,28.68564629144394,5.0,33.321182495604816,-0.005222018677801468,5.745669830612362,-4.698786535545838,1.6313080617745397,5.184525291025875,54.99173094173341,16.0,53.64853978820884,-0.013416607394801177,8.097856485154995,-7.95038044558772,2.4523348101255436,11.642956660770983,130.07619610615052,44.0,133.24655694815058,7.769843322332338,10.4444563661582,16.048236930742714
7,70,-0.0029252003510042337,3.829992729622692,-3.7829323975603533,1.3738359928277615,3.673804486312913,37.769260427206355,5.0,41.51465280146455,0.017290097329456553,6.2159103270874905,-6.224234397695093,2.2242975698819376,9.671344554513984,163.34384834300468,33.0,89.28790889796146,-0.045829088111545145,8.123916913939643,-8.076333930580399,2.7735829384114474,15.029575983517686,228.30154203005975,57.0,168.25659250915794,7.612925127183045,12.440144724782584,16.200250844520042
8,80,-0.006558830439810015,3.877108788629407,-3.7861656888377375,1.338378704884494,3.4931478339077735,54.679340806804504,8.0,37.79487885891975,0.00800704849657372,6.0726740257415575,-5.824487524482252,2.0135747336486616,7.924867761283887,125.67818393092298,29.0,69.83618237469534,-0.002993300883724273,8.005694175936487,-8.035368179721896,2.743396135942645,14.814207373017492,185.8082881308317,49.0,156.27757818509536,7.663274477467144,11.89716155022381,16.041062355658383
9,90,-0.03279858043371235,3.9460498238382704,-3.947146381016478,1.790294673351755,5.8322794715974435,82.61268464784114,21.0,60.38374559609086,0.05088920408248389,6.255604679929367,-6.204265133348877,2.735168022544229,13.99917725732498,184.22642824618035,47.0,131.28978300183962,-0.04514027424490823,8.150952729108873,-8.151903099657988,3.3548994030194574,21.494489429424743,464.74087176602103,63.0,217.4559567292065,7.893196204854748,12.459869813278244,16.30285582876686
