,time,x_mean,x_max,x_min,x_std,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean,x_range,y_range,z_range
0,0,0.01765378705930302,3.6360077123170926,-3.5952820843338062,1.395704344571058,3.6840482012467275,43.21690150874208,9.0,42.766552442385745,0.0233181395019926,6.322592774555041,-5.952285068995613,2.4244800220284968,11.13558807550073,210.53731675998222,34.0,110.02010427352717,-0.01567863925378513,8.465112495322904,-8.726898082520183,3.617495620970705,25.479030944954722,474.5083059588764,74.0,264.0413811495647,7.231289796650898,12.274877843550653,17.192010577843085
1,10,-0.02458535920831028,3.561802388991712,-3.621707321673286,1.4174130438473738,3.822017485271414,34.48506308136717,11.0,38.73770843688456,-0.005528029870440875,6.253470442932827,-5.6077604244657175,2.186449657162283,9.004401443473817,116.49203428098922,33.0,88.47701748362184,0.010921951298570258,8.82870412883588,-8.254024816475447,3.2113745725627743,20.12464156401874,272.3949956935826,67.0,219.39696227072227,7.183509710664998,11.861230867398545,17.082728945311327
2,20,-0.0024724223802180534,3.6327366108846917,-3.5704648112929784,1.4440488447287698,3.9497473962721625,36.20967828266022,13.0,43.38157072736915,0.01362007333926703,6.212811177673456,-6.323886692197952,2.879657137226794,15.685994804258128,194.9820402810697,39.0,142.08853038740656,-0.028570989911067803,8.689021952085959,-8.756437013501692,3.4921084809117517,23.982136067693126,338.60998008494124,70.0,259.271907653673,7.203201422177671,12.536697869871407,17.44545896558765
3,30,-0.001848474248343412,3.6225595656659295,-3.6246000573542636,1.405721505318933,3.836185339985897,89.12624798466217,9.0,43.40175922068854,0.0023496057780687776,6.203886273805723,-6.31540278513152,2.6074304605470577,12.766641876423561,454.08727231667564,31.0,120.88256761974127,-0.05034635489670271,8.596834010564418,-8.698570397467341,3.240487567342605,20.226732078780543,446.244895746468,55.0,218.18262745995585,7.247159623020194,12.519289058937243,17.295404408031757
4,40,-0.000957042655253666,3.617118897957142,-3.6156121228112217,1.4175494635566732,3.8694663479139617,43.78301035289979,12.0,44.414531918155014,0.0314623125357985,6.322914270709162,-6.18518118843148,2.5612293431590785,12.506954324521729,235.60251610496982,37.0,121.49954197597349,-0.0027925749514975473,8.805160672625671,-8.853208816977556,3.473540793132996,23.438660068705623,406.4352405720676,70.0,248.2249653404519,7.232731020768364,12.508095459140641,17.658369489603228
5,50,0.008129110239280576,3.6387956522948537,-3.6360198951520224,1.1919586613833344,2.7943700983989572,44.21348011503665,6.0,30.64893090437134,0.0017202781321131169,6.204737430052951,-6.342220972854833,2.344470923232809,10.637359655515422,386.74161794741065,27.0,97.91413341389605,-0.0213143571071903,8.807932777691512,-8.870489023884252,3.1382408342810946,19.513239575057533,500.73839585304677,59.0,206.51971603117303,7.274815547446876,12.546958402907784,17.678421801575766
6,60,0.005430140269696495,3.3066634491267615,-2.7649512081249323,1.0504898017297672,2.188359258742718,63.84129597630375,5.0,21.81209673586063,-0.004393492276613694,5.799629075339702,-6.2669661790538385,1.9650643042558003,7.598712378479604,306.0352545329143,19.0,65.26674405785302,-0.002365615535746391,7.46766523548532,-8.776282187621927,2.507997570504475,12.540737512535237,336.49315141225907,27.0,123.18711607351977,6.071614657251693,12.06659525439354,16.243947423107247
7,70,-0.0039866798300010825,3.3187031424540523,-3.0833384453858366,0.9511197475036256,1.7820822123924167,30.263305922565245,5.0,17.566620891637008,0.012444774344013292,5.009357378788733,-5.748933817949794,1.6156459753953838,4.91204474430581,242.31549199751268,13.0,41.83374567646001,-0.007392041752396466,7.985444705846344,-8.130197227505766,2.6584197909511866,14.0210721543657,640.0446515822415,28.0,128.06223476191573,6.402041587839889,10.758291196738528,16.11564193335211
8,80,0.011213771926113449,3.5656739748174298,-3.613089557454869,1.2814781335851582,3.1554157146093162,74.25057442739495,10.0,32.41930141059071,-0.009813417349270605,5.850655313059857,-6.203502102497022,2.0167354483964086,7.423192466558966,283.68547215893454,23.0,66.84432304910816,-0.006565265200882996,8.856284009219547,-8.777045322418036,3.042744935238682,18.17910318783579,423.94520341223523,55.0,171.74434037570046,7.178763532272299,12.05415741555688,17.633329331637583
9,90,-0.00894931220263973,2.7992897583973444,-3.5498548843917788,1.055158541107651,2.160954138255784,24.85256427049275,4.0,21.161397344040747,-0.0011643824697412273,5.4507000967021595,-4.963700064273504,1.6599264632304787,5.127909861610314,107.69899880348665,18.0,44.328403979416066,-0.0034531416309127954,8.769568420969364,-7.880528095017447,2.7076125689579404,14.429283439942024,264.6556223628748,38.0,128.78024383331305,6.349144642789123,10.414400160975664,16.65009651598681
