,time,x_mean,x_max,x_min,x_std,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean,x_range,y_range,z_range
0,0,-0.006465256028224179,3.804137870693991,-3.5657149643290365,1.0442776185813825,2.1244915444181305,46.92904107627157,2.0,25.536856462647794,0.008691334054918143,6.182582894629103,-6.2001844591088675,1.7711491650607625,6.067504591143976,101.18041341558522,23.0,65.81595793510562,0.002921300535652069,5.240257603806684,-4.301529143235967,1.57520491179506,4.890294953609596,61.29719556324357,15.0,54.9745543375996,7.3698528350230275,12.382767353737972,9.54178674704265
1,10,0.002443873305988358,3.6379137625987648,-3.707517372212713,1.2277834280846922,2.947511404370457,88.16307708949269,8.0,29.376585832432188,0.008957646429639046,5.348476619285434,-5.876020321313701,1.9856898441076947,7.660331539820407,176.3515017505245,22.0,83.99353890837132,-0.00555615413511703,5.735539459607943,-5.549825282819409,1.657779918022558,5.315148515846109,91.21315076592872,14.0,63.26190610294983,7.345431134811477,11.224496940599135,11.285364742427351
2,20,0.00812463303662547,3.7096256522630715,-3.5938444318995995,1.3024324190713517,3.3375990187023037,115.37467067723789,6.0,31.963196505173272,-0.010786794154712448,5.8145875594976655,-5.636336489104592,2.103740824535937,8.610002360265765,281.25424884615177,29.0,87.80311829209752,-0.0012931843364178827,5.30902879233055,-5.514738329040399,1.7988311997943058,6.313165183637396,83.31603204605487,20.0,71.05577630518991,7.3034700841626705,11.450924048602257,10.823767121370949
3,30,-0.0030570763531595595,3.822258844275853,-3.4754773803441563,1.2930434253544931,3.289809788501847,64.87697121300155,10.0,31.04481592586428,0.0010472685301300912,5.852569581261887,-5.597382992620331,1.7801251032945509,6.111801799909303,179.37795584822308,11.0,65.88001114462986,-0.0050751619311998385,5.536578950806524,-5.284155066608422,1.7832035951674572,6.143999744608205,120.320594176697,26.0,67.18009341499697,7.297736224620009,11.449952573882218,10.820734017414946
4,40,-0.003218721602715721,3.75949321956028,-3.3046782370355645,1.231239479229592,2.9667866868176134,220.87104243630893,2.0,32.99160975362612,-0.006530751936317672,5.482063454081466,-5.876980461841859,1.7716024947653055,6.152633671790847,141.45462298021096,12.0,74.40170655048935,0.003110446272777562,5.560871045391684,-5.692482453664869,1.7967053477026296,6.330145816052685,149.55279365326078,14.0,78.5807755569077,7.064171456595845,11.359043915923325,11.253353499056553
5,50,-0.005087542205764173,3.7742502099199142,-3.807186441305905,1.27362409052099,3.109417033392503,163.5808057128623,2.0,36.705838246439555,0.027463185360433847,6.1309278985306195,-6.07552556503516,1.993575497729557,7.532186733785107,119.17045967738427,21.0,89.24785095286504,-0.017192732527313615,5.8209945649299994,-5.800602861512947,1.9401351258679698,7.2576534759656,117.69980267051075,24.0,87.75557176209942,7.581436651225819,12.20645346356578,11.621597426442946
6,60,-0.0045327242040300595,3.638663926180021,-3.71791428562221,1.130797279728965,2.508824076072693,112.17832821173232,4.0,25.135314624555708,-0.0021697383948096204,6.23584953561879,-5.498236905234054,1.7235290911357721,5.843009605810219,66.294673171636,17.0,62.26507183896716,-0.0013126976576940082,4.427960714538166,-5.324164319266094,1.569750222413909,4.873529702778465,61.607158363969006,16.0,54.360075830715274,7.356578211802231,11.734086440852845,9.75212503380426
7,70,-0.009583916906932857,3.758696056184917,-3.8376205851274,1.3375676257618072,3.49577756874342,229.5560730349349,6.0,35.41156673049921,-0.003927250615735638,5.549163800822028,-5.9250425486508975,1.862758801932587,6.822194523410732,109.42990560645804,18.0,80.42574765963501,0.02120217530045163,5.67495418184615,-5.818811017489016,1.7935355180188532,6.2577849822461316,119.97548551552028,22.0,70.43949503027586,7.596316641312317,11.474206349472926,11.493765199335165
8,80,0.004440115742465886,3.810256621012402,-3.538409732468798,1.2654362284958822,3.1268716107047325,78.31084430429053,7.0,34.792819653252515,-0.01564705684102891,5.736454447765117,-6.171898305579418,1.8626822208423102,6.689256106619293,81.81639522619793,24.0,74.21663954281956,-0.0005852294411744196,5.8162227482890225,-5.804328351433573,1.8907246802649784,7.007286555920542,134.0896519055164,21.0,77.38722243175621,7.3486663534812,11.908352753344534,11.620551099722595
9,90,0.0022467302671646387,3.7636505210552937,-3.7651952375764086,1.3610013217039065,3.642386487943745,131.35905008867755,5.0,38.86691444073412,-0.016853034693238518,5.999342604284317,-6.231704595339185,1.9520148517642264,7.3906196328019576,173.43506267466103,18.0,83.62350902771092,0.009314390109152478,5.7126210767043615,-5.151767918481318,1.8205034861007676,6.481368862804707,196.8024229975509,14.0,77.73888111952324,7.528845758631702,12.231047199623502,10.86438899518568
