,time,x_mean,x_max,x_min,x_std,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean,x_range,y_range,z_range
0,0,0.00943971728745865,3.5417650988302705,-3.4652838067991234,1.2662310185764787,3.118066396542996,115.7221490784635,6.0,27.19661441076371,-0.00971286406627544,4.9528816140768015,-4.847295761161313,1.7445869826868026,5.887735523872597,123.67523351160338,20.0,55.51647454585513,-0.010857906373074312,4.34121900223178,-4.474076928553355,1.5579618218173303,4.706956685861544,64.1969765033748,13.0,51.0851156128406,7.007048905629394,9.800177375238114,8.815295930785135
1,10,0.008531735944701009,3.2160292637691583,-3.0695711318714767,1.0693428369200932,2.197498034474962,74.80329983464331,5.0,22.173820401066052,0.0020863475537844832,4.9786054315499415,-4.860532544484849,1.6297488984144515,5.046169994126699,122.17699502671178,13.0,49.063636598190364,-0.009638027586393946,4.373864280023703,-4.49310240644366,1.5954516463134176,4.721844369475591,68.02032012004958,13.0,49.24664392811984,6.285600395640635,9.839137976034792,8.866966686467364
2,20,-0.0023614192987043933,3.5206599781429366,-3.527927260622292,1.3329959795640596,3.4764544258084444,88.88841598629301,12.0,31.827508449332534,0.0064262148123872135,4.966793244853021,-4.933568748729932,2.0006606614137508,7.805194369389712,146.9888214842262,27.0,73.4162376277246,0.011070434833551236,4.465878143915165,-4.5131106905863625,1.6861216790528208,5.438598470952639,93.8363301561136,17.0,54.8304422081579,7.048587238765228,9.900361993582953,8.978988834501529
3,30,0.0029101856986513404,3.0880344795265984,-2.789602355997687,1.0079388032565852,1.9902666590349938,140.54375478787932,3.0,18.298062643131768,-0.00332361358209873,4.822414677424561,-4.410366991136638,1.4772506032849315,4.23967745427726,93.43803514129087,9.0,42.48863058395138,-0.0005001269690392256,3.4631895340057444,-3.91363809366532,1.3139239780978413,3.2312993846233873,60.11399211963062,7.0,34.640852878684726,5.877636835524285,9.232781668561199,7.376827627671064
4,40,0.006382140828671665,3.276498601949969,-3.090653973595585,1.2393196085015332,2.997620884455772,130.8140469202678,7.0,26.05461140181619,0.0018860565760672827,4.9767240072675385,-4.7539929232613,1.669595668636732,5.42759541958346,153.43266246504814,12.0,53.00716861763661,-0.007886125884846426,4.165762374389186,-4.318750406690097,1.3010731628179502,3.2476715846927773,33.01345732607904,4.0,37.712362073208624,6.367152575545554,9.730716930528839,8.484512781079284
5,50,0.011936626891070952,3.3460666548188103,-3.4897925960240306,1.3944142617477917,3.800142598090281,339.6637345281613,4.0,32.46743501347828,0.007380810340309756,4.981590358677473,-4.652538049454695,1.595322988009757,4.941401822569384,94.38918441324378,11.0,53.13049306656846,0.021201606191473273,4.5170828777809335,-4.44724854412569,1.644076544214336,5.230145418845594,91.58395266439646,15.0,56.83298973114318,6.835859250842841,9.634128408132169,8.964331421906625
6,60,-0.0009750871747233329,3.448604275404198,-3.5299852097238986,1.345958252732969,3.570253024675178,328.6783965632888,4.0,31.24194790130588,-0.0013572262152707264,4.973856176399419,-4.805935657591675,1.6246142714988046,5.168467938378661,147.0681075922809,13.0,49.588043364138166,0.009475092495232247,4.206304211304962,-4.32157612615511,1.7017366105031213,5.6400990738654775,120.59019939964308,12.0,57.98746540816049,6.978589485128097,9.779791833991094,8.527880337460072
7,70,-0.010682459571598912,3.5600620327805323,-3.2809658321099913,1.2354400038934423,2.9959759529473216,106.64795625604542,6.0,27.76100140606397,0.0003644725319777766,4.388027827573823,-4.4120844988816295,1.6567878859640446,5.321690849529834,101.83981839313063,15.0,53.64821169799461,0.000773981343955573,4.379875720654061,-4.16168413260866,1.4980577824562973,4.439957785671306,71.14810936861593,10.0,48.86615093460945,6.841027864890524,8.800112326455451,8.541559853262722
8,80,0.0023095937399543304,3.491926578922885,-3.3654290235344217,1.24216236798544,3.020682322647168,122.81008704924086,5.0,28.950610308115046,-0.027573834464721003,4.875289662001367,-4.843193586823954,1.7063544857683532,5.65794288221636,134.71554323822483,14.0,54.24413863966306,-0.024919487435110254,4.283515382319028,-4.4945635131601955,1.5526040780112556,4.621050801678293,89.52277838651383,10.0,54.624846733565946,6.857355602457307,9.718483248825322,8.778078895479224
9,90,-0.008620585012300149,3.460851087305091,-3.465800993387826,1.2467472647470546,3.0144569221455906,237.6407023682349,4.0,28.459026503777093,0.009149506692823625,4.6205223049731154,-4.813576886276949,1.7741682658089266,6.141821479622536,141.43793031655792,12.0,55.61335765409609,0.004500699158685039,4.068049105217864,-4.394209284432,1.5134382050175144,4.471490010219107,55.703547452572124,11.0,48.82994893089542,6.926652080692917,9.434099191250064,8.462258389649865
10,100,0.01075531563529428,3.4548711433445343,-3.554673127553862,1.2122126019479038,2.8618536297487296,108.86495237732166,5.0,26.40268391894726,-0.011721782170398954,4.9632966026699386,-4.761277084213862,1.6631333246671984,5.441262547336637,114.98653782630164,17.0,53.554108761523764,-0.0005504816194394326,4.359824835884837,-4.458723059042947,1.51591053801663,4.509606088976055,86.9525998069808,13.0,43.8227642922617,7.009544270898396,9.7245736868838,8.818547894927784
11,110,0.005678900083835769,3.52706400915417,-3.3766862725782967,1.2412610686722942,2.991638868928107,147.41901194239708,6.0,29.60203917751215,0.01710775987215387,4.949684445242573,-4.878567648659195,1.7851314823813504,6.1605500070622625,196.54352640333522,18.0,60.17971684026396,-0.00129372729759366,4.513039101623507,-4.494355118879003,1.578625406969946,4.7135708150748385,71.35572569095385,12.0,51.1085946164203,6.903750281732467,9.828252093901767,9.00739422050251
12,120,-0.004737750070588499,3.318330670797585,-3.530097168858324,1.3687264328334,3.6382581355683823,148.09621102933372,6.0,34.81765865363435,0.014735043678294764,4.8733856766433465,-4.9806893467288065,1.9320887514418388,7.241463979074558,339.2501597604344,18.0,71.30535657694455,-0.007449780900994362,4.477889205484951,-4.488397963506649,1.7244498961061032,5.754592480904807,196.36366795507092,13.0,59.00674536454148,6.848427839655908,9.854075023372154,8.966287168991599
13,130,-0.008001210713376828,3.284937334496772,-3.4929895539128086,1.1654113185247363,2.6635701794980307,121.55434837069058,3.0,25.236972427489103,0.00903610867046466,4.779767773563822,-4.738951146207624,1.607628398035123,4.819000571998957,110.90137514900287,14.0,46.70841365565265,0.0025587787304648195,4.487897590771069,-4.133503338531302,1.4955466101998212,4.259929175839519,102.837615484431,10.0,44.0513185971114,6.7779268884095805,9.518718919771446,8.621400929302371
