,time,x_mean,x_max,x_min,x_std,x_range,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_range,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_range,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean
0,0,0.0047593922994915525,1.8223359720727024,-1.7971659080513611,0.7474884322997445,3.6195018801240635,1.0751865260704503,24.365874403525314,2.0,10.05240533913525,-0.01984705834993407,3.514838565478822,-3.519123588730221,1.5705908813725513,7.033962154209043,4.704908097926107,184.69202323577147,13.0,41.74540679768765,0.01042635586799976,2.963401565372611,-2.977383148670337,1.1679807966632885,5.940784714042948,2.6334999030567743,39.90305238420044,3.0,26.937145584739465
1,10,-0.0030954946486902593,1.7254517187866631,-1.7891179063201883,0.6370314044896273,3.5145696251068514,0.7933269048674587,81.06570838112938,1.0,6.799993206470165,0.009499276340258692,3.1624050283008267,-3.4384853810547664,1.095149784588786,6.600890409355593,2.3286909887166387,148.72814577169518,6.0,19.625638560456853,0.009958845403097395,2.9147808729499016,-2.989740115357093,0.9486740560954098,5.904520988306995,1.668090578489089,77.34079024335226,2.0,16.4690729714381
2,20,-0.0013118618403333024,1.7119479589216442,-1.8219666425033203,0.638872822274309,3.5339146014249643,0.7931704779677377,54.07922526081811,1.0,7.090084560799626,-0.002699238675368431,3.4879832218644147,-3.5131313408430214,1.2124348198142318,7.001114562707436,2.8966053498368516,95.32697832878881,6.0,25.64785987265801,0.001202748161759493,2.8251265341494887,-2.795652511089892,1.0118577464571163,5.620779045239381,1.9567244155334589,78.04071698359687,5.0,19.524751710968097
3,30,-0.00015831985116810632,1.439507424286142,-1.7797653372729707,0.5509095195302913,3.219272761559113,0.5996078433069069,47.59299870554345,1.0,5.720976509615946,0.005458772696385306,3.3295431194047516,-3.4147295886323867,1.1365241333495772,6.744272708037139,2.5382896690189414,127.96209572852679,6.0,23.442942183382304,-0.006121569593648337,2.9796996253814463,-2.8778013074678306,1.0486471999646028,5.857500932849277,2.072796790867575,137.79572719834786,5.0,19.782808749281628
4,40,0.007177138079265513,1.8141301014432725,-1.7837894357025847,0.6981097037323979,3.597919537145857,0.942129498849591,71.84083513747102,3.0,8.09878580378547,-0.006894895347550308,3.0402946688627197,-3.4348208313487847,1.189703422021551,6.475115500211505,2.764492160092083,141.4702270713298,8.0,24.457858843687433,0.00881370401739128,2.984353914419749,-3.010634562906706,1.024825005234199,5.994988477326455,1.9701222402250997,86.51825178808018,4.0,19.8223898345031
5,50,-0.002550864010429144,1.779484793208774,-1.6525482662836422,0.6159369071154919,3.432033059492416,0.7461495571737962,22.362309722002127,2.0,6.93950058260059,0.0080256295087603,3.330518663673436,-3.4594466104702,1.1669364911654359,6.789965274143636,2.6619203203575865,62.86244480405359,5.0,25.19914115654545,-0.004544876701295028,2.7818678086029096,-3.0358821243028635,1.0861455186254731,5.817749932905773,2.2506012344679447,79.42945202868779,4.0,22.711904560581186
6,60,0.0025865329657463404,1.813354257042488,-1.8136423677607283,0.686582680888339,3.6269966248032164,0.9153030564530428,41.089384208651815,1.0,8.515294174004296,0.006994149862822891,3.244283573362261,-3.5198806155449143,1.3702516607130981,6.764164188907175,3.677912222194811,106.5013359902464,11.0,32.33936453924101,0.0036541727651535297,3.0131571477487338,-2.967379219608208,1.0529390361954547,5.980536367356942,2.172935213433384,59.145293522872585,3.0,21.015321989465974
7,70,-0.0029517107704808802,1.8098610836613436,-1.7922014727521831,0.6750151139429686,3.602062556413527,0.8939737748215043,45.07228539952441,2.0,8.426320330472167,0.011160665267593583,3.3436613127154926,-3.506793634789409,1.159195898367003,6.850454947504902,2.628405338768725,130.41078616346368,8.0,23.495207416174676,-0.0018104972270801799,2.819503969680372,-2.957155237390924,1.0423097972675897,5.776659207071296,2.0535746200156577,63.090566577700464,5.0,20.554489236317593
8,80,0.0005157163633070935,1.4307283192441256,-1.8003245521968745,0.5454663528547773,3.2310528714410003,0.5884204357788121,27.95078360536305,1.0,5.736600407221824,-0.0012793671339743637,3.123938344302016,-3.500317885953523,1.1834400278604642,6.624256230255539,2.756718895517333,145.2516174693914,5.0,24.735615196924012,0.0026501402210871673,2.842074021948058,-3.0325321350336636,1.0952907827905363,5.874606156981722,2.292990322636279,65.29865187496796,5.0,22.43304167513834
9,90,-0.001231523329685034,1.8079111330198319,-1.679515305650348,0.5920758922121158,3.48742643867018,0.690994204195591,39.45276709776978,1.0,6.8234667959967155,0.006923210433402269,3.503012257073391,-3.4330387633664645,1.153757565948179,6.936051020439855,2.6195516786431496,138.92517248911605,4.0,24.323713229312574,-0.0017614629224421943,3.0195641454385465,-2.9828697858936475,1.01707584410805,6.0024339313321935,2.000073122002201,115.31940128523868,3.0,19.843997498396796
10,100,0.00044721922424222305,1.5827096766443591,-1.7302339251546526,0.5396442031573607,3.3129436017990117,0.5675182730597261,15.113748427382829,0.0,5.719561792717177,-0.0014666361802785502,3.3390531275017032,-3.508092834879559,1.2178665124010124,6.847145962381262,2.899061926741643,76.79703278886248,9.0,25.21807904447599,3.727847068727241e-05,2.820810877592601,-2.874252382495715,0.997555986726596,5.695063260088316,1.9491015958944546,56.093405192243225,4.0,19.584470495369118
11,110,-0.0023277049051754727,1.71358967092685,-1.7837945807755684,0.5375930111702811,3.4973842517024183,0.5628922651203375,17.98739039285975,0.0,5.429658977449784,-0.003945676666142122,3.4064480690385786,-3.4053164476349487,1.151892421909666,6.811764516673527,2.579007019359657,105.55170989651656,8.0,22.855187955950875,0.01197417814242013,3.006344549126351,-2.679292448728094,1.124293035988328,5.685636997854445,2.4444667856103566,90.91532921900642,7.0,20.655630310479076
