,time,x_mean,x_max,x_min,x_std,x_range,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_range,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_range,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean
0,0,0.0021613569936109623,6.181207816579976,-6.770378408026334,1.7549785594583385,12.95158622460631,6.095234308445669,76.7180885195327,19.0,63.688559835981216,-0.006166918603363813,7.372928233305001,-5.90004810816001,1.9429095329906276,13.27297634146501,7.35152183627486,85.17614099767557,33.0,68.42784185582654,-0.008673894221136654,11.092812855252916,-12.218597938718801,3.350044901779588,23.311410793971717,22.135376285282412,394.07560154618517,69.0,226.26764019682807
1,10,0.013601802831324419,7.299041456650747,-7.348506372949284,2.603919456868321,14.647547829600033,13.079454983491592,199.12062461899734,52.0,148.7734137599776,-0.02987184358315924,8.275240520346928,-8.376364155181317,3.2663546895696345,16.651604675528247,20.786925699548682,332.97290637060723,61.0,202.62140556087385,-0.06881181081674291,13.035122929707294,-12.598167489173624,4.405802879539475,25.633290418880918,37.78518894213292,715.959003411497,105.0,422.6647464267678
2,20,-0.01108307824546941,7.353166914092406,-7.467120995882316,2.8665682645787256,14.820287909974722,16.15159803952869,180.0316574585443,58.0,196.66209011544,-0.028040677802757256,8.416889425882887,-8.3321552393678,3.3877389180922077,16.749044665250686,22.42168769873342,280.95951933591164,74.0,224.43925592266268,0.019617824955552712,12.908886536703644,-13.04655777067649,4.767665017564483,25.955444307380134,43.807699332857894,354.6794511503022,113.0,505.65094484722374
3,30,-0.007909005548429654,7.305848646444455,-7.495367537095232,2.4946625762093033,14.801216183539687,12.258868593542362,130.98393160756726,46.0,142.7660283963077,0.005869977305104378,8.342322926989327,-7.917423137905827,2.756421924594942,16.259746064895154,14.918541217372432,209.76168121787939,47.0,147.58183819515062,0.014042921798437247,12.814268317349207,-12.860264735381056,4.438295585444305,25.67453305273026,38.765426696276066,354.3309598245247,99.0,430.86942033307923
4,40,-0.037374627560300584,7.483732011274034,-7.002711009032253,2.7263060846379767,14.486443020306286,14.366080641110111,206.29896458366636,53.0,169.1481660224945,0.00447154232080142,8.36529266224466,-8.381295628007608,3.044099029273509,16.74658829025227,18.07606188539114,235.7611008436267,54.0,183.28849740401668,-0.08601646166135032,12.866918709727173,-12.951440209929142,4.511960829740253,25.818358919656315,39.37118336172468,354.9584011868056,105.0,470.4698164990428
5,50,-0.011052105743083749,7.214338299162238,-7.4330279468333265,2.496782047840186,14.647366245995563,12.160657294114555,214.3362217286115,41.0,146.622207631851,-0.00604762371083207,8.327893267719556,-8.278847637168408,2.8113543659406814,16.606740904887964,15.57098888504762,350.46648042417047,45.0,153.78055387209017,-0.005872486101299575,12.809064809196933,-12.367411761395967,4.35343478195483,25.1764765705929,37.205626019305576,629.6478191436798,112.0,445.60802902226857
6,60,-0.022538973782858938,7.528703779588383,-7.387215672217895,2.6408650389014903,14.915919451806278,13.46818041023149,146.51603424303073,55.0,152.59371085137073,0.015967499150718392,8.081322323060503,-8.268402594067489,2.93513245465415,16.349724917127993,16.77488390795512,233.84975629369194,47.0,158.46100078522923,-0.004644785846674154,12.386661239969294,-12.525982610856392,3.9252858705709905,24.912643850825688,29.70973739036874,261.2316638447427,101.0,368.38387609764663
7,70,-0.027363118295933308,7.522629390045402,-7.367571020211753,2.7969734973380365,14.890200410257155,14.977118178898584,121.46929466369787,64.0,194.8508602924017,-0.036352653823456135,8.427310880172374,-8.427987703196589,3.049000118269821,16.855298583368963,18.224264978089572,218.49314973279164,59.0,186.69393641440644,-0.02148217504105577,12.734053512528934,-12.896348458164413,4.6568663733250215,25.63040197069335,41.85525141669295,570.9215974325701,112.0,530.6170808085544
8,80,0.0331709421342887,7.026888516748578,-6.3927436090017435,2.1670316690412537,13.419632125750322,9.117606591785911,86.55283600673732,32.0,107.39263557287937,-0.003018888810347635,7.173707486785713,-7.603565712691529,2.426041851716987,14.777273199477243,11.591238837051572,170.7721209783378,32.0,113.44508312389965,-0.014896587490722769,12.945491104291001,-12.350406248109381,3.9136119295272476,25.29589735240038,30.076441532913396,399.1891345199783,96.0,355.31466489543516
9,90,-0.003039530115058751,7.36556069494611,-7.515474433108988,2.544465258108165,14.881035128055098,12.69825401450233,196.5586736577183,53.0,141.47442973334256,0.008303747633412125,8.383693583585996,-8.434013292003208,2.663200035811973,16.817706875589202,13.918874859389783,219.30300793935197,47.0,135.32690865954638,-0.05970294626243491,12.84967648353029,-12.729328482629494,4.272158031498418,25.579004966159786,35.72853537323558,451.51488080720026,97.0,427.46169647958163
10,100,0.021884747310271645,6.879356064671607,-6.942835017753595,2.43892547144378,13.822191082425203,11.664235139110938,99.58610496310595,24.0,133.68281156593181,-0.005909175878925074,8.299597020953364,-8.181545780441905,2.8466675600568747,16.48114280139527,15.971254017941964,264.6353713367906,23.0,142.27259694576796,-0.041407326603643275,12.011401092725524,-12.61880570485128,4.6759607436600295,24.630206797576804,42.44814372602154,471.76561552606887,45.0,466.33717245805514
