,time,x_mean,x_max,x_min,x_std,x_range,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_range,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_range,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean
0,0,-0.0028948135961606534,3.245641234962583,-3.2673793021075785,1.1326652392047292,6.513020537070162,2.4904811237665574,43.11183606274444,4.0,27.132133062488073,0.01402871434203045,5.024358938330184,-5.093490835569054,1.850549669449789,10.117849773899238,6.569414342514111,170.10188824258174,22.0,64.19348398939428,0.007850293561698765,7.452473006828367,-7.496051835472307,2.905794281732613,14.948524842300674,16.57247379924341,267.35240011428414,56.0,175.2473683269166
1,10,-0.00023290358614763161,3.216932309844677,-3.1764287282172754,1.1080181589453757,6.393361038061952,2.4008369171448596,30.20026099331664,2.0,26.23926602026941,-0.00785411633239504,5.202791274416481,-5.192181356103684,1.8859653172764785,10.394972630520165,6.946666438891228,159.14653354951946,26.0,64.85708057678731,0.0018768635872499217,7.563704219739917,-7.523224372263916,2.5294382549582215,15.086928592003833,12.595291137747303,359.23146656341913,41.0,131.51796254931912
2,20,0.006617202503183143,3.2423956112894765,-3.1448058700473736,1.0930376776453647,6.3872014813368505,2.3222194925665667,35.36232718397581,2.0,24.822757494920562,0.014027428379646665,5.160605466572641,-4.859116438567483,1.8037881147513912,10.019721905140123,6.385011891183315,150.37562325116235,20.0,60.691890546995644,0.0073738368896107435,7.368962367122775,-6.9202599145903925,2.497256593798487,14.289222281713167,12.299708650055393,295.55870873554886,40.0,130.99784166185083
3,30,-0.001319875282405466,3.1241726381759762,-3.170711604036034,1.058519583431682,6.29488424221201,2.2121247702976965,35.4579886025076,4.0,24.440518668340587,0.0009908390364842849,5.2496197333903085,-5.245566321196457,1.8887892788666074,10.495186054586766,7.021362156623597,126.86910311944527,24.0,63.28665175868798,-0.03535837842924394,6.960610582087831,-7.51699569259336,2.5882644715993455,14.477606274681191,13.12637387126577,196.7906280639317,42.0,139.328201451434
4,40,-0.01417856998438688,3.2601064549761283,-3.227618285398168,1.1203569570876617,6.487724740374296,2.4636035419219957,33.152415128865975,2.0,27.15334023707731,0.0018142845858554115,5.2433228124464035,-5.125539321480817,1.7857469156994263,10.36886213392722,6.1561547406172075,90.95465453510259,15.0,61.561583968134094,-0.021539086503216148,7.536612761188362,-7.527828915841312,2.7306867377157005,15.064441677029674,14.75967480625173,244.00260963753323,58.0,155.29841164340016
5,50,0.0020806007566385974,3.269396513667133,-3.2569186012586213,1.0860352788126248,6.526315114925755,2.3246960064341673,43.99514757972814,4.0,23.12236105972016,-0.007645358078421598,5.264515079248014,-5.226343272327629,1.8915276381071788,10.490858351575643,7.052088047153138,150.63164564454786,22.0,66.70496672965629,0.007565258750166064,7.516201207722553,-7.204853499618371,2.5704160633115074,14.721054707340922,13.063383502887723,309.77047079620206,40.0,132.54941409627796
6,60,0.0013723063659119798,3.1678747158838263,-3.1748652860080755,0.9932622810494639,6.342740001891902,1.9384885869870612,34.19090776660111,3.0,20.573202104202064,0.004613018760699673,5.077333885180542,-5.055297204496517,1.8196565298449519,10.132631089677059,6.512340113693279,124.15720376943243,21.0,62.77685409801263,0.015604803376032568,7.568082792576059,-7.244166136769628,2.679438810030462,14.812248929345689,14.094651696061469,354.2479037337526,41.0,145.67362232255002
7,70,1.6713221578081592e-06,3.1279429482493732,-3.2343378051562395,1.102692266631032,6.362280753405613,2.3554172145332566,43.61001850836783,5.0,24.371162734564745,-0.014574174783874558,5.235220540456744,-5.062158515487443,2.035415664924743,10.297379055944187,7.919471258367074,293.4474389447486,20.0,71.09911471840152,0.015101688335828858,7.36813725228987,-7.4733610353447535,2.956014943490269,14.841498287634623,17.009212840184322,364.7664422212505,49.0,173.1416587120751
8,80,-0.01042128046857631,3.1900267514510263,-3.078388730196456,1.0612824990233207,6.268415481647482,2.1939727803911486,64.33243950289229,4.0,22.02147632692258,0.0003460675449198707,5.014511781781495,-4.9253163143277785,1.6918992749209227,9.939828096109274,5.575814492980709,134.7918541583694,18.0,50.825927802181134,0.002433790512117799,6.9765185545443025,-7.161025048367903,2.4089715297370504,14.137543602912206,11.470867121252248,464.5149542648707,30.0,105.49038826384263
9,90,-0.006976847014061347,3.1966145655435216,-3.2676735059414552,0.9270324026366868,6.464288071484977,1.6550065169635728,24.997141598923,1.0,17.589960453726526,-0.003582948806873133,4.675802812332484,-4.4297199660248605,1.3689573773363588,9.105522778357344,3.668527622122744,45.55118239824787,14.0,34.05418255366397,-0.0040151547809125585,6.373605626013327,-6.016719254211859,1.861635487395605,12.390324880225187,6.830893298213889,120.28421849220324,18.0,67.83681299874226
