,time,x_mean,x_max,x_min,x_std,x_range,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_range,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_range,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean
0,0,0.00027592370120535834,7.648730009137784,-7.953224559033307,1.8900051866821526,15.601954568171092,7.071419191555962,58.162763527297024,20.0,94.79929305122424,-0.005286091707455018,10.853644611074696,-12.362099706914881,3.0937797021768745,23.215744317989575,18.7839665642347,186.70369594772586,77.0,242.86901097402546,-0.013429459408309417,11.987712179364907,-12.851239862023276,3.4504684339891485,24.838952041388183,23.344027754066033,289.4460225650019,75.0,255.01173201129828
1,10,0.07110375429715314,8.357042353190003,-8.346639980173897,3.0016031703480994,16.7036823333639,16.098675036781735,94.09498780182771,67.0,227.78752434746087,-0.026269955796908297,12.494932883352401,-12.705888012342761,4.782096691488914,25.200820895695163,42.17942572749428,672.3350866841962,110.0,468.8002994580852,0.00880381699719235,13.281817346091099,-13.211262050775812,5.550148748875227,26.49307939686691,54.62655202027469,722.0957948380193,108.0,539.9522108476426
2,20,0.0028623924514895177,7.9150743242912815,-8.297797638631318,2.4262513408146513,16.2128719629226,11.55007359206496,90.30753736598355,40.0,181.74670616659952,0.007060916496485527,12.432088137594063,-12.553407197847696,3.504474030862575,24.985495335441758,24.193460023020666,215.14047919832342,111.0,338.5102189229908,0.009100990925442925,12.761922992142866,-13.222375143561553,3.596056193667431,25.98429813570442,25.42316124765164,254.5606734027453,90.0,314.2683363783409
3,30,0.013610500686788598,8.304451964033206,-7.7485484802961935,2.6829766530039922,16.0530004443294,13.998050551230886,85.78016623219662,58.0,227.39473899750075,0.03693174341075904,12.650414762695492,-12.153841372213366,3.8140784978565354,24.804256134908858,28.16837139360036,245.30306533603317,108.0,400.3527689585487,-0.04783433781125473,12.856472094979072,-12.510714974795876,3.5663493571057874,25.36718706977495,24.215671215194867,170.7717237014914,90.0,317.2995768997794
4,40,0.010090051006997159,8.096338198463503,-8.362842418960375,2.547456607397464,16.459180617423876,12.676073177135285,84.84400066286811,56.0,189.51790366330806,-0.028505179333626538,12.269034209668755,-11.403819676338987,3.5270367341977904,23.672853886007744,24.123872205617957,184.41036821123777,92.0,306.8827408452895,-0.011945462401330051,12.298948915233462,-13.127407216068802,3.4427258912794083,25.426356131302263,23.241448630624216,220.289130107943,79.0,291.98045520069996
5,50,0.02613969159648849,8.37045345639492,-8.324951242001017,2.895948752473887,16.695404698395937,15.81615046982995,118.68415702392784,64.0,238.2706299610171,0.010716167297872179,12.681695227421462,-12.290488096545761,4.223728837572972,24.972183323967222,34.33522566946874,436.0547225187409,104.0,419.61968968248,-0.02002435598057573,13.287731400868006,-13.352196900827607,4.5618129915584325,26.639928301695612,39.4743894083923,437.70722145096613,114.0,484.38246233155843
6,60,0.05607299484762261,8.093788316996612,-7.677250855963979,2.9888324316036874,15.771039172960592,16.959474230960904,165.7357196935907,70.0,240.71443916213346,-0.0019738047521896114,12.248759858903416,-12.194264172275483,4.050164379933887,24.4430240311789,31.63897466315325,422.54506761039175,100.0,385.0446485694835,-0.01941152607827678,13.064042965517487,-12.764023417982955,4.327633962909218,25.828066383500442,35.279139937232785,732.5771939594165,102.0,400.64289037789416
7,70,-0.02412394776418774,8.318268755825708,-8.273791187345356,3.1184297487705455,16.592059943171066,18.54515872175176,233.12728986322475,68.0,269.1476984573816,-0.016895951651998985,12.424256401635402,-12.110207415856236,4.612943614678071,24.534463817491638,41.12003542455471,404.2369916938617,115.0,506.614941247046,0.017811499221735673,12.821841910164334,-12.434942872657286,4.607134565959214,25.25678478282162,40.96166090286586,369.9909309871405,104.0,483.9296043277805
8,80,0.007360716293887983,7.944313462596033,-7.8101631667404705,2.9023567825618524,15.754476629336503,16.288393589244127,136.28705723478942,63.0,232.1373288038183,0.06723936460761785,12.716093863190949,-12.611492665285025,4.4582550018703095,25.327586528475976,38.800777960414884,366.5559849006139,104.0,459.50435160636977,-0.04985047136910843,13.150427933008931,-13.36087749423318,4.865971043248697,26.51130542724211,45.253730433987926,720.3285957429107,113.0,514.8997288185144
9,90,-0.006737598858812778,8.089879750160094,-8.332112614121042,3.0101781378758723,16.421992364281138,17.4451299389857,173.24284607740702,69.0,267.0606870438709,0.08686398186634435,12.741965194208412,-12.605501084781206,4.576002039166431,25.347466278989618,39.5779589009959,349.1521400087394,123.0,494.78374543441697,-0.10832588495894768,13.14814296033559,-13.243606502639967,4.834972225763274,26.391749462975557,44.40164136801482,343.8458439972083,118.0,526.0371220300117
10,100,-0.009020369713169545,8.303784257648829,-7.5599019304786905,2.0928425680597957,15.86368618812752,8.565921306908903,60.43625924235695,28.0,118.09923724036636,0.019882502274341036,12.103704914963458,-11.996024209220906,4.019498510586585,24.099729124184364,31.482732940458746,270.47374287407956,104.0,411.58365235868524,-0.023572928864949747,13.040099188150394,-12.434306278012262,3.917551137976814,25.474405466162658,29.885439304275714,326.9920607982384,92.0,345.49804133631727
11,110,-0.02583245507366447,7.863095667388978,-8.182938858577321,2.200306806294524,16.0460345259663,9.276368460224752,50.20792649053882,16.0,128.0513511569645,0.018058033496403513,11.730241387710864,-12.49015008675267,3.923072654406843,24.220391474463533,28.531768910456353,208.03821470680654,47.0,327.2864773694642,0.03335346719266563,12.247213272196102,-10.961406741667702,4.223400923485201,23.208620013863804,34.36007780891733,308.6866564711436,47.0,367.6155848991615
