,time,x_mean,x_max,x_min,x_std,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean,x_range,y_range,z_range
0,0,-0.013276818832128539,5.008371446538063,-4.8798153298706035,1.6305924669652625,5.120299010707612,70.51248356828755,14.0,52.59629128367492,0.0021824239849943475,7.7053148886602285,-7.562585270940093,2.7529138146299186,13.560159923310666,280.83167162833433,36.0,124.31414082753766,-0.01743423138702773,11.70412209381618,-11.629592138119808,4.054187235055378,32.12668737014384,386.8259087663359,74.0,338.2110423311445,9.888186776408666,15.267900159600321,23.333714231935986
1,10,-0.0024140153381824493,4.5559547280727335,-4.980284788231892,1.7397969104939366,5.784016478582051,77.02338315116192,13.0,60.85374773666214,-0.03356661172559788,7.393278966933634,-7.4884791758615545,2.7477908954450188,13.895637244280898,349.06756049427156,39.0,126.11692790125386,-0.02177217071405144,10.926647401710404,-11.536435993441062,3.7797515428518556,28.248075636477655,772.1319867342804,73.0,280.4114745290872,9.536239516304626,14.881758142795189,22.463083395151465
2,20,0.008183559803830828,5.0423411841964185,-5.0184347364295165,1.9190056188474296,7.190098545708984,142.4620217668514,26.0,77.76006457391638,0.027071554977609942,7.509999859494068,-7.1245029980155525,2.6584652176378136,12.931352325421367,294.1759451141747,41.0,124.48354152311384,0.010525567956760596,11.383334042798044,-11.551763639008165,4.059348255851117,32.4922777448821,478.6875228827321,84.0,346.83883925076674,10.060775920625936,14.63450285750962,22.93509768180621
3,30,0.014649003432150812,4.965173133725777,-4.97960801748805,1.8928630252298335,6.893390748637994,127.85590597972892,22.0,75.29684066877587,0.008927160693949951,7.420169438818622,-7.626201862636777,2.8342969129693105,14.803341061326387,421.6947012838946,33.0,135.09808178433477,0.003567130918698462,11.508447210930386,-11.5672818795329,3.9992191148343976,31.004825594081545,1134.8385926570438,71.0,314.5495928228394,9.944781151213828,15.046371301455398,23.075729090463284
4,40,0.01135701952092865,5.059360337758872,-5.0408292755504815,1.7399998751621206,5.888466250364194,174.1365232254307,18.0,64.21691019692908,-0.046407607817444435,7.69930179228766,-7.543523390601638,2.739450795781933,13.284862623625637,316.50562260038396,40.0,125.98788851070766,-0.055584796656313745,11.71911855908719,-11.530366614164688,4.044867262569958,31.445333687682197,1357.0132177153066,81.0,319.9740269509256,10.100189613309354,15.242825182889298,23.249485173251877
5,50,0.011744139088634217,4.993565459414804,-5.04389351736553,1.7091685914845343,5.741607960264904,89.22054004921239,20.0,58.34941874180195,-0.004728104487131944,6.824572407331722,-7.721362044022192,2.616116090455515,12.227759879287728,186.84825261869014,38.0,117.03605374581574,-4.384891701886434e-05,11.557240037941177,-11.330217483263779,3.8451726046861205,29.024308383709563,688.3460113005668,80.0,299.79932915439014,10.037458976780334,14.545934451353915,22.887457521204958
6,60,-0.021318957535259052,4.941797656043791,-4.942651855737468,1.6068709858622165,5.048256592884694,68.81378964326154,16.0,55.991986714607016,0.018230634438201335,7.402540953924527,-7.347211760358016,2.442769782122647,11.48900253893222,167.72264012576508,43.0,116.3284022904836,0.0026061309577847247,11.724933729661908,-11.268668766457225,3.9486004219447466,30.129299270774336,252.59443222590275,86.0,327.25147168322064,9.88444951178126,14.749752714282543,22.99360249611913
7,70,-0.01852860860740923,4.78195016193755,-5.0453750032461055,1.4699308177670778,4.224879862852912,50.824812020259735,15.0,44.957424352998984,0.004677885611645939,7.693883908882129,-7.5909581265917625,2.4262689078351665,11.43133705215673,186.06446625896083,32.0,106.67950847991752,-0.042884835716735036,11.09263469336193,-10.361855834935321,3.4875194913581327,22.99068818545647,274.2432769646104,89.0,265.45547956684027,9.827325165183655,15.284842035473892,21.45449052829725
8,80,0.007753188146828787,5.052033439524624,-4.904510291459307,1.6256732894503019,5.079968009982858,45.14532810180157,13.0,55.10676552030064,2.6695898769737817e-05,7.672061774692392,-7.060524168860934,2.597307645789046,13.212281197610421,192.17679519062798,55.0,132.8517569084302,-5.883726284452664e-05,10.92035415687415,-11.277270352242608,3.8800484351991193,29.519251036015024,324.58825546114286,82.0,316.760089773463,9.956543730983931,14.732585943553326,22.197624509116757
9,90,-0.0052738454380696605,4.872454383569087,-4.4103947241811134,1.5723280225012919,4.874229605916712,63.55411612556025,9.0,51.11209704841826,-0.010375925032192345,7.2584308493466105,-7.462099908046862,2.209805869615577,9.400623589602658,159.21686724324155,16.0,87.75440592444181,-0.002391265367505209,11.67330631988784,-11.708082647332015,3.5684178984185837,24.969462789684865,302.3286233403804,34.0,272.13953779887805,9.2828491077502,14.720530757393472,23.381388967219856
