,time,x_mean,x_max,x_min,x_std,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean,x_range,y_range,z_range
0,0,0.016631469793937974,4.7263894185393935,-4.7687656377527405,1.6460064115930402,5.152602663045077,63.42874259163634,19.0,54.14597588255345,-0.04683333119751967,6.834552329348674,-7.250464436403162,2.5347144353162463,12.17524029741437,191.1082273228117,49.0,117.83567459681292,-0.0218667045381865,11.262721854056233,-11.291239466118775,4.184053270037539,34.313265288816694,816.68465882144,86.0,341.4760272579361,9.495155056292134,14.085016765751835,22.553961320175006
1,10,-0.002081518993746429,4.421566339215751,-4.7717921340657234,1.4444970239454615,4.108717671639251,35.294888412056295,7.0,47.771545357502575,0.013190093488834629,7.545315847297772,-7.321315797224556,2.700476608366573,14.295117967333681,255.1408631908279,48.0,131.8916180849466,-0.0200676622329232,11.27568948735502,-10.480274154182661,3.7292103386202218,27.115787574762436,366.8418730887973,87.0,291.3243033561336,9.193358473281474,14.866631644522329,21.755963641537683
2,20,-0.0021509689015708753,4.3168195593475405,-4.52470156986448,1.1744406044905438,2.7271057438745254,39.663247237949435,5.0,31.610737906485248,0.01723725771651665,6.029373616938466,-7.041675294875853,2.152221969286663,8.962720415590182,162.02250830973313,26.0,79.08103670086274,-0.027538490064826254,10.799659974455917,-9.936870065314283,3.256296020763317,20.724229349110313,339.50475956930586,68.0,213.75731483581046,8.84152112921202,13.07104891181432,20.7365300397702
3,30,0.0018892181231902905,4.437860659113803,-4.717632285654464,1.4105117384349701,3.900599433836302,44.94831513231366,7.0,48.451641582906745,-0.07861416892095191,7.148592495986196,-7.477986929438024,2.574981560618192,12.23490634444275,175.24178956860783,39.0,113.67785352687505,-0.05143761772354844,11.309022415407808,-11.032403743586988,3.6244019861375874,25.117504308987353,328.0901952869389,73.0,282.8332007161973,9.155492944768266,14.62657942542422,22.341426158994796
4,40,-0.0009132706410057918,4.696563232212895,-4.7953548958193215,1.7426881094275921,5.992336353890471,76.19582641430186,22.0,65.21484030426727,0.007474580889425621,6.7846512358911575,-7.17054243454808,2.32013040937171,10.44310040864072,154.0696761525234,39.0,111.07108475459972,0.01352244398621813,10.975633757548824,-10.672232060803253,3.309473618537729,21.656679951253004,185.37821184130627,70.0,250.4136485886294,9.491918128032218,13.955193670439238,21.647865818352077
5,50,0.009912057832108336,4.721581500393613,-4.7191245479052375,1.4839490225824552,4.297400359016652,56.607108461910045,10.0,48.31091978676649,-0.001863713223088185,7.636781784789642,-6.490615876863991,2.2354033252462244,9.74188398520493,214.87124053868286,35.0,99.15928201789086,-0.05097146933469043,10.950591737677872,-10.650087795538424,3.4532367464791798,23.037724669264723,192.02345979132772,82.0,266.1619435045269,9.44070604829885,14.127397661653633,21.600679533216294
6,60,0.009209624291622526,4.669959105939514,-4.7408638141981205,1.5371083242423762,4.646287187917766,90.23937931228078,13.0,50.99552322276866,-0.0077974238547772875,6.510166212911058,-7.141496154176334,2.1303563716411906,8.893652975144501,201.6014641157965,26.0,93.22598053177865,-0.03678914551436709,11.286998399056149,-10.35813156622556,3.202012882683603,19.94147285672019,219.39943474387243,73.0,230.04360136832761,9.410822920137633,13.651662367087392,21.64512996528171
7,70,0.006997401442376311,4.8152676399571686,-4.774575227347347,1.4159640123653223,3.901727933092932,56.34902170511994,9.0,41.426071416713775,0.0032109279475419834,7.400769984817011,-7.123081461697147,2.361919359807803,10.832208891435796,154.28509578506961,42.0,101.04736638330043,-0.04907169733055653,11.088588826656725,-10.387473982974726,3.247045419578979,20.579908730057696,197.2970531729813,62.0,221.52536402002525,9.589842867304515,14.523851446514158,21.47606280963145
8,80,-0.008999997505520803,4.762124487215164,-4.774087007441486,1.92959259510461,7.099357159427708,80.82415397372448,22.0,73.70713240694472,0.05636078095006931,7.597477057243633,-7.631334735217916,3.1589938575125256,18.692013496931658,421.0420825612026,57.0,174.05721660915788,0.04291688395019297,11.18570083022558,-10.988292559399516,4.210915346189785,33.4940294468679,502.5312968298266,81.0,351.46685652611035,9.536211494656651,15.22881179246155,22.173993389625096
9,90,0.018281807324778358,4.7970497213773005,-4.751721394913698,1.7582800319889567,5.930239840770652,48.31515072892337,17.0,68.56698549160393,0.018925105037797745,7.385055697849162,-7.287697036960957,2.7715766580236263,14.166199765761355,156.57830963198782,51.0,142.82359446957864,-0.04196695701052744,11.05466595504183,-11.222117889942913,3.9563510384534037,30.163565115770957,455.6666184882948,91.0,318.43146843650015,9.548771116290999,14.672752734810118,22.27678384498474
10,100,0.017534986592100243,4.7267817813896205,-4.711987760373468,1.6938826277433763,5.56621432267699,83.8557056472665,17.0,62.496737263777014,-0.03371233884316698,7.575856750687046,-7.449239711796143,2.753995583738987,14.560837602758971,150.44438431340595,54.0,139.87118716914065,-0.05788320343037162,11.239175230672267,-11.205366183743577,3.992641918124863,30.79352435866838,250.13469883246026,90.0,350.8820974313868,9.438769541763088,15.025096462483189,22.444541414415845
