"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.409999933E-2,-6.000000052E-3,-4.399999976E-3,1.594270935E-2
9.800000000E-3,-9.311999679E-1,-3.552999794E-1,-1.379999965E-1,1.006188578E0
2.023750000E-2,-2.228000015E-1,-8.879999816E-2,3.309999779E-2,2.421175132E-1
3.022968700E-2,1.709999889E-2,-1.939999871E-2,7.019999623E-2,7.481182649E-2
4.023125000E-2,1.788999885E-1,-1.519999951E-1,1.307999939E-1,2.687337768E-1
5.023281200E-2,2.838000059E-1,-1.347000003E-1,-2.566999793E-1,4.056863478E-1
6.023437500E-2,-1.699000001E-1,6.439999491E-2,-2.465999871E-1,3.063085422E-1
7.023281200E-2,-6.298999786E-1,1.782999933E-1,-2.384999990E-1,6.967403535E-1
8.023281200E-2,-6.473999619E-1,2.539999969E-2,-2.416999936E-1,6.915133821E-1
9.023281200E-2,-5.525000095E-1,3.949999809E-2,-1.392000020E-1,5.711332164E-1
1.002328120E-1,-1.071099997E0,5.319999903E-2,1.652999967E-1,1.085085034E0
1.102328120E-1,-5.363999605E-1,7.490000129E-2,3.808999956E-1,6.621327166E-1
1.202328120E-1,3.189999983E-2,-2.979999967E-2,5.315999985E-1,5.333893590E-1
1.302328120E-1,1.990999877E-1,-4.999999888E-3,9.007999897E-1,9.225542946E-1
1.402328120E-1,2.522000074E-1,1.638000011E-1,1.165499926E0,1.203671617E0
1.502328120E-1,2.010999918E-1,3.146999776E-1,6.850000024E-1,7.801937489E-1
1.602328120E-1,-1.305000037E-1,4.152999818E-1,6.709999591E-2,4.404619567E-1
1.702328120E-1,-5.799999833E-1,5.575999618E-1,-7.554999590E-1,1.103674719E0
1.802328120E-1,-5.968999863E-1,5.199999809E-1,-1.738699913E0,1.910436327E0
1.902296870E-1,-2.073999941E-1,5.008999705E-1,-2.764400005E0,2.817059269E0
2.002312500E-1,2.838000059E-1,5.561999679E-1,-3.287699938E0,3.346471534E0
2.102718750E-1,4.068999887E-1,5.774999857E-1,-3.200599909E0,3.277638420E0
2.202687500E-1,-3.869999945E-2,5.273999572E-1,-2.622299910E0,2.675089759E0
2.302687500E-1,-3.370999992E-1,3.955000043E-1,-1.853999972E0,1.925453858E0
2.402687500E-1,-3.889999986E-1,3.043999970E-1,-9.950999618E-1,1.110947474E0
2.502828120E-1,-8.599999547E-2,2.113000005E-1,9.759999812E-2,2.481319187E-1
2.602687500E-1,6.888999939E-1,3.579999879E-2,1.404399991E0,1.564673824E0
2.702671870E-1,1.027799964E0,-1.133999974E-1,2.546999931E0,2.748898138E0
2.802687500E-1,7.213000059E-1,-2.284999937E-1,2.648999929E0,2.754938579E0
2.902656250E-1,5.363999605E-1,-2.602999806E-1,1.717700005E0,1.818233842E0
3.002687500E-1,6.168000102E-1,-4.591999948E-1,-5.417000055E-1,9.406092620E-1
3.102687500E-1,2.597999871E-1,-7.939999700E-1,-2.608000040E0,2.738539062E0
3.202656250E-1,-3.258999884E-1,-5.041999817E-1,-2.262799978E0,2.341087817E0
3.302671870E-1,-6.861000061E-1,3.057000041E-1,-1.529899955E0,1.704341393E0
3.402703120E-1,-1.273299932E0,7.506999969E-1,-1.258000016E0,1.940981000E0
3.502687500E-1,-1.374499917E0,7.481999993E-1,-6.287999749E-1,1.686547559E0
3.602687500E-1,-4.064999819E-1,2.906000018E-1,9.829999506E-2,5.092675970E-1
3.702671870E-1,7.476999760E-1,3.249999881E-2,1.957899928E0,2.096063843E0
3.802687500E-1,9.456999898E-1,-4.289999977E-2,2.955600023E0,3.103507754E0
3.902656250E-1,4.882999957E-1,8.529999852E-2,1.863099933E0,1.927914504E0
4.002687500E-1,-5.913999677E-1,5.780000091E-1,6.996999979E-1,1.083244210E0
4.102687500E-1,-1.399199963E0,4.115999937E-1,1.297999918E-1,1.464248315E0
4.202671870E-1,-1.555599928E0,-9.969999641E-2,-2.509000003E-1,1.578854659E0
4.302687500E-1,-1.533299923E0,-7.864999771E-1,-8.254999518E-1,1.910769750E0
4.402656250E-1,-9.389999509E-1,-2.046299934E0,-1.356599927E0,2.628579025E0
4.502703120E-1,-2.075999975E-1,-3.295099974E0,-1.650699973E0,3.691285954E0
4.602687500E-1,2.088999897E-1,-3.498499870E0,-2.187099934E0,4.131167712E0
4.702656250E-1,4.705999792E-1,-2.339799881E0,-3.111199856E0,3.921185072E0
4.802703120E-1,9.299999475E-1,-1.003799915E0,-2.585399866E0,2.925201983E0
4.902671870E-1,1.642599940E0,2.290000021E-2,-1.099499941E0,1.976754687E0
5.002718750E-1,1.915199995E0,3.357999921E-1,1.677999973E0,2.568352890E0
5.102671870E-1,1.363099933E0,5.090999603E-1,3.820799828E0,4.088488170E0
5.202671870E-1,3.197000027E-1,9.769999981E-2,4.193500042E0,4.206803535E0
5.302687500E-1,-8.930999637E-1,-3.103999794E-1,2.247999907E0,2.438745430E0
5.402671870E-1,-1.603999972E0,-6.618999839E-1,-6.365999579E-1,1.848292998E0
5.502703120E-1,-1.732699990E0,-7.967999578E-1,-2.018599987E0,2.777028148E0
5.602703120E-1,-1.799099922E0,-5.909000039E-1,-1.933899999E0,2.706638607E0
5.702687500E-1,-1.537699938E0,-3.529999852E-1,-1.089200020E0,1.917155907E0
5.803109370E-1,-6.920999885E-1,-1.797999889E-1,1.235999987E-1,7.256771939E-1
5.902671870E-1,4.350000024E-1,-2.144999951E-1,9.652999640E-1,1.080295918E0
6.002718750E-1,1.178799987E0,-5.388999581E-1,1.265499949E0,1.811483562E0
6.102656250E-1,1.887299895E0,-6.994999647E-1,8.902999759E-1,2.200871451E0
6.202656250E-1,2.327499866E0,-7.606999874E-1,2.805999815E-1,2.464681815E0
6.302671870E-1,1.593500018E0,-7.664999962E-1,-8.991000056E-1,1.983720084E0
6.402687500E-1,5.658000112E-1,-9.571999907E-1,-1.053799987E0,1.531945132E0
6.503265620E-1,-1.585000008E-1,-1.133299947E0,-1.294000000E-1,1.151622933E0
6.602687500E-1,-4.527999759E-1,-1.236899972E0,1.378899932E0,1.906912264E0
6.702687500E-1,-7.680999637E-1,-1.333099961E0,1.773000002E0,2.347479940E0
6.802687500E-1,-9.455999732E-1,-1.220099926E0,2.186399937E0,2.676405766E0
6.902687500E-1,-1.053300023E0,-1.370700002E0,2.496199846E0,3.036325593E0
7.003125000E-1,-8.613999486E-1,-1.664399981E0,9.222999811E-1,2.088749488E0
7.102687500E-1,-1.081999987E-1,-1.686399937E0,-3.800999820E-1,1.732087753E0
7.202687500E-1,-2.248999923E-1,-2.501999855E0,-2.180299997E0,3.326302957E0
7.302687500E-1,-5.570999980E-1,-5.511899948E0,-2.930099964E0,6.267127512E0
7.403109370E-1,5.665000081E-1,-6.205499649E0,-8.131999969E-1,6.284142136E0
7.502843750E-1,-9.156000018E-1,-3.982999802E0,-1.671599984E0,4.415524577E0
7.602703120E-1,-1.680499911E0,-3.304699898E0,-2.809700012E0,4.651831416E0
7.703109370E-1,-1.980699897E0,-2.165899992E0,-3.158099890E0,4.311367506E0
7.802687500E-1,-2.825799942E0,-5.706999898E-1,-2.861000001E-1,2.897015188E0
7.902671870E-1,-3.859099865E0,7.344999909E-1,2.209699869E0,4.507207064E0
8.003265620E-1,-2.280400038E0,5.250999928E-1,2.666999817E0,3.548075867E0
8.102687500E-1,-1.566299915E0,-5.619999766E-1,1.773199916E0,2.431743683E0
8.202671870E-1,-1.035300016E0,-2.035699844E0,7.689999789E-2,2.285133167E0
8.303109370E-1,-5.607999563E-1,-3.069000006E0,-6.060000062E-1,3.178127378E0
8.402687500E-1,-9.504999518E-1,-3.014999866E0,-6.500999928E-1,3.227429992E0
8.503250000E-1,-1.994699955E0,-2.440299988E0,-8.176999688E-1,3.256151898E0
8.602656250E-1,-2.677299976E0,-2.152999878E0,-1.715199947E0,3.839955012E0
8.703109370E-1,-2.695999861E0,-1.878999949E0,-2.326599836E0,4.026428052E0
8.802687500E-1,-3.582799911E0,-6.384999752E-1,-2.029299974E0,4.166796829E0
8.902656250E-1,-4.007299900E0,6.791999936E-1,-1.877599955E0,4.477180665E0
9.003265620E-1,-3.981199980E0,2.135599852E0,-2.069399834E0,4.969220832E0
9.102656250E-1,-3.573199987E0,3.453799963E0,-1.992100000E0,5.353966263E0
9.202687500E-1,-3.033299923E0,5.772699833E0,-2.033299923E0,6.830759867E0
9.303109370E-1,-2.554499865E0,7.298399925E0,-1.749199986E0,7.927913447E0
9.402671870E-1,-3.855399847E0,9.357999802E0,-8.107999563E-1,1.015350505E1
9.502843750E-1,-5.958499908E0,1.032819939E1,-4.994999766E-1,1.193419138E1
9.603125000E-1,-6.811800003E0,8.859899521E0,-5.751000047E-1,1.119058438E1
9.702671870E-1,-6.491499901E0,4.811199665E0,-3.377999961E-1,8.087108384E0
9.802687500E-1,-4.949500084E0,1.172799945E0,3.446999788E-1,5.098218205E0
9.902687500E-1,-3.331099987E0,-4.260999858E-1,6.808999777E-1,3.426574543E0
1.000270312E0,-1.935899973E0,-3.476999998E-1,9.635999799E-1,2.190234900E0
1.010268750E0,-1.388999939E0,-3.762999773E-1,1.929999888E-1,1.451954372E0
1.020268750E0,-1.802799940E0,-4.924999774E-1,-4.968999922E-1,1.933792505E0
1.030267187E0,-1.460399985E0,-1.582999974E-1,-1.666700006E0,2.221647118E0
1.040268750E0,-8.282999992E-1,-8.041999936E-1,-1.532899976E0,1.919010384E0
1.050268750E0,-3.349999785E-1,-1.655900002E0,-6.024999619E-1,1.793665522E0
1.060268750E0,-9.131000042E-1,-2.309999943E0,6.635999680E-1,2.571034086E0
1.070267187E0,-1.617599964E0,-2.062799931E0,4.506999850E-1,2.659869108E0
1.080268750E0,-9.165999889E-1,-1.443899989E0,-1.075199962E0,2.020162785E0
1.090268750E0,-1.239999980E-1,-1.218299985E0,-1.500100017E0,1.936473835E0
1.100270312E0,4.759999737E-2,-6.403999925E-1,-6.854000092E-1,9.392289831E-1
1.110270312E0,-3.656999767E-1,2.710999846E-1,9.510000050E-2,4.650544965E-1
1.120268750E0,-7.306999564E-1,8.289999962E-1,2.858999968E-1,1.141447427E0
1.130267187E0,-3.955999911E-1,5.634999871E-1,2.531000078E-1,7.335470008E-1
1.140265625E0,7.629999518E-2,2.876999974E-1,3.100999892E-1,4.298313403E-1
1.150270312E0,1.900999993E-1,5.422999859E-1,2.913999856E-1,6.443145474E-1
1.160268750E0,2.209999971E-2,1.061900020E0,3.801999986E-1,1.128127697E0
1.170268750E0,-2.149999887E-1,7.483999729E-1,3.561999798E-1,8.562744538E-1
1.180268750E0,-2.552999854E-1,-1.336999983E-1,1.738999933E-1,3.365931962E-1
1.190265625E0,-1.206000000E-1,-7.020999789E-1,-7.800000161E-2,7.166398961E-1
1.200271875E0,2.000900030E0,-2.133800030E0,-6.121999621E-1,2.988560237E0
1.210268750E0,3.600799799E0,-3.055599928E0,-1.317099929E0,4.902774963E0
1.220267187E0,2.814599991E0,-1.742499948E0,-1.300899982E0,3.556770999E0
1.230268750E0,1.354200006E0,2.209999971E-2,-1.728399992E0,2.195839839E0
1.240268750E0,-2.879999951E-2,1.002399921E0,-2.588599920E0,2.776055581E0
1.250271875E0,-1.355299950E0,1.688799977E0,-1.945199966E0,2.910787905E0
1.260267187E0,-2.056499958E0,1.218199968E0,-5.536000133E-1,2.453502846E0
1.270267187E0,-1.722000003E0,-1.541000009E-1,6.183999777E-1,1.836150689E0
1.280268750E0,2.889999934E-2,-1.389500022E0,1.445199966E0,2.005030789E0
1.290309375E0,1.188799977E0,-1.350700021E0,1.981199980E0,2.676338785E0
1.300268750E0,4.887000024E-1,-3.316999972E-1,2.555599928E0,2.622964653E0
1.310265625E0,1.193000004E-1,4.816999733E-1,1.880399942E0,1.944780527E0
1.320268750E0,1.551999897E-1,5.503000021E-1,4.985999763E-1,7.586297288E-1
1.330268750E0,9.629999846E-2,6.387999654E-1,-3.382999897E-1,7.292365655E-1
1.340265625E0,-6.377999783E-1,1.070599914E0,-8.896999955E-1,1.531188777E0
1.350271875E0,-1.802599907E0,1.031499982E0,-1.250299931E0,2.424171725E0
1.360268750E0,-2.314399958E0,2.468999922E-1,-1.463799953E0,2.749566707E0
1.370265625E0,-1.154799938E0,-4.689999819E-1,-1.061800003E0,1.637358582E0
1.380268750E0,-9.544999599E-1,-5.468999743E-1,-1.270999908E0,1.680955241E0
1.390268750E0,-7.860999703E-1,-6.532999873E-1,-1.823599935E0,2.090519256E0
1.400314062E0,-1.213999987E-1,-1.169899940E0,-1.778899908E0,2.132577950E0
1.410267187E0,3.419999778E-1,-1.333400011E0,-1.371099949E0,1.942893369E0
1.420268750E0,-1.201999933E-1,-6.995999813E-1,-1.065099955E0,1.279971127E0
1.430268750E0,-7.576999664E-1,-5.863999724E-1,-1.261999905E-1,9.663853292E-1
1.440268750E0,2.615799904E0,-1.462599993E0,8.855999708E-1,3.125043229E0
1.450418750E0,3.467199802E0,-1.565699935E0,-5.412999988E-1,3.842641857E0
1.460417187E0,1.172699928E0,4.839999974E-2,-8.758999705E-1,1.464502796E0
1.470268750E0,-1.544999927E-1,7.806999683E-1,-1.214100003E0,1.451689191E0
1.480268750E0,-7.730000019E-1,8.141999841E-1,-1.822600007E0,2.140635747E0
1.490307812E0,-7.009999752E-1,4.834999740E-1,-2.392899990E0,2.539910147E0
1.500284375E0,-3.181000054E-1,3.181999922E-1,-2.291699886E0,2.335450110E0
1.510268750E0,-3.170000017E-2,3.518999815E-1,-3.723999858E-1,5.133422215E-1
1.520268750E0,8.493999839E-1,3.876000047E-1,1.708499908E0,1.946968421E0
1.530268750E0,8.718999624E-1,1.481699944E0,2.964299917E0,3.426764986E0
1.540267187E0,-2.691999972E-1,3.061699867E0,3.201200008E0,4.437809844E0
1.550268750E0,-1.717000008E-1,3.549700022E0,1.674199939E0,3.928459822E0
1.560268750E0,3.073899984E0,1.633299947E0,-2.485999912E-1,3.489746665E0
1.570151562E0,1.798999906E0,1.952999979E-1,-2.898999929E0,3.417417642E0
1.580267187E0,-5.543999672E0,8.019999862E-1,-3.073999882E0,6.389727037E0
1.590268750E0,-9.140299797E0,7.056999803E-1,-6.459000111E-1,9.190227400E0
1.600270312E0,-6.124399662E0,-5.031999946E-1,1.565499902E0,6.341314643E0
1.610265625E0,-2.611799955E0,-7.854999900E-1,3.116199970E0,4.141160646E0
1.620268750E0,-2.019599915E0,-3.075999916E-1,2.504299879E0,3.231860061E0
1.630268750E0,-3.165400028E0,1.331999898E-1,4.812999964E-1,3.204551336E0
1.640268750E0,-3.373799801E0,3.043999970E-1,-1.120999977E-1,3.389358474E0
1.650271875E0,-2.529700041E0,8.999999845E-4,5.739999935E-2,2.530351333E0
1.660268750E0,-2.440599918E0,-4.034000039E-1,-2.310999930E-1,2.484485205E0
1.670268750E0,-1.868199944E0,-7.634999752E-1,-9.864999652E-1,2.246393872E0
1.680268750E0,-1.211599946E0,-9.910999537E-1,-1.362900019E0,2.075511987E0
1.690268750E0,-1.588599920E0,-1.506899953E0,-6.549999714E-1,2.285480723E0
1.700271875E0,-2.138000011E0,-1.721199989E0,-2.509000003E-1,2.756179287E0
