"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,5.759999901E-2,-9.899999946E-2,-2.915999889E-1,3.132879080E-1
1.018281200E-2,5.764999986E-1,-5.029999614E-1,-2.518999875E-1,8.054904178E-1
2.000000000E-2,1.183200002E0,-9.796999693E-1,-8.678999543E-1,1.764376548E0
3.043593700E-2,1.450099945E0,-1.026299953E0,-1.155799985E0,2.119423282E0
4.043125000E-2,1.033100009E0,-8.509999514E-1,-1.331000030E-1,1.345069573E0
5.043281200E-2,4.386999905E-1,-7.253999710E-1,1.879199982E0,2.061566242E0
6.043125000E-2,6.790999770E-1,-1.031800032E0,1.982999921E0,2.336252720E0
7.043437500E-2,1.229099989E0,-1.238899946E0,1.287199974E0,2.168511848E0
8.043281200E-2,1.502099991E0,-1.182299972E0,5.728999972E-1,1.995583126E0
9.043437500E-2,1.478999972E0,-1.114599943E0,9.300000034E-3,1.851988240E0
1.004328120E-1,1.712499976E0,-7.947999835E-1,-1.680999994E-1,1.895421007E0
1.104328120E-1,1.505999923E0,-7.433999777E-1,4.999999702E-2,1.680231917E0
1.204328120E-1,1.449100018E0,-9.605999589E-1,2.280999869E-1,1.753474478E0
1.304343750E-1,1.875599980E0,-1.308699965E0,2.403999865E-1,2.299644111E0
1.404343750E-1,2.033799887E0,-1.288499951E0,9.129999578E-2,2.409338040E0
1.504328120E-1,1.585399985E0,-9.219999909E-1,-6.159999967E-2,1.835039961E0
1.604328120E-1,4.958999753E-1,-3.132999837E-1,-2.609999850E-2,5.871583051E-1
1.704343750E-1,-6.237999797E-1,3.792999983E-1,-2.351999879E-1,7.670162564E-1
1.804328120E-1,-1.041199923E0,9.875999689E-1,-8.495999575E-1,1.667714324E0
1.904343750E-1,-8.349999785E-1,1.212399960E0,-1.490499973E0,2.094929306E0
2.004328120E-1,-5.313999653E-1,1.085799932E0,-1.865299940E0,2.222766583E0
2.104343750E-1,-1.317299962E0,6.322000027E-1,-9.549999833E-1,1.745560369E0
2.204718750E-1,4.596999884E-1,6.545000076E-1,-5.857999921E-1,9.913909269E-1
2.304703120E-1,4.617999792E-1,8.235999942E-1,-3.887099981E0,4.000140302E0
2.406171870E-1,-7.901999950E-1,6.830999851E-1,-4.538000107E0,4.656660455E0
2.506203120E-1,-3.525699854E0,1.923599958E0,-3.686599970E0,5.451771785E0
2.604687500E-1,-4.353499889E0,2.378499985E0,-2.653100014E0,5.625758895E0
2.705093750E-1,-4.808599949E0,2.201099873E0,-2.195600033E0,5.726092352E0
2.804671870E-1,-2.617599964E0,2.293099880E0,-1.689000010E0,3.868185320E0
2.904703120E-1,-1.708799958E0,2.924999952E0,-2.710999966E0,4.338795090E0
3.003609370E-1,8.299999684E-2,1.080299973E0,-9.289999604E-1,1.427227368E0
3.104687500E-1,2.066799879E0,-3.391999900E-1,6.149999797E-2,2.095352148E0
