"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.115499973E0,3.985999823E-1,-3.319999874E-1,1.230221983E0
1.015156300E-2,-1.115499973E0,3.985999823E-1,-3.319999874E-1,1.230221983E0
2.018125000E-2,-1.115499973E0,3.985999823E-1,-3.319999874E-1,1.230221983E0
3.043437500E-2,-1.115499973E0,3.985999823E-1,-3.319999874E-1,1.230221983E0
4.043125000E-2,-6.250000000E-2,-3.849999979E-2,-6.709999591E-2,9.945305141E-2
5.043125000E-2,7.270000130E-2,-2.070000023E-2,-6.199999899E-2,9.776389964E-2
6.043281300E-2,1.700999886E-1,-8.940000087E-2,-1.960999966E-1,2.745570522E-1
7.043281300E-2,4.199999943E-2,5.029999837E-2,-5.644999743E-1,5.682906921E-1
8.043281300E-2,-1.771000028E-1,2.935999930E-1,-5.879999995E-1,6.806683233E-1
9.043281300E-2,-2.226999998E-1,2.902999818E-1,-3.856999874E-1,5.316331909E-1
1.004343750E-1,9.429999441E-2,2.060000040E-2,-9.309999645E-2,1.341061456E-1
1.104328130E-1,1.303000003E-1,5.680000037E-2,-1.015999988E-1,1.747194605E-1
1.204328130E-1,1.564999968E-1,1.576000005E-1,-1.735999882E-1,2.818988561E-1
1.304328130E-1,-3.046999872E-1,6.406999826E-1,8.929999918E-2,7.150615636E-1
1.404328130E-1,-1.149600029E0,1.324800014E0,2.786000073E-1,1.776033015E0
1.504343750E-1,-5.629999638E-1,9.122999907E-1,-7.970000058E-2,1.074994103E0
1.604328130E-1,-1.366999894E-1,3.718000054E-1,-8.779999614E-2,4.057474220E-1
1.704328130E-1,5.770999789E-1,-1.671999991E-1,1.240999997E-1,6.135153097E-1
1.804343750E-1,6.243999600E-1,-4.032000005E-1,-1.669999957E-2,7.434543971E-1
1.904328130E-1,3.613999784E-1,-3.529999852E-1,-3.380999863E-1,6.078902324E-1
2.004328130E-1,3.640999794E-1,-4.770999849E-1,-5.309999585E-1,8.013452106E-1
2.104328130E-1,5.777999759E-1,-5.922999978E-1,-1.053999960E-1,8.341350362E-1
2.204734380E-1,8.611999750E-1,-9.384999871E-1,-7.050000131E-2,1.275702894E0
2.304703130E-1,9.029999971E-1,-1.088199973E0,-4.001999795E-1,1.469608179E0
2.404687500E-1,6.152999997E-1,-9.788999557E-1,-8.640999794E-1,1.443436174E0
2.504671880E-1,4.236999750E-1,-1.363499999E0,-9.195999503E-1,1.698327997E0
2.604703130E-1,1.199499965E0,-2.233999968E0,4.403999746E-1,2.573617718E0
2.704687500E-1,2.806999922E0,-4.242499828E0,2.320499897E0,5.591312290E0
2.805125000E-1,4.437699795E0,-6.659800053E0,3.594599962E0,8.773098945E0
2.904671880E-1,5.545799732E0,-9.222000122E0,2.413300037E0,1.102838148E1
3.004703130E-1,4.255499840E0,-8.936100006E0,1.025599957E0,9.950628999E0
3.105093750E-1,3.342399836E0,-7.295699596E0,-1.194999963E-1,8.025780305E0
3.204703130E-1,6.382999897E0,-6.930899620E0,-9.899999499E-1,9.474183718E0
3.305125000E-1,6.852499962E0,-5.956399918E0,4.192999899E-1,9.089074111E0
3.404687500E-1,2.106699944E0,-3.060999870E0,2.732499838E0,4.612424549E0
3.505093750E-1,-1.697600007E0,-1.878600001E0,2.655599833E0,3.669222563E0
3.604687500E-1,-3.442499876E0,-2.702299833E0,3.014999926E-1,4.386813426E0
3.705093750E-1,-5.009599686E0,-3.446599960E0,-1.719200015E0,6.319081341E0
3.804718750E-1,-7.621599674E0,-2.609299898E0,-3.258100033E0,8.689789605E0
3.905109380E-1,-8.600500107E0,-2.054999918E-1,-6.091000080E0,1.054092569E1
4.004687500E-1,-9.830399513E0,2.752699852E0,-6.891999722E0,1.231721443E1
4.105093750E-1,-1.102149963E1,5.505699635E0,-5.194600105E0,1.337049187E1
4.204703130E-1,-1.157149982E1,6.688899994E0,-2.417000055E0,1.358244752E1
4.304750000E-1,-1.007859993E1,5.460899830E0,-3.060999811E-1,1.146705283E1
4.405093750E-1,-7.237499714E0,2.099400043E0,4.934999943E-1,7.551981521E0
4.504687500E-1,-1.304299951E0,-2.884099960E0,2.804999948E-1,3.177721069E0
4.604687500E-1,3.091399908E0,-7.270699978E0,-4.571999907E-1,7.913839990E0
4.705109380E-1,2.254400015E0,-7.164499760E0,-1.773799896E0,7.717431069E0
