"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-8.712148666E-2,-1.228659630E0,1.146175385E0,1.682531620E0
4.826875000E-3,1.497449875E-1,-1.012445450E0,1.090968132E0,1.495887969E0
9.653021000E-3,7.915616035E-1,-6.829538345E-1,1.162552834E0,1.563497619E0
1.447833300E-2,1.116742849E0,-5.319499969E-1,1.384551048E0,1.856627856E0
1.930442700E-2,1.375111341E0,-3.668775558E-1,1.394372940E0,1.992437261E0
2.413130200E-2,1.426153064E0,-2.824177742E-1,1.149677277E0,1.853491354E0
2.895744800E-2,1.282172561E0,-2.719182968E-1,8.385782242E-1,1.555994689E0
3.378276000E-2,1.086909652E0,-2.952532768E-1,5.602798462E-1,1.257958900E0
3.860885400E-2,8.090913296E-1,-3.950123787E-1,4.585828781E-1,1.010426551E0
4.343578100E-2,5.886685848E-1,-4.794702530E-1,4.799051285E-1,8.981822524E-1
4.826187500E-2,3.773236275E-1,-5.502815247E-1,5.529937744E-1,8.665939019E-1
5.308718700E-2,2.332123518E-1,-6.248402596E-1,6.417579651E-1,9.255628756E-1
5.791333300E-2,1.229646206E-1,-7.133495808E-1,6.701097488E-1,9.864253635E-1
6.274020800E-2,2.411073446E-2,-7.907347679E-1,6.613111496E-1,1.031103893E0
6.756630200E-2,9.595155716E-4,-8.859913349E-1,6.493253708E-1,1.098455736E0
7.239166700E-2,5.125790834E-2,-8.974354267E-1,7.851753235E-1,1.193531737E0
7.721776000E-2,5.732089281E-2,-9.418678284E-1,8.839511871E-1,1.292969602E0
8.204463500E-2,4.865953326E-2,-9.581673145E-1,8.820905685E-1,1.303278989E0
8.687078100E-2,4.006189108E-2,-9.799146652E-1,9.081468582E-1,1.336625760E0
9.169609400E-2,3.232079744E-2,-9.793217182E-1,9.731369019E-1,1.380981930E0
9.652218700E-2,-4.101568460E-2,-9.784295559E-1,9.692201614E-1,1.377822341E0
1.013491150E-1,-1.888221949E-1,-1.000933170E0,8.843603134E-1,1.348930761E0
1.061752080E-1,-4.368060231E-1,-1.149176836E0,6.366548538E-1,1.384462461E0
1.110005210E-1,-5.956006050E-1,-1.361769676E0,5.236816406E-1,1.575880450E0
1.158266150E-1,-6.647043228E-1,-1.525072455E0,3.409624100E-1,1.698214708E0
1.206535420E-1,-6.767596006E-1,-1.670606256E0,1.040935516E-2,1.802508578E0
1.254796350E-1,-6.361207962E-1,-1.800609231E0,-3.435258865E-1,1.940322990E0
1.303049480E-1,-5.942161083E-1,-1.921692729E0,-6.249732971E-1,2.106320809E0
1.351310940E-1,-5.891534090E-1,-2.040410519E0,-8.265848160E-1,2.278951356E0
1.399579690E-1,-6.085353494E-1,-2.097614765E0,-8.614645004E-1,2.347855204E0
1.447840620E-1,-6.487072706E-1,-2.267306328E0,-8.715982437E-1,2.514196215E0
1.496094270E-1,-6.469146013E-1,-2.026631594E0,-4.617300034E-1,2.176908063E0
1.544355210E-1,-5.605046749E-1,-1.580442309E0,-2.998352051E-2,1.677159025E0
1.592623960E-1,-4.343948364E-1,-1.028226376E0,2.304334641E-1,1.139757840E0
1.640885420E-1,-3.369942904E-1,-5.681874752E-1,3.058748245E-1,7.279845925E-1
1.689138540E-1,-3.228136301E-1,-2.138838768E-1,2.696676254E-1,4.718851351E-1
1.737399480E-1,-3.266116381E-1,7.737660408E-2,2.618846893E-1,4.257298339E-1
1.785668750E-1,-4.074237347E-1,1.566026211E-1,1.831436157E-1,4.733498331E-1
1.833929690E-1,-4.807223082E-1,1.401193142E-1,1.171073914E-1,5.142387586E-1
1.882182810E-1,-5.505279303E-1,1.279520988E-1,1.483821869E-1,5.843543574E-1
1.930444270E-1,-6.624989510E-1,1.689276695E-1,1.790485382E-1,7.067529955E-1
1.978713020E-1,-8.820185661E-1,1.933090687E-1,1.081380844E-1,9.094058458E-1
2.026973960E-1,-9.974710941E-1,1.542375088E-1,-1.028518677E-1,1.014552265E0
2.075227600E-1,-1.060309172E0,1.119666100E-1,-4.165601730E-1,1.144689669E0
2.123488540E-1,-1.065379620E0,9.031295776E-3,-8.271045685E-1,1.348783624E0
2.171757290E-1,-9.422017336E-1,-1.114721298E-1,-1.041625977E0,1.408955222E0
2.220018230E-1,-8.031272888E-1,-2.259895802E-1,-9.773197174E-1,1.285005277E0
2.268271870E-1,-6.016343832E-1,-3.709821701E-1,-9.744110107E-1,1.203772619E0
2.316532810E-1,-3.444674015E-1,-4.226353168E-1,-1.056376934E0,1.188785358E0
2.364801560E-1,-7.019209862E-2,-4.200365543E-1,-1.078297138E0,1.159345659E0
2.413063020E-1,1.987369061E-1,-2.936272621E-1,-9.770555496E-1,1.039399285E0
2.461316150E-1,4.354186058E-1,-1.285357475E-1,-6.759967804E-1,8.142987460E-1
2.509577080E-1,6.116256714E-1,-4.331111908E-3,-2.787160873E-1,6.721513057E-1
2.557846350E-1,7.401285172E-1,1.230006218E-1,2.896614075E-1,8.042531354E-1
2.606107290E-1,7.014775276E-1,1.219508648E-1,5.981054306E-1,9.298778636E-1
2.654360420E-1,5.917799473E-1,5.452752113E-2,8.186817169E-1,1.011640504E0
2.702621870E-1,5.103724003E-1,-3.427171707E-2,9.532518387E-1,1.081824203E0
2.750890620E-1,4.343028069E-1,-8.317708969E-2,9.611015320E-1,1.057947783E0
2.799151560E-1,3.873891830E-1,-9.976744652E-2,8.327417374E-1,9.238412871E-1
2.847405210E-1,4.048552513E-1,-1.881628036E-1,6.460905075E-1,7.853317510E-1
2.895666150E-1,5.337636471E-1,-3.279993534E-1,4.919166565E-1,7.965357517E-1
2.943934900E-1,7.110764980E-1,-5.136766434E-1,3.602476120E-1,9.482994369E-1
2.992196350E-1,9.186148643E-1,-6.593723297E-1,3.282613754E-1,1.177446673E0
3.040449480E-1,1.103694201E0,-7.160918713E-1,4.626617432E-1,1.394626955E0
3.088710420E-1,1.288721800E0,-7.894885540E-1,6.211376190E-1,1.633985311E0
3.136979690E-1,1.484721422E0,-7.666394711E-1,8.048734665E-1,1.854711589E0
3.185240620E-1,1.631788492E0,-7.462520599E-1,9.344940186E-1,2.023092902E0
3.233493750E-1,1.712967873E0,-7.690653801E-1,9.624147415E-1,2.109967447E0
3.281755210E-1,1.791332960E0,-8.489880562E-1,1.082969666E0,2.258866483E0
3.330023960E-1,1.883818388E0,-9.452626705E-1,1.166699409E0,2.409041458E0
3.378284900E-1,1.891845226E0,-1.119014978E0,1.055430412E0,2.438279360E0
