"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-2.830999792E-1,-9.899999946E-2,-9.380000085E-2,3.142372324E-1
1.018906200E-2,-2.265999913E-1,1.640999913E-1,1.248600006E0,1.279561776E0
2.043906200E-2,1.620000005E-1,1.649999917E-1,2.033200026E0,2.046306756E0
3.043750000E-2,5.205999613E-1,-6.489999592E-2,1.913100004E0,1.983730817E0
4.043750000E-2,3.885000050E-1,-1.613999903E-1,1.023199916E0,1.106309305E0
5.043750000E-2,4.969999939E-2,3.159999847E-2,5.229999870E-2,7.876509193E-2
6.043750000E-2,-2.060000002E-1,1.634999961E-1,-3.411999941E-1,4.307965701E-1
7.043593700E-2,-2.879000008E-1,9.799999744E-2,-4.707999825E-1,5.604846417E-1
8.043750000E-2,-2.766999900E-1,9.049999714E-2,-7.019000053E-1,7.598794322E-1
9.043750000E-2,-6.315999627E-1,2.155999988E-1,-8.294000030E-1,1.064568569E0
1.004375000E-1,-8.506000042E-1,4.727999866E-1,-6.420999765E-1,1.165912764E0
1.104375000E-1,-4.549999833E-1,4.205999970E-1,-1.706999987E-1,6.427035334E-1
1.204359370E-1,1.599999964E-1,2.122999877E-1,4.092999995E-1,4.880550924E-1
1.304375000E-1,8.729999512E-2,1.233999953E-1,7.757999897E-1,7.903888106E-1
1.404343750E-1,-1.961999983E-1,1.447999924E-1,7.773000002E-1,8.146513165E-1
1.504359370E-1,5.469999835E-2,-5.329999700E-2,9.264000058E-1,9.295428717E-1
1.604375000E-1,2.649999857E-1,-2.579999864E-1,1.133399963E0,1.192218295E0
1.704375000E-1,-7.360000163E-2,-2.917000055E-1,8.746999502E-1,9.249896520E-1
1.804375000E-1,-1.953999996E-1,-1.327999979E-1,1.607999951E-1,2.857859999E-1
1.904375000E-1,-2.248999923E-1,1.121999994E-1,-1.172699928E0,1.199330633E0
2.004359370E-1,-4.602999985E-1,4.749999940E-1,-2.319900036E0,2.412350982E0
2.104765620E-1,-9.413999915E-1,1.003600001E0,-2.411599874E0,2.776555575E0
2.204718750E-1,4.230999947E-1,3.364999890E-1,-1.295599937E0,1.403860764E0
2.304890620E-1,3.322899818E0,-1.799600005E0,1.021700025E0,3.914600148E0
2.404734370E-1,4.810999870E0,-3.219399929E0,3.108700037E0,6.570713171E0
2.504718750E-1,4.343800068E0,-2.816999912E0,2.845499992E0,5.907703254E0
2.604734370E-1,3.806399822E0,-2.576699972E0,2.004899979E0,5.014746881E0
2.704734370E-1,3.813099861E0,-2.872699976E0,1.582399964E0,5.029525360E0
2.802125000E-1,3.943599939E0,-2.801899910E0,7.843999863E-1,4.900806763E0
2.904734370E-1,2.689999819E0,-1.787799954E0,3.000999987E-1,3.243823009E0
3.004734370E-1,1.824000001E0,-9.190999866E-1,-1.355399966E0,2.451291467E0
3.104734370E-1,-9.669999480E-1,4.324999750E-1,-2.698699951E0,2.899159629E0
3.205156250E-1,-4.197599888E0,1.471799970E0,-3.777599812E0,5.835777609E0
3.304765620E-1,-6.797099590E0,2.476799965E0,-4.450999737E0,8.493909557E0
3.404718750E-1,-7.908999920E0,3.173099995E0,-3.505599976E0,9.214666272E0
3.504734370E-1,-7.152400017E0,2.464799881E0,-2.500699997E0,7.967782937E0
3.604734370E-1,-4.501100063E0,-1.651600003E0,-1.396199942E0,4.993701896E0
3.704734370E-1,-1.761299968E0,-4.500899792E0,1.173699975E0,4.973715728E0
3.804890620E-1,-2.456999868E-1,-1.800799966E0,3.168900013E0,3.653105021E0
3.904718750E-1,-7.459999919E-1,-8.420000076E-1,3.859299898E0,4.019909912E0
4.004750000E-1,-1.913399935E0,-7.919999957E-1,3.126399994E0,3.750032030E0
4.104718750E-1,-2.721499920E0,2.354999930E-1,1.595199943E0,3.163334462E0
4.205156250E-1,-2.385699987E0,2.141999900E-1,2.839999795E-1,2.412074222E0
4.304750000E-1,-1.024199963E0,-1.762000024E-1,-5.087000132E-1,1.157068584E0
4.404734370E-1,1.603000015E-1,-3.650999963E-1,-9.009999782E-2,4.087934777E-1
4.504718750E-1,3.718000054E-1,-9.687999487E-1,-3.068999946E-1,1.082125774E0
4.604734370E-1,1.331000030E-1,-4.693999887E-1,-1.791399956E0,1.856654454E0
4.705171870E-1,3.754999936E-1,-9.099999666E-1,-7.366999984E-1,1.229563773E0
4.806250000E-1,7.486000061E-1,-1.099699974E0,-6.121000051E-1,1.464379875E0
4.906218750E-1,7.900999784E-1,-1.642399907E0,1.296999902E-1,1.827172000E0
5.004734370E-1,2.399299860E0,-2.975499868E0,7.968999743E-1,3.904521591E0
5.104718750E-1,4.026799679E0,-3.955399990E0,1.775799990E0,5.917243475E0
5.204718750E-1,3.154500008E0,-2.357199907E0,1.410599947E0,4.182947993E0
