"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.558899999E0,-1.219999976E-2,-1.479699969E0,2.149378991E0
1.018281300E-2,-1.558899999E0,-1.219999976E-2,-1.479699969E0,2.149378991E0
2.018125000E-2,-1.558899999E0,-1.219999976E-2,-1.479699969E0,2.149378991E0
3.043593800E-2,-1.558899999E0,-1.219999976E-2,-1.479699969E0,2.149378991E0
4.043281300E-2,2.254000008E-1,1.160099983E0,-1.604999900E-1,1.192643022E0
5.043281300E-2,-1.015599966E0,1.500699997E0,3.258999825E0,3.728890402E0
6.043125000E-2,-1.129599929E0,1.054999977E-1,5.508800030E0,5.624411437E0
7.043437500E-2,7.939999551E-2,-1.959399939E0,4.591000080E0,4.992277458E0
8.043437500E-2,2.518800020E0,-3.123800039E0,3.750899792E0,5.492879889E0
9.043437500E-2,4.120299816E0,-3.340299845E0,2.409899950E0,5.825984157E0
1.004328130E-1,4.594399929E0,-3.167599916E0,1.535599947E0,5.787941528E0
1.104343750E-1,5.223299980E0,-2.866299868E0,2.100100040E0,6.317353702E0
1.204343750E-1,5.440499783E0,-2.582399845E0,2.868599892E0,6.670584096E0
1.304343750E-1,3.852499962E0,-9.660799980E0,4.851299763E0,1.147640717E1
1.404343750E-1,4.822199821E0,-3.713899851E0,8.532099724E0,1.048061968E1
1.504343750E-1,6.740299702E0,1.745999902E-1,2.546999931E0,7.207588631E0
1.604312500E-1,4.744800091E0,-9.612999558E-1,-5.561000109E-1,4.873035269E0
1.704343750E-1,2.174900055E0,-4.360399723E0,1.354099989E0,5.057357291E0
1.804343750E-1,2.700299978E0,-6.363999844E0,2.890899897E0,7.493291413E0
1.904343750E-1,3.859999895E0,-5.259500027E0,2.136199951E0,6.864786228E0
2.004343750E-1,1.152699947E0,-1.540599942E0,8.956999779E-1,2.122367499E0
2.104328130E-1,5.694000125E-1,4.779999703E-2,6.911000013E-1,8.967276207E-1
2.204734380E-1,-2.325299978E0,1.330199957E0,4.174999893E-1,2.711228164E0
2.304703130E-1,-4.768499851E0,2.090600014E0,5.443999767E-1,5.235033007E0
2.404687500E-1,-4.774799824E0,1.878699899E0,5.917999744E-1,5.165118961E0
2.504859380E-1,-3.240199804E0,2.037899971E0,4.809999838E-2,3.828086294E0
2.604687500E-1,-3.178499937E0,2.205199957E0,-4.745999873E-1,3.897565118E0
2.704703130E-1,-3.600199938E0,1.066499949E0,-2.901999950E-1,3.766042720E0
2.804687500E-1,-1.599999905E0,-4.584999979E-1,-1.009999961E-1,1.667460027E0
2.904687500E-1,1.350799918E0,-1.108999968E0,3.649999946E-2,1.748105717E0
3.004859380E-1,3.418200016E0,-7.789999843E-1,6.114999652E-1,3.558772897E0
3.104703130E-1,4.457299709E0,7.536999583E-1,3.937999904E-1,4.537693551E0
3.204687500E-1,3.387499809E0,2.711699963E0,-7.385999560E-1,4.401590797E0
3.304703130E-1,1.822199941E0,3.814999819E0,-4.512999952E-1,4.251859349E0
3.404703130E-1,-5.969999731E-2,2.968199968E0,4.989999831E-1,3.010444506E0
3.504718750E-1,-1.206300020E0,1.304000020E0,4.625999928E-1,1.835640091E0
3.604671880E-1,-1.842599988E0,4.138999879E-1,-8.111000061E-1,2.055327501E0
3.704671880E-1,-2.358099937E0,-4.270000011E-2,-1.215799928E0,2.653418186E0
3.813250000E-1,-2.231400013E0,-4.223999977E-1,-6.732000113E-1,2.368705560E0
3.904703130E-1,-1.811100006E0,-6.272000074E-1,-1.591999978E-1,1.923228463E0
4.006203130E-1,-2.198899984E0,-8.696999550E-1,-3.642999828E-1,2.392541249E0
4.106156250E-1,-1.830999970E0,-5.302599907E0,-1.419699907E0,5.786680784E0
4.204671880E-1,4.312599659E0,-1.018729973E1,-3.094499826E0,1.148718942E1
4.304703130E-1,2.483000040E0,-3.433099985E0,-3.006999791E-1,4.247574035E0
4.404687500E-1,3.197999954E0,-1.976899981E0,-1.477999985E-1,3.762603099E0
4.504718750E-1,2.494299889E0,-1.704299927E0,-1.325099945E0,3.298796756E0
4.604687500E-1,1.603199959E0,-1.127300024E0,-1.964499950E0,2.774944235E0
4.704687500E-1,1.557500005E0,-4.711000025E-1,-5.543000102E-1,1.719008429E0
4.804968750E-1,1.407799959E0,-1.323499918E0,2.184599876E0,2.916509794E0
4.904687500E-1,-6.079999730E-2,-1.571499944E0,4.068500042E0,4.361880478E0
5.005156250E-1,-1.180299997E0,-1.440799952E0,5.326900005E0,5.643126461E0
5.104703130E-1,-2.663699865E0,-8.448999524E-1,3.135299921E0,4.199911725E0
5.204687500E-1,-2.552899837E0,-1.536700010E0,1.146099925E0,3.192536537E0
5.304687500E-1,-2.132299900E0,-2.100800037E0,9.700999856E-1,3.146610501E0
5.404703130E-1,-9.099999666E-1,-2.849599838E0,7.179999948E-1,3.076335998E0
5.505296880E-1,3.055999875E-1,-3.763899803E0,-2.177999973E0,4.359359697E0
5.604687500E-1,3.089900017E0,-4.577199936E0,-7.587800026E0,9.384718994E0
5.704703130E-1,5.480899811E0,-4.330800056E0,-7.441899776E0,1.020676071E1
5.804703130E-1,6.112999916E0,-2.776700020E0,-2.726899862E0,7.246710553E0
5.904671880E-1,2.686899900E0,-1.249400020E0,2.773900032E0,4.058934943E0
6.005265630E-1,-1.274599910E0,5.837000012E-1,3.313999891E0,3.598319872E0
6.104703130E-1,-5.796400070E0,5.173000097E-1,2.510999918E0,6.338057562E0
6.204703130E-1,-4.565199852E0,4.407999814E-1,-5.500999928E0,7.162147340E0
6.304703130E-1,-3.687399864E0,4.159999788E-1,-6.005799770E0,7.059717036E0
6.404671880E-1,-2.730000019E0,1.531899929E0,-4.483599663E0,5.468298038E0
6.504703130E-1,-4.023799896E0,2.622200012E0,-1.829999983E-1,4.806286249E0
6.604718750E-1,-6.438299656E0,3.507399797E0,2.587399960E0,7.774843686E0
6.704703130E-1,-7.969799995E0,5.192199707E0,3.332299948E0,1.007873369E1
6.805125000E-1,-4.343299866E0,6.110899925E0,1.559700012E0,7.657676916E0
6.904687500E-1,-1.536999941E0,7.226599693E0,9.769999981E-1,7.452559355E0
7.004843750E-1,-1.019299984E0,7.586499691E0,1.217700005E0,7.750918869E0
7.104671880E-1,-2.079699993E0,7.519199848E0,-6.405000091E-1,7.827755660E0
7.204703130E-1,-1.429399967E0,5.750599861E0,-2.454399824E0,6.413786832E0
7.304687500E-1,-1.850000024E-1,3.847999811E0,-4.525000095E0,5.942806863E0
7.404687500E-1,8.077999949E-1,2.621799946E0,-5.832099915E0,6.445135003E0
7.504703130E-1,1.858699918E0,1.362299919E0,-1.288539982E1,1.308984931E1
7.604687500E-1,1.081499934E0,-1.073400021E0,-7.040099621E0,7.203112687E0
7.704671880E-1,-5.370000005E-2,-2.964499950E0,4.431499958E0,5.331916684E0
7.804703130E-1,-2.343999863E0,-2.496700048E0,1.228749943E1,1.275580216E1
7.904703130E-1,-3.956199884E0,-2.328099966E0,9.442500114E0,1.049916070E1
8.004718750E-1,-3.794199944E0,-2.248899937E0,4.107399940E0,6.026959300E0
8.104703130E-1,-2.634899855E0,-1.604099989E0,-6.873999834E-1,3.160435533E0
8.204703130E-1,-4.569999874E-1,-3.181999922E-1,-3.116099834E0,3.165466538E0
8.304687500E-1,1.211499929E0,1.293999910E0,-2.678599834E0,3.212018823E0
8.404671880E-1,7.396599770E0,3.549999893E-1,-7.013999820E-1,7.438257530E0
8.504718750E-1,5.135499954E0,6.525999904E-1,-2.721000016E-1,5.183944920E0
8.605109380E-1,5.951900005E0,-1.026999950E-1,2.265999913E-1,5.957097323E0
8.704671880E-1,2.842999935E0,-1.008100033E0,4.988999963E-1,3.057419748E0
8.804703130E-1,-4.561999738E-1,-1.941499949E0,1.429799914E0,2.453949523E0
8.904703130E-1,-2.844199896E0,-2.053799868E0,1.401499987E0,3.777799512E0
9.004750000E-1,-3.960799932E0,-2.144299984E0,-5.350000039E-2,4.504311354E0
9.104703130E-1,-3.995799780E0,-1.985299945E0,-1.663100004E0,4.761694381E0
9.205109380E-1,2.300000004E-2,-2.126699924E0,-2.018399954E0,2.932118678E0
