"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.505897999E0,-1.520745754E0,1.078475952E0,2.396561456E0
4.826562000E-3,-1.483912945E0,-1.457283020E0,1.018406868E0,2.315777186E0
9.652291000E-3,-1.424376726E0,-1.390625715E0,9.356060028E-1,2.199556212E0
1.447885400E-2,-1.394167662E0,-1.288402319E0,8.667602539E-1,2.086853455E0
1.930619800E-2,-1.334398508E0,-1.212728739E0,8.264017105E-1,1.983499473E0
2.413276000E-2,-1.284383059E0,-1.145588398E0,7.762231827E-1,1.887997629E0
2.895854100E-2,-1.231493711E0,-1.069838524E0,7.504587173E-1,1.795639027E0
3.378505200E-2,-1.180060029E0,-1.063385010E0,7.547597885E-1,1.758690334E0
3.861239600E-2,-1.120411158E0,-1.017795563E0,7.511386871E-1,1.689804219E0
4.343895800E-2,-1.027168512E0,-9.161067009E-1,6.892919540E-1,1.539301802E0
4.826473900E-2,-1.014328003E0,-9.074637890E-1,6.702060699E-1,1.517078773E0
5.309125000E-2,-9.179219007E-1,-8.063814640E-1,4.686298370E-1,1.308604450E0
5.791859400E-2,-8.180789351E-1,-6.600708961E-1,4.115333557E-1,1.128851822E0
6.274515600E-2,-6.869161129E-1,-5.902068615E-1,3.944416046E-1,9.878168175E-1
6.757093700E-2,-4.927750230E-1,-5.434451103E-1,3.373498917E-1,8.074433482E-1
7.239750000E-2,-3.072546124E-1,-4.914498329E-1,3.156442642E-1,6.599694210E-1
7.722479100E-2,-1.272579283E-1,-4.458334446E-1,2.724628448E-1,5.377713663E-1
8.205135400E-2,-5.416288972E-3,-3.763628006E-1,2.687788010E-1,4.625152297E-1
8.687713500E-2,1.441392899E-1,-2.952158451E-1,2.336854935E-1,4.031593233E-1
9.170369800E-2,3.095875382E-1,-1.791608334E-1,1.446876526E-1,3.858465561E-1
9.653104100E-2,4.067677855E-1,-6.377577782E-2,4.732704163E-2,4.144481030E-1
1.013576040E-1,4.331389070E-1,5.604577065E-2,4.409122467E-2,4.389697908E-1
1.061833330E-1,4.888718426E-1,1.526644230E-1,8.344936371E-2,5.189083742E-1
1.110098960E-1,5.412944555E-1,1.850299835E-1,8.963489532E-2,5.790252126E-1
1.158372390E-1,5.490971804E-1,1.851840019E-1,8.212375641E-2,5.852735595E-1
1.206638020E-1,5.674121380E-1,1.727490425E-1,2.847480774E-2,5.938093808E-1
1.254895830E-1,5.307978392E-1,1.458709240E-1,-4.464912415E-2,5.522845433E-1
1.303160940E-1,5.482699871E-1,7.485103607E-2,-1.627492905E-1,5.767928466E-1
1.351434370E-1,5.437034965E-1,1.032948494E-2,-2.619628906E-1,6.036097633E-1
1.399700000E-1,5.172719955E-1,-1.083385944E-1,-3.804073334E-1,6.511661138E-1
1.447957810E-1,4.755740762E-1,-2.328085899E-1,-4.218778610E-1,6.770165959E-1
1.496223440E-1,5.168552995E-1,-3.278076649E-1,-4.232196808E-1,7.441183803E-1
1.544496870E-1,6.411730051E-1,-3.400275707E-1,-3.923053741E-1,8.250000472E-1
1.592761980E-1,7.903921008E-1,-2.358362675E-1,-3.555984497E-1,8.982141590E-1
