"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.006399989E0,4.939000010E-1,-6.895999908E-1,1.316178672E0
1.001406300E-2,-1.006399989E0,4.939000010E-1,-6.895999908E-1,1.316178672E0
1.999843800E-2,-1.006399989E0,4.939000010E-1,-6.895999908E-1,1.316178672E0
3.045312500E-2,-1.006399989E0,4.939000010E-1,-6.895999908E-1,1.316178672E0
4.043281300E-2,1.215000004E-1,9.459999949E-2,1.193999946E-1,1.948531978E-1
5.043437500E-2,3.976999819E-1,4.287999868E-1,1.333099961E0,1.455743869E0
6.043125000E-2,1.082599998E0,3.430999815E-1,9.109999537E-1,1.455905652E0
7.043281300E-2,1.967099905E0,-4.160000011E-2,-2.437999994E-1,1.982586955E0
8.043125000E-2,2.396399975E0,-2.454999983E-1,-1.475199938E0,2.824750953E0
9.043437500E-2,8.661999702E-1,-3.517999947E-1,-2.799700022E0,2.951675090E0
1.004343750E-1,-6.981999874E-1,-2.879999876E-1,-3.938799858E0,4.010557510E0
1.104312500E-1,-1.636899948E0,1.495999992E-1,-4.137899876E0,4.452419228E0
1.204312500E-1,-1.463499904E0,4.414999783E-1,-3.078799963E0,3.437406495E0
1.304312500E-1,-8.844999671E-1,-1.189999953E-1,-2.286099911E0,2.454129987E0
1.404312500E-1,-3.105999827E-1,1.640000008E-2,7.087999582E-1,7.740404964E-1
1.504312500E-1,-1.680999994E-1,7.357999682E-1,1.501699924E0,1.680702789E0
1.604312500E-1,-1.934999973E-1,3.621000051E-1,-5.582000017E-1,6.929256126E-1
1.704578130E-1,-1.153999940E-1,-4.600000009E-2,-2.132699966E0,2.136315123E0
1.804328130E-1,9.109999537E-1,-2.665999830E-1,-2.181999922E0,2.379520987E0
1.904343750E-1,5.686999559E-1,-2.967999876E-1,-6.732000113E-1,9.298968371E-1
2.004343750E-1,-5.115999579E-1,-7.706999779E-1,9.541999698E-1,1.328988546E0
2.104437500E-1,-5.425999761E-1,-2.363600016E0,1.363499999E0,2.782112869E0
2.204843750E-1,-3.379999846E-2,-2.386499882E0,3.892000020E-1,2.418263999E0
2.304703130E-1,-3.899999857E-1,-8.021999598E-1,3.249999881E-2,8.925698932E-1
2.404687500E-1,-4.875999987E-1,-6.799999624E-2,3.024999797E-1,5.778269602E-1
2.504687500E-1,-4.854999781E-1,5.532999635E-1,-3.491999805E-1,8.147341313E-1
2.604687500E-1,-5.329999700E-2,4.995999932E-1,-4.239999950E-1,6.574321552E-1
2.704859380E-1,-1.933999956E-1,4.432999790E-1,-5.627999902E-1,7.420662090E-1
2.804671880E-1,-1.767999977E-1,3.834999800E-1,-1.364699960E0,1.428543473E0
2.904703130E-1,-9.849999845E-2,-3.612000048E-1,-6.118999720E-1,7.173487777E-1
3.004687500E-1,-1.562999934E-1,-9.120999575E-1,1.124999970E-1,9.322082759E-1
3.104687500E-1,-6.668999791E-1,-5.396000147E-1,5.916999578E-1,1.042128878E0
3.204718750E-1,2.392999977E-1,-1.274500012E0,-3.777999878E-1,1.350684123E0
3.304687500E-1,-4.930000007E-2,-9.205999970E-1,-2.999399900E0,3.137886965E0
3.404703130E-1,1.729999930E-1,-6.226999760E-1,-3.847499847E0,3.901402227E0
3.504671880E-1,5.212000012E-1,-8.536999822E-1,-1.617900014E0,1.902118176E0
3.604687500E-1,-3.994999826E-1,-5.568999648E-1,-1.847799897E0,1.970812591E0
3.704703130E-1,-6.574000120E-1,-1.069299936E0,-6.581000090E-1,1.417276526E0
3.804671880E-1,4.260999858E-1,-1.903399944E0,2.676999867E-1,1.968795527E0
3.904671880E-1,1.429899931E0,-2.638200045E0,2.050199986E0,3.634285799E0
4.004671880E-1,2.042599916E0,-1.957599998E0,-2.979999967E-2,2.829363923E0
4.104687500E-1,2.746199846E0,-6.222000122E-1,-2.551499844E0,3.799854984E0
4.204703130E-1,2.299299955E0,9.059000015E-1,-1.233500004E0,2.762056726E0
4.305109380E-1,7.556999922E-1,1.696599960E0,1.599399924E0,2.451043456E0
4.404687500E-1,-2.193000019E-1,1.624499917E0,3.732699871E0,4.076780691E0
4.504671880E-1,-7.872999907E-1,1.068499923E0,3.024999857E0,3.303355490E0
4.604687500E-1,-1.425199986E0,4.485999942E-1,1.059399962E0,1.831601822E0
4.704718750E-1,-2.423300028E0,-8.265999556E-1,-1.996499896E0,3.246792624E0
4.804687500E-1,-3.090299845E0,-4.122499943E0,-7.836999893E-1,5.211443618E0
4.904671880E-1,-3.272499800E0,-4.473199844E0,-1.036000013E0,5.638445514E0
5.004671880E-1,-2.194599867E0,-4.938699722E0,-3.580099821E0,6.482602737E0
5.104687500E-1,-4.246900082E0,-1.600499988E0,-3.961399794E0,6.024155446E0
5.204843750E-1,-2.004799843E0,-1.356899977E0,-2.219799995E0,3.284495696E0
5.304687500E-1,3.365299940E0,-7.777000070E-1,1.584899902E0,3.800259029E0
5.405109380E-1,3.459599972E0,2.362599850E0,2.971999884E0,5.136486476E0
5.504687500E-1,2.198899984E0,2.565700054E0,-6.308999658E-1,3.437442752E0
5.604687500E-1,1.288800001E0,2.793200016E0,-1.166499972E0,3.289938291E0
5.704843750E-1,1.830699921E0,9.300999641E-1,1.661399961E0,2.641362900E0
5.805109380E-1,7.887199879E0,-2.355399847E0,6.892600060E0,1.073609640E1
5.904703130E-1,6.139599800E0,6.295999885E-1,5.142899990E0,8.033710361E0
6.004687500E-1,6.069999695E0,1.030599952E0,-4.149099827E0,7.424423340E0
6.105109380E-1,5.425499916E0,5.436999798E-1,-9.923199654E0,1.132261235E1
6.204859380E-1,-3.638999760E-1,7.450000048E-1,-1.057119942E1,1.060366471E1
6.305109380E-1,-6.196499825E0,1.101799965E0,-7.934499741E0,1.012752978E1
6.404703130E-1,-8.361000061E0,1.090899944E0,-3.738600016E0,9.223530495E0
