"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.384934664E0,-1.374189854E0,-4.975838661E-1,2.013462560E0
4.826250000E-3,-1.440048456E0,-1.493892670E0,-3.746566772E-1,2.108511914E0
9.651770000E-3,-1.405626059E0,-1.622099400E0,-1.604022980E-1,2.152375426E0
1.447802000E-2,-1.225987792E0,-1.694736004E0,4.617261887E-2,2.092201735E0
1.930505200E-2,-1.081608772E0,-1.778363705E0,3.104586601E-1,2.104480834E0
2.413135400E-2,-9.991781712E-1,-1.859491825E0,5.541267395E-1,2.182458089E0
2.895682300E-2,-9.311418533E-1,-1.910967827E0,6.374630928E-1,2.219275193E0
3.378307300E-2,-8.582812548E-1,-1.847591400E0,6.507010460E-1,2.138609956E0
3.861015600E-2,-8.038296700E-1,-1.683214664E0,6.200671196E-1,1.965664513E0
4.343640600E-2,-7.487652302E-1,-1.455972672E0,5.359530449E-1,1.722716302E0
4.826187500E-2,-6.775307655E-1,-1.225165367E0,4.601936340E-1,1.473721919E0
5.308812500E-2,-6.004949808E-1,-9.304423332E-1,4.063248634E-1,1.179583423E0
5.791520800E-2,-4.904944897E-1,-6.538410187E-1,3.802504539E-1,9.014895062E-1
6.274145800E-2,-3.509731293E-1,-3.590850830E-1,3.368458748E-1,6.046398744E-1
6.756692700E-2,-2.033835649E-1,-4.343605042E-2,2.971286774E-1,3.626803219E-1
7.239322900E-2,-5.688381195E-2,2.076988220E-1,3.255090714E-1,3.902956882E-1
7.722026000E-2,9.180164337E-2,4.157247543E-1,3.499336243E-1,5.510972278E-1
8.204651000E-2,2.133109570E-1,5.826473236E-1,4.235854149E-1,7.512683088E-1
8.687203100E-2,3.489134312E-1,6.962270737E-1,5.122628212E-1,9.321405036E-1
9.169828100E-2,4.924390316E-1,7.768492699E-1,5.967373848E-1,1.096397051E0
9.652531200E-2,6.633889675E-1,8.279662132E-1,6.001105309E-1,1.218911655E0
1.013516140E-1,8.174431324E-1,8.574185371E-1,5.873122215E-1,1.322238809E0
1.061770830E-1,9.437663555E-1,8.495421410E-1,5.749382973E-1,1.393904885E0
1.110033330E-1,1.057122707E0,8.589992523E-1,6.235537529E-1,1.498067895E0
1.158303640E-1,1.188521385E0,8.550848961E-1,6.988711357E-1,1.622397648E0
1.206566660E-1,1.288604975E0,8.567786217E-1,7.886295319E-1,1.736809986E0
1.254821350E-1,1.386246681E0,8.756589890E-1,9.369416237E-1,1.888469786E0
1.303083850E-1,1.500758171E0,9.861598015E-1,1.051237106E0,2.080837739E0
1.351354680E-1,1.613518000E0,1.151056290E0,1.092554092E0,2.263193620E0
1.399617180E-1,1.594286442E0,1.251988411E0,1.355021477E0,2.438300113E0
1.447871870E-1,1.313268900E0,1.214839458E0,2.037874222E0,2.711722968E0
1.496134890E-1,1.007007599E0,1.073885441E0,2.863583565E0,3.219845505E0
1.544405200E-1,8.923807144E-1,1.002923965E0,2.916275978E0,3.210430719E0
1.592667700E-1,8.891484737E-1,8.595013618E-1,2.465502739E0,2.758266005E0
1.640922910E-1,8.687191010E-1,5.536365509E-1,2.098578453E0,2.337780535E0
1.689185410E-1,8.413069248E-1,2.386903763E-1,1.663748741E0,1.879582483E0
1.737455730E-1,8.478474617E-1,7.936954498E-2,1.195022583E0,1.467386731E0
1.785718750E-1,7.974495888E-1,3.592824936E-2,8.803777695E-1,1.188394590E0
1.833973430E-1,6.982297897E-1,1.025385857E-1,6.691255569E-1,9.725060472E-1
1.882235930E-1,5.136947632E-1,1.554903984E-1,5.635766983E-1,7.782533447E-1
1.930506770E-1,3.726203442E-1,2.000212669E-1,5.097761154E-1,6.623640358E-1
1.978769270E-1,2.554011345E-1,1.728777885E-1,3.938207626E-1,5.002112177E-1
2.027023950E-1,1.726624966E-1,1.623091698E-1,2.427911758E-1,3.392700390E-1
2.075286450E-1,1.468467712E-1,1.608266830E-1,7.857322693E-2,2.315231051E-1
2.123557290E-1,1.009023190E-1,1.800694466E-1,-6.790828705E-2,2.172966153E-1
