"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-6.176999807E-1,4.107999802E-1,-2.633000016E-1,7.871701092E-1
9.801563000E-3,-6.176999807E-1,4.107999802E-1,-2.633000016E-1,7.871701092E-1
2.025312500E-2,-6.176999807E-1,4.107999802E-1,-2.633000016E-1,7.871701092E-1
3.025156300E-2,-1.490999907E-1,-1.248999983E-1,-5.020000041E-2,2.008752271E-1
4.025312500E-2,1.319999993E-2,-3.549000025E-1,-3.119999915E-2,3.565132420E-1
5.025156300E-2,2.201999873E-1,-5.577999949E-1,1.937000006E-1,6.301972382E-1
6.027812500E-2,3.244999945E-1,-4.763999879E-1,2.703000009E-1,6.366469080E-1
7.025156300E-2,2.309999913E-1,-4.994999766E-1,1.644999981E-1,5.743879107E-1
8.025312500E-2,9.499999695E-3,-6.565999985E-1,-1.380999982E-1,6.710330972E-1
9.025156300E-2,-3.204999864E-1,-4.576999843E-1,-5.080999732E-1,7.552318185E-1
1.002531250E-1,-1.425999999E-1,-3.089999966E-2,-6.560999751E-1,6.721285199E-1
1.102500000E-1,4.626999795E-1,5.266000032E-1,-4.754999876E-1,8.470531699E-1
1.202500000E-1,6.653000116E-1,1.197899938E0,-2.628999949E-1,1.395243625E0
1.302531250E-1,1.393000036E-1,1.760299921E0,-1.603000015E-1,1.773064126E0
1.402515630E-1,-1.026299953E0,2.010299921E0,-2.725999951E-1,2.273523284E0
1.502515630E-1,-9.423999786E-1,6.966999769E-1,-2.730999887E-1,1.203367019E0
1.602531250E-1,-2.565799952E0,1.077999949E0,-8.136000037E-1,2.899544490E0
1.702515630E-1,-3.940499783E0,1.276600003E0,-8.096999526E-1,4.220528417E0
1.802515630E-1,-4.358299732E0,8.366000056E-1,9.359999746E-2,4.438855380E0
1.902515630E-1,-3.097199917E0,-4.337999821E-1,4.673999846E-1,3.162165792E0
2.004000000E-1,-1.890399933E0,-9.651999474E-1,-8.769999444E-2,2.124362053E0
2.104093750E-1,-3.932999969E-1,-1.210500002E0,-2.125999928E-1,1.290423922E0
2.204359380E-1,2.029599905E0,-2.214499950E0,6.933000088E-1,3.082847824E0
2.302890630E-1,4.283499718E0,-2.980700016E0,1.758899927E0,5.506965714E0
2.402890630E-1,5.790599823E0,-2.372900009E0,1.555699944E0,6.448403142E0
2.503046880E-1,5.672100067E0,-1.293299913E0,1.287999898E-1,5.819100727E0
2.602890630E-1,3.041800022E0,-4.495999813E-1,-1.071900010E0,3.256325713E0
2.702875000E-1,-8.970999718E-1,-3.655000031E-1,-4.677999914E-1,1.075739487E0
2.802859380E-1,-2.816399813E0,-8.517000079E-1,8.622999787E-1,3.066115142E0
2.902859380E-1,-3.189800024E0,-7.653999925E-1,1.483399987E0,3.600157894E0
3.003031250E-1,-2.222499847E0,-5.051000118E-1,1.014299989E0,2.494681555E0
3.102890630E-1,-5.983999968E-1,-9.458999634E-1,2.012999952E-1,1.137247108E0
3.202890630E-1,8.697999716E-1,-1.292799950E0,-5.383999944E-1,1.648562481E0
3.302890630E-1,1.662199974E0,-1.096300006E0,-8.743999600E-1,2.174708658E0
3.402875000E-1,2.153599977E0,-9.370999932E-1,-5.084999800E-1,2.403065020E0
3.502906250E-1,2.363600016E0,-1.277400017E0,-1.808999926E-1,2.692783067E0
3.602890630E-1,2.465100050E0,-1.803299904E0,-2.655999959E-1,3.065803672E0
3.702890630E-1,3.257599831E0,-2.552099943E0,-8.540999889E-1,4.225477200E0
