"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.906999946E-1,-7.319999486E-2,-6.717000008E-1,7.020723739E-1
9.979688000E-3,1.906999946E-1,-7.319999486E-2,-6.717000008E-1,7.020723739E-1
2.043281300E-2,1.906999946E-1,-7.319999486E-2,-6.717000008E-1,7.020723739E-1
3.041562500E-2,-3.629999980E-2,-1.989999972E-2,-1.269999985E-2,4.330115438E-2
4.044375000E-2,-3.749999776E-2,-9.369999915E-2,3.240000084E-2,1.059985836E-1
5.041562500E-2,1.921999902E-1,-1.658999920E-1,1.702999920E-1,3.057216558E-1
6.041406300E-2,3.461000025E-1,-1.902999878E-1,4.305000007E-1,5.842341549E-1
7.041406300E-2,4.342999756E-1,-2.990999818E-1,9.610999823E-1,1.096262032E0
8.041562500E-2,4.975999892E-1,-2.091999948E-1,4.829999804E-1,7.243337409E-1
9.041562500E-2,4.496999979E-1,-2.089999989E-2,-8.700000048E-1,9.795748600E-1
1.004140630E-1,1.298999935E-1,6.879999489E-2,-1.225999951E0,1.234780680E0
1.104156250E-1,-2.881000042E-1,9.849999845E-2,-1.158499956E0,1.197842231E0
1.204156250E-1,-5.798000097E-1,1.181999967E-1,-8.206999898E-1,1.011774562E0
1.304156250E-1,-6.036999822E-1,2.258999944E-1,-8.741999865E-1,1.086144600E0
1.404140630E-1,-5.199999809E-1,2.736999989E-1,-1.054999948E0,1.207616064E0
1.504156250E-1,-4.481999874E-1,1.959999949E-1,-1.001699924E0,1.114765431E0
1.604140630E-1,-3.994999826E-1,-6.319999695E-2,-5.216000080E-1,6.600462439E-1
1.704156250E-1,6.049999967E-2,-1.094999984E-1,4.769999906E-2,1.338872269E-1
1.804140630E-1,4.941999912E-1,-1.425999999E-1,1.330000013E-1,5.312790149E-1
1.904156250E-1,9.669999778E-2,-3.559999913E-2,-2.333999872E-1,2.551348732E-1
2.004156250E-1,-5.924999714E-1,1.542000026E-1,-2.272999883E-1,6.530690174E-1
2.104515630E-1,-1.130599976E0,3.592999876E-1,4.957000017E-1,1.285718195E0
2.204625000E-1,-1.132200003E0,4.377000034E-1,1.267099977E0,1.754708092E0
2.304484380E-1,-8.273999691E-1,3.788999915E-1,1.713099957E0,1.939811170E0
2.404515630E-1,-4.023999870E-1,1.921999902E-1,1.727299929E0,1.783937115E0
2.504484380E-1,-6.319999695E-2,-4.999999888E-3,1.430199981E0,1.431604423E0
2.604500000E-1,2.955999970E-1,-2.496999949E-1,9.432999492E-1,1.019580423E0
2.704625000E-1,2.408999950E-1,-3.245999813E-1,4.784999788E-1,6.263866100E-1
2.804515630E-1,-1.406999975E-1,-2.399999946E-1,7.229999453E-2,2.874435178E-1
2.904484380E-1,-8.988999724E-1,-9.380000085E-2,-1.947999895E-1,9.245359033E-1
3.004484380E-1,-1.326900005E0,8.519999683E-2,-1.325999945E-1,1.336228058E0
3.104484380E-1,-9.933999777E-1,9.449999779E-2,3.008999825E-1,1.042264153E0
3.204531250E-1,-4.161999822E-1,5.999999703E-4,7.787999511E-1,8.830357575E-1
3.304515630E-1,-3.389999866E-1,-2.429999970E-2,4.915999770E-1,5.976470684E-1
3.404500000E-1,-4.779999703E-2,-2.928999960E-1,-1.842999905E-1,3.493447207E-1
3.504500000E-1,6.348999739E-1,-5.482000113E-1,9.549999982E-2,8.442401786E-1
3.604531250E-1,1.135699987E0,-3.924999833E-1,1.223500013E0,1.714882789E0
3.704531250E-1,6.717000008E-1,5.799999833E-2,1.113199949E0,1.301444973E0
3.804515630E-1,-4.619999975E-2,2.763999999E-1,5.633999705E-1,6.292463164E-1
3.904500000E-1,-3.763999939E-1,6.099999882E-3,3.749999776E-2,3.783125893E-1
4.004515630E-1,-9.253000021E-1,1.090999991E-1,-4.883999825E-1,1.051958862E0
4.104515630E-1,-1.184199929E0,-9.659999609E-2,-8.522999883E-1,1.462216229E0
4.204531250E-1,-9.569999576E-1,-2.360000014E-1,-6.972000003E-1,1.207324629E0
4.304500000E-1,-4.475999773E-1,-3.499999940E-1,-3.402999938E-1,6.623064406E-1
4.404515630E-1,-8.500000089E-2,-9.910000116E-2,9.969999641E-2,1.642738557E-1
4.504500000E-1,4.259999990E-1,-3.872999847E-1,5.040000081E-1,7.651753299E-1
4.604515630E-1,2.122299910E0,-1.621399999E0,6.186000109E-1,2.741488799E0
4.704531250E-1,1.907999992E0,-9.077000022E-1,8.179999590E-1,2.265724431E0
4.804531250E-1,7.440999746E-1,-3.700000048E-2,7.523999810E-1,1.058848197E0
4.904500000E-1,-5.910999775E-1,5.173999667E-1,5.967000127E-1,9.864850805E-1
5.004515630E-1,-1.487900019E0,5.801999569E-1,3.272999823E-1,1.630215855E0
5.104500000E-1,-1.538900018E0,2.186999917E-1,4.910000041E-2,1.555137859E0
5.204546880E-1,-9.188999534E-1,-3.597999811E-1,2.879999951E-2,9.872500143E-1
5.304484380E-1,-2.129999995E-1,-7.489999533E-1,9.869999439E-2,7.849277793E-1
5.404500000E-1,9.499999881E-2,-7.313999534E-1,2.328999937E-1,7.734424986E-1
5.504515630E-1,3.774999976E-1,-6.123999953E-1,1.226999983E-1,7.297912661E-1
5.604531250E-1,1.103600025E0,-7.427999973E-1,2.419999987E-2,1.330515123E0
5.704531250E-1,1.256600022E0,-5.850999951E-1,4.499999881E-1,1.457355691E0
5.804515630E-1,3.551000059E-1,-5.034999847E-1,-3.509999812E-2,6.171225637E-1
5.904500000E-1,-2.518999875E-1,-6.273999810E-1,-4.125999808E-1,7.920372997E-1
6.004515630E-1,-3.998999894E-1,-9.709999561E-1,-5.959999934E-2,1.051814183E0
6.104500000E-1,-8.697999716E-1,-1.265299916E0,1.238899946E0,1.972918890E0
6.204531250E-1,-1.410699964E0,-1.974099994E0,7.870000005E-1,2.550786971E0
6.304484380E-1,-1.189399958E0,-1.895199895E0,-2.291999906E-1,2.249219317E0
6.404500000E-1,-8.008999825E-1,-1.751199961E0,-1.325899959E0,2.337980493E0
6.504484380E-1,-4.690000042E-2,-1.717099905E0,-1.806899905E0,2.493094254E0
6.604921880E-1,1.009099960E0,-1.771499991E0,-1.036899924E0,2.287281444E0
6.704531250E-1,1.439599991E0,-1.068199992E0,5.850999951E-1,1.885693867E0
6.804484380E-1,2.095700026E0,-8.849999905E-1,1.711699963E0,2.846945792E0
6.904515630E-1,1.662999988E0,-1.854999959E-1,2.038800001E0,2.637552777E0
7.004484380E-1,7.730000019E-1,2.496999949E-1,1.763599992E0,1.941691021E0
7.104500000E-1,1.051999927E0,-3.809999824E-1,8.840999603E-1,1.426007564E0
7.204625000E-1,1.849299908E0,-8.467999697E-1,-5.692999959E-1,2.112127558E0
7.305968750E-1,1.287400007E0,-3.691999912E-1,-1.367999911E0,1.914453230E0
7.406390630E-1,-4.597999752E-1,6.096999645E-1,-2.041399956E0,2.179555882E0
7.504500000E-1,-1.594900012E0,7.542999983E-1,-1.107100010E0,2.082869407E0
7.604515630E-1,-1.817199945E0,9.132999778E-1,1.261999905E-1,2.037709236E0
7.704515630E-1,-1.152300000E0,4.615999758E-1,5.999999642E-1,1.378720343E0
7.804515630E-1,-7.982999682E-1,3.700000048E-1,1.101999953E-1,8.867507439E-1
7.904484380E-1,-2.029299974E0,1.248499990E0,6.207999587E-1,2.462154179E0
8.004515630E-1,-1.841899991E0,9.059000015E-1,1.128199935E0,2.342239416E0
8.104906250E-1,-1.189899921E0,5.572000146E-1,4.165000021E-1,1.378334477E0
8.204640630E-1,-1.179999948E0,3.281999826E-1,-5.149999857E-1,1.328661014E0
8.304500000E-1,-1.655999899E0,1.534999907E-1,-1.360199928E0,2.148497558E0
8.404500000E-1,-1.474599957E0,-4.605999887E-1,-1.324800014E0,2.035114852E0
8.504515630E-1,-1.003499985E0,-1.704499960E0,-3.149999976E-1,2.002887249E0
8.604515630E-1,-5.699999928E-1,-2.242899895E0,3.355000019E-1,2.338388373E0
8.704531250E-1,9.663999677E-1,-3.461799860E0,3.355700016E0,4.917185147E0
8.804921880E-1,-8.750999570E-1,-2.094399929E0,9.490999579E-1,2.460305210E0
8.904515630E-1,-4.360999763E-1,-1.627699971E0,-1.161599994E0,2.046681443E0
9.004500000E-1,9.814999700E-1,-9.842000008E-1,-1.448199987E0,2.007305417E0
9.104500000E-1,1.982599974E0,1.809999906E-2,-1.811499953E0,2.685621408E0
9.204671880E-1,1.818300009E0,4.924999774E-1,-3.719999790E-1,1.920196639E0
9.304484380E-1,1.360599995E0,3.481999934E-1,1.569800019E0,2.106358868E0
9.404921880E-1,1.100799918E0,-1.937000006E-1,2.641799927E0,2.868516516E0
9.504500000E-1,1.169799924E0,-7.859999537E-1,1.697199941E0,2.206063333E0
9.604515630E-1,8.766999841E-1,-1.184800029E0,2.829999924E-1,1.500814101E0
9.704515630E-1,-3.348000050E-1,-7.497999668E-1,-1.414999962E-1,8.332546324E-1
9.804500000E-1,-6.464999914E-1,-9.126999974E-1,-8.565999866E-1,1.408810513E0
9.904921880E-1,-1.753699899E0,-1.540399909E0,-2.110899925E0,3.147092898E0
1.000448438E0,-2.312799931E0,-1.655799985E0,-2.698899984E0,3.921068507E0
1.010451563E0,-1.771600008E0,-1.813799977E0,-2.322000027E0,3.438040295E0
1.020465625E0,-1.928599954E0,-1.067000031E0,-1.915399909E0,2.920058845E0
1.030448438E0,-3.852899790E0,4.461999834E-1,1.762000024E-1,3.882650854E0
1.040478125E0,-5.670899868E0,3.197499990E0,1.966699958E0,6.800810262E0
1.050489063E0,-3.858399868E0,2.909899950E0,3.309700012E0,5.857378375E0
1.060450000E0,-3.027999878E0,2.192699909E0,2.015699863E0,4.247324110E0
1.070451563E0,-3.370999813E0,2.320400000E0,-2.854999900E-1,4.102365920E0
1.080451563E0,-2.654799938E0,1.329599977E0,-1.299700022E0,3.241144698E0
1.090450000E0,-1.913699985E0,7.389999628E-1,-1.626599908E0,2.618051916E0
1.100451563E0,-1.909199953E0,8.116999865E-1,-1.944999933E0,2.843752111E0
1.110451563E0,-1.184599996E0,6.658999920E-1,-2.104899883E0,2.505454743E0
1.120454688E0,-7.572999597E-1,4.178999960E-1,-1.927599907E0,2.112767152E0
1.130448438E0,-8.574999571E-1,3.208000064E-1,-1.606699944E0,1.849244043E0
1.140451563E0,-6.974999905E-1,-5.288999677E-1,-6.979999542E-1,1.119573735E0
1.150450000E0,-1.339100003E0,-2.219999880E-1,-8.889999986E-2,1.360285273E0
1.160453125E0,-1.477399945E0,1.044999957E0,-3.439999819E-1,1.842029179E0
1.170453125E0,6.711999774E-1,1.850699902E0,1.630000025E-2,1.968721724E0
1.180448438E0,3.920099974E0,-4.161999822E-1,2.437799931E0,4.635005365E0
1.190450000E0,5.876399994E0,-1.482299924E0,2.361700058E0,6.504376766E0
1.200450000E0,6.726899624E0,-1.534500003E0,3.921999931E-1,6.910838563E0
1.210492188E0,8.958600044E0,-8.368999958E-1,-1.717499971E0,9.160061272E0
1.220465625E0,-2.655999959E-1,8.172999620E-1,-4.344899654E0,4.429071640E0
1.230450000E0,-6.966599941E0,1.321799994E0,-4.119299889E0,8.200567147E0
1.240451563E0,-7.804199696E0,6.617999673E-1,-5.597999692E-1,7.852190019E0
1.250450000E0,-6.642899990E0,4.684999883E-1,2.244899988E0,7.027601901E0
1.260450000E0,-3.960899830E0,-1.303000003E-1,2.553799868E0,4.714615500E0
1.270453125E0,-1.655200005E0,-7.279999852E-1,1.366500020E0,2.266493622E0
1.280450000E0,1.630999923E0,-2.542999983E0,3.046999872E-1,3.036420877E0
1.290450000E0,5.603600025E0,-3.353399992E0,-4.955999851E-1,6.549140714E0
1.300490625E0,4.494499683E0,-1.857299924E0,-1.029699922E0,4.970952860E0
1.310451563E0,1.914099932E0,-1.495299935E0,-1.330999970E0,2.769704202E0
1.320468750E0,-7.820999622E-1,-1.161199927E0,-1.736999989E0,2.230971668E0
1.330450000E0,-1.293499947E0,-7.419999838E-1,-3.490999937E-1,1.531527634E0
1.340451563E0,-1.488499999E0,-9.989999980E-2,8.546999693E-1,1.719338330E0
1.350450000E0,-3.018999815E0,2.822700024E0,6.121999621E-1,4.178131652E0
1.360493750E0,-4.462399960E0,4.897399902E0,6.099999696E-2,6.625802608E0
1.370451563E0,-4.382800102E0,4.457499981E0,-1.287999898E-1,6.252586045E0
1.380451563E0,-3.687099934E0,2.462599993E0,1.306999922E-1,4.435784838E0
1.390448438E0,-3.139899969E0,8.224999905E-1,2.157999873E-1,3.253005946E0
1.400450000E0,-2.593799829E0,-2.094999999E-1,-3.727999926E-1,2.628814874E0
1.410450000E0,-9.088999629E-1,-7.410999537E-1,3.655000031E-1,1.228380453E0
1.420453125E0,5.069999769E-2,-7.524999976E-1,1.005800009E0,1.257163630E0
1.430448438E0,4.125999808E-1,-4.596999884E-1,9.266999960E-1,1.113703599E0
1.440450000E0,1.518700004E0,1.957999915E-1,2.022999972E-1,1.544575225E0
1.450448438E0,3.380899906E0,1.948799968E0,-1.212599993E0,4.086404805E0
1.460496875E0,5.598099709E0,2.904599905E0,-2.486899853E0,6.779387276E0
1.470182813E0,7.629799843E0,2.307600021E0,-3.129499912E0,8.563447507E0
1.480492188E0,4.913799763E0,1.650200009E0,-2.724099874E0,5.855707327E0
1.490450000E0,4.010999799E-1,-4.052000046E-1,-7.328999639E-1,9.285529573E-1
1.500490625E0,-1.612999916E0,-2.931900024E0,8.529999852E-2,3.347399374E0
1.510451563E0,-2.461899996E0,-3.998899937E0,-7.729999721E-2,4.696608093E0
1.520467188E0,-2.853499889E0,-3.295699835E0,-7.909999788E-2,4.360086677E0
1.530450000E0,-3.569899797E0,-1.854699969E0,-3.750000000E-1,4.040386311E0
1.540451563E0,-5.764599800E0,-2.858999968E-1,-1.271499991E0,5.910081378E0
1.550450000E0,-5.807499886E0,-3.195999861E-1,-6.553999782E-1,5.853097317E0
1.560450000E0,-4.310199738E0,-1.164199948E0,7.135999799E-1,4.521328149E0
1.570451563E0,-2.774699926E0,-1.573799968E0,1.900599957E0,3.713231236E0
1.580448438E0,-1.534299970E0,-1.948499918E0,2.137199879E0,3.273889376E0
1.590448438E0,-9.827999473E-1,-2.031899929E0,1.738399982E0,2.848955520E0
1.600450000E0,-1.199599981E0,-1.204999924E0,1.305400014E0,2.143626396E0
1.610448438E0,-1.923999906E0,7.397999763E-1,8.417999744E-1,2.226590856E0
1.620451563E0,-2.060799837E0,1.707499981E0,-8.211999536E-1,2.799432356E0
1.630448438E0,-1.525900006E0,1.707499981E0,-1.349799991E0,2.658173627E0
1.640451563E0,-3.919999897E-1,7.482999563E-1,-1.066999957E-1,8.514703199E-1
1.650451563E0,1.560099959E0,-1.142499924E0,9.453999996E-1,2.152440271E0
1.660451563E0,2.713999987E0,-1.967000008E0,1.438399911E0,3.647448322E0
1.670453125E0,2.389799833E0,-1.695999980E0,7.024999857E-1,3.013480613E0
1.680448438E0,1.623499990E0,-1.005499959E0,-1.184299946E0,2.247075598E0
1.690448438E0,8.388999701E-1,-2.270999998E-1,-2.373899937E0,2.527989019E0
1.700448438E0,5.189999938E-2,3.361999989E-1,-2.736999989E0,2.758059642E0
1.710448438E0,-6.863999963E-1,8.323999643E-1,-2.518599987E0,2.739959954E0
1.720495313E0,-1.342899919E0,1.192899942E0,-1.641699910E0,2.433427430E0
1.730450000E0,-2.136600018E0,1.614199996E0,-6.442999840E-1,2.754237414E0
1.740451563E0,-2.027699947E0,1.782199979E0,1.143800020E0,2.931907626E0
1.750450000E0,-1.783100009E0,1.372599959E0,2.487299919E0,3.354122415E0
1.760453125E0,-1.088099957E0,8.651999831E-1,2.758399963E0,3.088899947E0
1.770453125E0,-3.966999948E-1,5.248000026E-1,2.382799864E0,2.471946828E0
1.780448438E0,4.411999881E-1,3.224000037E-1,1.812999964E0,1.893559627E0
1.790448438E0,1.054199934E0,4.141999781E-1,1.557399988E0,1.925719046E0
1.800450000E0,5.443999767E-1,5.649999976E-1,8.871999979E-1,1.184364880E0
1.810450000E0,-4.599999785E-1,4.120999873E-1,5.289999768E-2,6.198586851E-1
1.820451563E0,-9.569000006E-1,1.616999954E-1,-7.102000117E-1,1.202575801E0
1.830492188E0,-5.052999854E-1,-4.301999807E-1,-8.370999694E-1,1.068239888E0
1.840451563E0,-2.918999791E-1,-9.937999845E-1,-4.829999804E-1,1.142861754E0
1.850448438E0,-2.716999948E-1,-1.309599996E0,-4.628999829E-1,1.415326616E0
1.860451563E0,-3.810999990E-1,-1.094900012E0,-7.353000045E-1,1.372847166E0
1.870453125E0,-5.156999826E-1,-3.987999856E-1,-1.183099985E0,1.350819557E0
1.880450000E0,-6.123999953E-1,4.738999903E-1,-1.640999913E0,1.814523538E0
1.890450000E0,-5.268999934E-1,5.424999595E-1,-1.314399958E0,1.516435642E0
1.900451563E0,-3.339999914E-2,1.298999935E-1,-2.674999833E-1,2.992420581E-1
1.910450000E0,-5.205000043E-1,-3.900000080E-2,4.317999780E-1,6.774160284E-1
1.920453125E0,-1.649399996E0,6.399999838E-3,2.651000023E-1,1.670580533E0
1.930451563E0,-2.561499834E0,1.692000031E-1,-3.261999786E-1,2.587724187E0
1.940448438E0,-2.908900023E0,1.361999959E-1,-4.148999751E-1,2.941494819E0
1.950448438E0,-2.613399982E0,3.396999836E-1,-1.332999915E-1,2.638754334E0
1.960451563E0,-1.975899935E0,2.991999984E-1,9.959999472E-2,2.000905133E0
1.970467188E0,-1.600899935E0,6.369999796E-2,-5.640000105E-1,1.698538873E0
1.980451563E0,-1.656299949E0,-1.222999990E-1,-1.079900026E0,1.981027732E0
1.990450000E0,-1.874499917E0,-3.100999892E-1,-1.814199924E0,2.627019853E0
2.000451563E0,-8.962000012E-1,-4.222999811E-1,-1.451900005E0,1.757704566E0
2.010448438E0,6.103999615E-1,-3.404999971E-1,-6.166999936E-1,9.321197579E-1
2.020453125E0,1.554899931E0,-1.513999999E-1,8.259999752E-2,1.564435526E0
2.030448438E0,2.443500042E0,-4.424999952E-1,2.649999857E-1,2.497343327E0
2.040478125E0,2.488199949E0,-1.214699984E0,-4.690000042E-2,2.769266085E0
2.050451563E0,1.909399986E0,-1.999699950E0,4.208000004E-1,2.796726808E0
2.060450000E0,9.739999771E-1,-2.298300028E0,2.282699823E0,3.382540089E0
2.070453125E0,5.776999593E-1,-1.072799921E0,2.838299990E0,3.088783538E0
