"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.273999959E-1,9.229999781E-2,3.989999741E-2,1.623023670E-1
1.000156200E-2,1.295000017E-1,-2.899999963E-3,1.654899955E0,1.659961602E0
2.043906200E-2,3.975999951E-1,-3.263999820E-1,2.033599854E0,2.097653706E0
3.043593700E-2,5.568999648E-1,-5.554999709E-1,1.470099926E0,1.667306685E0
4.043593700E-2,2.741999924E-1,-4.540999830E-1,6.108999848E-1,8.090681194E-1
5.043593700E-2,-2.527000010E-1,-2.278999984E-1,2.929999866E-2,3.415467606E-1
6.043593700E-2,-4.422999918E-1,-1.428000033E-1,2.210000008E-1,5.146475727E-1
7.043437500E-2,-4.384999871E-1,-3.839999810E-2,6.527999640E-1,7.873402006E-1
8.043437500E-2,-2.730999887E-1,3.099999949E-2,6.256999969E-1,6.834069724E-1
9.043593700E-2,-2.300999910E-1,6.830000132E-2,3.839999810E-2,2.430750005E-1
1.004359370E-1,-1.559000015E-1,-1.789999940E-2,-6.003000140E-1,6.204718586E-1
1.104359370E-1,-2.566999793E-1,-1.384000033E-1,-1.118999958E0,1.156378116E0
1.204359370E-1,-6.801999807E-1,-1.605999917E-1,-1.247799993E0,1.430199005E0
1.304359370E-1,-9.344999790E-1,-1.831000000E-1,-8.331999779E-1,1.265321313E0
1.404359370E-1,-6.969999671E-1,-2.340999991E-1,-2.375999987E-1,7.727001508E-1
1.504328120E-1,-4.884999990E-1,-3.806999922E-1,9.709999710E-2,6.268916514E-1
1.604359370E-1,-4.699999839E-2,-4.163999856E-1,-3.129999936E-1,5.230362739E-1
1.704359370E-1,4.772000015E-1,-6.424999833E-1,-5.918999910E-1,9.954253711E-1
1.804359370E-1,7.404999733E-1,-5.873999596E-1,-4.258999825E-1,1.036711010E0
1.904359370E-1,6.858999729E-1,-3.691000044E-1,1.899999976E-1,8.017440896E-1
2.004328120E-1,2.104000002E-1,-2.166999876E-1,5.044999719E-1,5.880027775E-1
2.104734370E-1,-2.111999989E-1,2.360000014E-1,2.047999948E-1,3.771531228E-1
2.204828120E-1,1.085999981E-1,2.610000074E-1,9.290000051E-2,2.975657466E-1
2.304718750E-1,6.039999723E-1,8.129999787E-2,4.099999741E-2,6.108245706E-1
2.404703120E-1,1.022400022E0,1.939999908E-1,1.754999906E-1,1.055337883E0
2.504718750E-1,7.331999540E-1,3.479000032E-1,2.536999881E-1,8.502824641E-1
2.604703120E-1,4.089999795E-1,-7.231999636E-1,3.865000010E-1,9.163413236E-1
2.704828120E-1,-3.534999788E-1,-1.505100012E0,2.071999907E-1,1.559878238E0
2.804687500E-1,-9.532999992E-1,-2.134000063E0,-1.608999968E0,2.837537322E0
2.904687500E-1,-3.508999944E-1,-1.941100001E0,-1.712899923E0,2.612475104E0
3.004703120E-1,2.456999868E-1,-5.206999779E-1,-1.261000037E-1,5.894049214E-1
3.104718750E-1,1.461899996E0,-2.415999919E-1,7.667999864E-1,1.668383761E0
3.204718750E-1,1.320199966E0,-6.398999691E-1,1.549199939E0,2.133640169E0
3.304703120E-1,8.439999819E-2,-4.939999878E-1,1.115399957E0,1.222814954E0
3.404703120E-1,-7.473999858E-1,-7.469999790E-1,4.174999893E-1,1.136187462E0
