,x_mean_PSD,x_max_PSD_f,x_max_PSD,x_PSD_above_20,y_mean_PSD,y_max_PSD_f,y_max_PSD,y_PSD_above_20,z_mean_PSD,z_max_PSD_f,z_max_PSD,z_PSD_above_20,surface
0,(1.4310724264680128+0j),10.600000000000001,(13.217523177909756+0j),0,(1.2689054094307288+0j),10.3,(18.535084598981246+0j),0,(5.279374778559105+0j),12.600000000000001,(62.712631715795126+0j),17,AS
1,(1.4165011642481595+0j),11.4,(19.388542155069004+0j),0,(0.9036899422765153+0j),11.4,(11.172710385431547+0j),0,(3.6399267763141374+0j),11.100000000000001,(39.95215230165694+0j),9,AS
2,(1.5664369097966477+0j),11.3,(10.737059765491244+0j),0,(1.3139197243950878+0j),10.100000000000001,(13.875474584731904+0j),0,(6.142998042285233+0j),10.3,(56.50510245059729+0j),18,AS
3,(1.3522804811403704+0j),11.600000000000001,(14.13417881493982+0j),0,(1.078069827933463+0j),11.4,(30.03189757627247+0j),1,(4.454631384814381+0j),11.100000000000001,(54.61138489859741+0j),10,AS
4,(1.0822272828473531+0j),10.5,(18.995794231917593+0j),0,(0.8433166682720793+0j),12.0,(16.537197222000632+0j),0,(4.515402027758733+0j),11.3,(65.28138744711607+0j),14,AS
5,(1.658537786712045+0j),10.9,(27.160500026152334+0j),1,(1.1416890594422882+0j),10.3,(22.961602430990396+0j),1,(5.26886334544764+0j),11.9,(61.00122647779727+0j),11,AS
6,(1.432414149258057+0j),14.600000000000001,(19.211714601802495+0j),0,(1.4904059942258043+0j),11.600000000000001,(23.258037926587843+0j),1,(5.562103687573416+0j),10.600000000000001,(64.18005571990992+0j),7,AS
7,(1.126926097929505+0j),10.200000000000001,(13.322537153853565+0j),0,(1.32262014845082+0j),12.0,(15.373012914726441+0j),0,(3.121093592844247+0j),10.5,(55.4432012739347+0j),6,AS
8,(1.3823615651700256+0j),12.5,(22.73583192023883+0j),2,(1.321372258379618+0j),10.4,(13.67732027971555+0j),0,(4.184939013445832+0j),12.5,(60.350727629526666+0j),9,AS
9,(1.3789425749974065+0j),10.100000000000001,(33.18692419989882+0j),3,(0.9727913708033942+0j),10.0,(23.920684659495958+0j),1,(3.490690737379867+0j),10.0,(67.86467335079503+0j),6,AS
10,(1.7387701556034534+0j),10.0,(24.74267960113037+0j),2,(1.7538452892393839+0j),10.8,(27.912574139379842+0j),3,(3.591468436880289+0j),11.5,(71.82544104729591+0j),7,AS
11,(1.5255555382650983+0j),10.5,(24.790756384038254+0j),1,(0.9311191737350074+0j),12.0,(13.64266122519113+0j),0,(3.371371729953706+0j),10.5,(74.12232918629974+0j),6,AS
12,(1.599772090202668+0j),10.5,(39.14277012797531+0j),2,(1.3293382994343548+0j),10.5,(50.9635079042009+0j),1,(3.083095425817335+0j),10.700000000000001,(45.27512356018309+0j),4,AS
13,(1.0589767484600856+0j),10.5,(22.73893794700009+0j),1,(1.1049915726348236+0j),10.600000000000001,(34.61148168441942+0j),1,(2.3147816837868276+0j),10.600000000000001,(38.74249520741618+0j),4,AS
14,(1.5096126600136897+0j),10.700000000000001,(24.230680449361333+0j),1,(1.279208300829525+0j),10.600000000000001,(36.2026899848281+0j),2,(3.665689231310241+0j),10.8,(60.65513397947747+0j),7,AS
15,(1.5172352306618375+0j),10.5,(26.909752765325784+0j),3,(1.0354822066782003+0j),10.700000000000001,(17.091727110683767+0j),0,(3.199436578883752+0j),14.600000000000001,(32.88108458273574+0j),5,AS
16,(1.9329646302089518+0j),11.600000000000001,(20.990929248487674+0j),1,(1.2507485946774188+0j),12.4,(11.13474632714488+0j),0,(3.7793392192905477+0j),10.100000000000001,(44.66966755286804+0j),8,AS
17,(2.6618211237682408+0j),10.200000000000001,(33.78382995825643+0j),4,(1.7428744646174017+0j),10.700000000000001,(20.578777794754203+0j),1,(3.9328042758112502+0j),10.100000000000001,(67.74521279424461+0j),9,AS
18,(3.358400260370732+0j),11.100000000000001,(26.46729380766096+0j),8,(2.3563251369422633+0j),11.100000000000001,(50.344337697154074+0j),2,(5.625148983808672+0j),10.700000000000001,(67.04858710846442+0j),14,AS
19,(1.9290108221769926+0j),10.3,(26.839151602497434+0j),2,(1.4332954211313684+0j),10.3,(46.269055993193355+0j),2,(3.7578971104955605+0j),11.9,(36.36410922676552+0j),5,AS
20,(1.4938251661441462+0j),10.5,(22.244270232900522+0j),1,(1.1373049652356908+0j),11.8,(22.603732371665885+0j),2,(3.57440245713481+0j),10.600000000000001,(46.23736439322465+0j),7,AS
21,(2.2924699526744137+0j),10.5,(37.412550343977315+0j),1,(1.555301956975264+0j),10.5,(37.7376102031568+0j),3,(4.413385437701544+0j),10.600000000000001,(63.477814321284065+0j),7,AS
22,(2.4039378550020283+0j),10.8,(20.666663495153557+0j),1,(1.623629939228174+0j),12.200000000000001,(36.233600155272946+0j),2,(4.896555948160179+0j),10.9,(120.86871931356363+0j),12,AS
23,(2.562169439239401+0j),12.0,(31.608545547825322+0j),4,(1.3939343642222801+0j),10.700000000000001,(15.70243649637638+0j),0,(5.29042822729679+0j),11.5,(59.30584434961157+0j),16,AS
24,(2.0525696186589943+0j),10.5,(22.626300400129242+0j),3,(1.6377379286874294+0j),10.700000000000001,(15.96340152781938+0j),0,(4.096031354884447+0j),10.5,(74.83227830948735+0j),9,AS
25,(3.898283947652129+0j),11.5,(43.71858449005708+0j),12,(2.032504329799703+0j),11.700000000000001,(32.50474669019037+0j),2,(9.06848770019349+0j),11.3,(120.92705524035561+0j),30,AS
26,(1.9709087843289725+0j),14.0,(28.565477394030584+0j),1,(1.301624346425328+0j),10.4,(26.19893317482992+0j),2,(3.645073538397552+0j),10.5,(40.458182549693525+0j),8,AS
27,(2.825909277690047+0j),10.200000000000001,(38.183784555507835+0j),4,(1.7828777061150867+0j),10.200000000000001,(28.10228630148864+0j),2,(5.755648312766331+0j),11.200000000000001,(102.64607380434595+0j),16,AS
28,(3.6206007637237128+0j),10.3,(59.77256611762223+0j),6,(1.714498141444911+0j),10.3,(47.453568605274604+0j),3,(5.692076102442764+0j),10.4,(50.26529420685205+0j),21,AS
29,(2.098485412702455+0j),12.700000000000001,(28.2326031732577+0j),2,(1.4056381474609188+0j),11.3,(43.076618289874865+0j),2,(4.062656515962749+0j),10.0,(70.94524126406009+0j),10,AS
30,(1.9612217030382462+0j),11.200000000000001,(24.54545915667602+0j),1,(1.141163577719478+0j),12.5,(12.812880791130425+0j),0,(4.559053129729715+0j),11.200000000000001,(83.64599664464+0j),12,AS
31,(0.8678548414557967+0j),11.0,(35.746395148359234+0j),1,(0.708472950526488+0j),13.700000000000001,(13.20476549664605+0j),0,(1.9657700639411537+0j),11.0,(47.96439650158961+0j),3,AS
32,(1.1814153408765309+0j),11.100000000000001,(20.23377444345432+0j),1,(0.9332374975020361+0j),10.100000000000001,(10.808783547440761+0j),0,(2.4824944286915587+0j),10.9,(63.31990071112959+0j),4,AS
33,(0.998550447674398+0j),11.4,(15.540645376612577+0j),0,(0.6867414505768521+0j),12.200000000000001,(6.365298472777349+0j),0,(1.6683390535841656+0j),10.200000000000001,(14.108672726946244+0j),0,AS
34,(0.5513606074462655+0j),10.200000000000001,(9.096982750992499+0j),0,(0.9042224476875287+0j),10.0,(12.609401594683115+0j),0,(2.994157440245473+0j),11.9,(47.197925877266556+0j),7,AS
