"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,7.642999887E-1,8.432999849E-1,1.026799917E0,1.532849441E0
1.000000000E-2,7.642999887E-1,8.432999849E-1,1.026799917E0,1.532849441E0
2.045156200E-2,7.642999887E-1,8.432999849E-1,1.026799917E0,1.532849441E0
3.043593700E-2,4.580000043E-2,3.319999948E-2,1.999999955E-2,5.999899988E-2
4.043281200E-2,5.769999698E-2,1.775999963E-1,5.900000036E-2,1.958367902E-1
5.043281200E-2,9.860000014E-2,2.559999824E-1,-1.538999975E-1,3.145523171E-1
6.043281200E-2,1.929999888E-2,1.923999935E-1,-6.036999822E-1,6.339115995E-1
7.043593700E-2,-1.033999994E-1,1.129999980E-1,-6.229999661E-1,6.415524275E-1
8.043437500E-2,-1.140999943E-1,-1.429999992E-2,-2.009999901E-1,2.315692007E-1
9.043437500E-2,1.260000002E-2,-6.469999999E-2,2.283999920E-1,2.377212787E-1
1.004328120E-1,1.520999968E-1,-1.667999923E-1,6.592000127E-1,6.967792356E-1
1.104343750E-1,3.086999953E-1,-1.538999975E-1,7.581999898E-1,8.329754623E-1
1.204343750E-1,5.619999766E-1,-2.509000003E-1,5.766000152E-1,8.433637183E-1
1.304359370E-1,6.394999623E-1,-8.009999990E-2,3.559999913E-2,6.454793349E-1
1.404343750E-1,1.013000011E-1,1.799999923E-1,-1.245800018E0,1.262806150E0
1.504343750E-1,-7.601000071E-1,5.442000031E-1,-2.674599886E0,2.833264939E0
1.604343750E-1,-1.831299901E0,6.967999935E-1,-2.144999981E0,2.905204722E0
1.704312500E-1,-1.945299983E0,6.122999787E-1,-3.482999802E-1,2.068916664E0
1.804343750E-1,-1.000200033E0,3.273999989E-1,8.500999808E-1,1.352871333E0
1.904343750E-1,4.999999702E-2,-5.399999674E-3,1.190899968E0,1.191961364E0
2.004328120E-1,5.433999896E-1,-2.513000071E-1,1.182399988E0,1.325332024E0
2.104734370E-1,4.821999967E-1,-2.185999900E-1,9.168999791E-1,1.058776825E0
2.204671870E-1,3.343999982E-1,-1.331000030E-1,4.026999772E-1,5.400983625E-1
2.304718750E-1,7.699999958E-2,-6.319999695E-2,-4.619999975E-2,1.098074657E-1
2.404703120E-1,-2.707000077E-1,-7.679999620E-2,-3.025999963E-1,4.132111946E-1
2.504734370E-1,-4.359999895E-1,-2.117999941E-1,-3.458999991E-1,5.954847083E-1
2.604703120E-1,-2.924999893E-1,-4.174999893E-1,-1.756999940E-1,5.391965993E-1
2.704703120E-1,-2.559999935E-2,-4.990999997E-1,2.858999968E-1,5.757560054E-1
2.804703120E-1,9.013999701E-1,-7.969999909E-1,5.600000024E-1,1.327151421E0
2.904703120E-1,1.486899972E0,-1.093400002E0,5.778999925E-1,1.934001937E0
3.004734370E-1,1.823899984E0,-1.213799953E0,7.091999650E-1,2.302799616E0
3.104703120E-1,1.547799945E0,-1.026000023E0,7.057999969E-1,1.986583588E0
3.204703120E-1,9.256999493E-1,-1.311499953E0,6.534999609E-1,1.733209371E0
3.304703120E-1,1.265100002E0,-1.476499915E0,-3.130000085E-2,1.944610425E0
3.404687500E-1,1.205299973E0,-1.119300008E0,-7.752999663E-1,1.818425300E0
3.504734370E-1,7.299000025E-1,-8.589999676E-1,-8.849999905E-1,1.433129422E0
3.604703120E-1,-1.397999972E-1,-6.383000016E-1,-8.923999667E-1,1.106050917E0
3.704703120E-1,-6.222999692E-1,-3.095999956E-1,-3.414999843E-1,7.744234295E-1
3.804703120E-1,-3.818999827E-1,2.919999883E-2,6.897999644E-1,7.890020454E-1
3.904703120E-1,-1.638000011E-1,2.563999891E-1,1.231499910E0,1.268528054E0
4.004734370E-1,3.062999845E-1,-1.846999973E-1,1.329299927E0,1.376579843E0
4.105109370E-1,1.676499963E0,-1.072700024E0,1.544999957E0,2.519595669E0
4.204687500E-1,2.707900047E0,-1.064100027E0,9.777999520E-1,3.069385000E0
4.304703120E-1,2.790099859E0,-1.017499924E0,7.657999992E-1,3.066987603E0
4.404703120E-1,3.112699986E0,-1.259799957E0,4.512999952E-1,3.388165996E0
4.504890620E-1,4.005499840E0,-2.583099842E0,5.483999848E-1,4.797621943E0
4.605093750E-1,-2.019999921E-1,-1.351999998E0,-2.125200033E0,2.526891999E0
4.704703120E-1,-3.361399889E0,-4.187999964E-1,-2.790899992E0,4.389023287E0
4.804718750E-1,-4.199500084E0,9.499999881E-2,-2.090800047E0,4.692149911E0
4.905093750E-1,-4.450099945E0,7.649999857E-2,-4.759999812E-1,4.476138710E0
5.005062500E-1,-3.566399813E0,-1.598799944E0,9.195999503E-1,4.015100616E0
5.104718750E-1,-2.195499897E0,-2.592900038E0,5.619999766E-1,3.443718104E0
5.204703120E-1,-2.484699965E0,-2.475499868E0,-1.068499923E0,3.666541367E0
