"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.846099973E0,8.838999867E-1,1.042099953E0,2.296810094E0
9.982813000E-3,3.028100014E0,-2.889999934E-2,-1.316999942E-1,3.031100426E0
2.041875000E-2,3.410499811E0,-4.791999757E-1,-1.529099941E0,3.768194290E0
3.041875000E-2,2.041300058E0,-3.795000017E-1,-1.974900007E0,2.865511511E0
4.041718800E-2,4.919999838E-2,-3.847999871E-1,-9.233999848E-1,1.001578355E0
5.041875000E-2,-1.740299940E0,-1.127999946E-1,6.712999940E-1,1.868692431E0
6.041875000E-2,-2.510900021E0,4.721999764E-1,7.876999974E-1,2.673586172E0
7.041562500E-2,-2.494599819E0,1.160399914E0,-9.999999776E-3,2.751300823E0
8.041718800E-2,-1.827399969E0,1.363299966E0,2.960000001E-2,2.280099472E0
9.041562500E-2,-6.049000025E-1,9.213999510E-1,5.723999739E-1,1.241983741E0
1.004203130E-1,1.296000034E-1,6.407999992E-1,5.647999644E-1,8.639559015E-1
1.104187500E-1,-1.077999994E-1,8.151999712E-1,1.736999899E-1,8.404424546E-1
1.204171880E-1,-8.971999884E-1,1.228199959E0,-2.410000004E-2,1.521191562E0
1.304156250E-1,-1.306299925E0,1.475499988E0,5.971999764E-1,2.059166705E0
1.404171880E-1,-1.491400003E0,1.545599937E0,7.954999804E-1,2.290408993E0
1.504187500E-1,-1.274999976E0,9.414999485E-1,-8.899999782E-3,1.584968865E0
1.604156250E-1,1.400000006E-1,-5.424999595E-1,-1.390100002E0,1.498760896E0
1.704187500E-1,1.553399920E0,-1.847899914E0,-3.076399803E0,3.910501394E0
1.804171880E-1,2.862200022E0,-2.313299894E0,-3.929099798E0,5.383434832E0
1.904187500E-1,3.339999914E0,-1.241099954E0,-3.126299858E0,4.740219333E0
2.004187500E-1,2.283099890E0,-1.070000008E-1,-1.347299933E0,2.653151186E0
2.104687500E-1,2.699999837E-3,4.883999825E-1,-1.305999905E-1,5.055671967E-1
2.204546880E-1,-1.275099993E0,6.765999794E-1,5.774999857E-1,1.554726264E0
2.304515630E-1,-1.893099904E0,8.181999922E-1,1.146199942E0,2.359460273E0
2.404546880E-1,-1.887399912E0,1.087700009E0,1.406299949E0,2.592884356E0
2.504531250E-1,-1.007900000E0,1.168799996E0,1.308799982E0,2.023589196E0
2.604687500E-1,3.111000061E-1,1.031499982E0,-1.465999931E-1,1.087321013E0
2.704531250E-1,-1.266999990E-1,5.234999657E-1,-9.429000020E-1,1.085893880E0
2.804531250E-1,-2.440700054E0,-3.791899920E0,-2.393100023E0,5.105139516E0
2.904546880E-1,-1.290399909E0,-7.232499599E0,-1.485700011E0,7.495431069E0
3.004546880E-1,-5.378999710E-1,-2.789700031E0,2.076599836E0,3.519094986E0
3.104578130E-1,1.286000013E-1,-2.214499950E0,-7.148999572E-1,2.330585750E0
3.204515630E-1,8.499999642E-1,-2.919199944E0,-2.180999994E0,3.741789575E0
3.304515630E-1,2.795199871E0,-8.823999763E-1,-1.957299948E0,3.524598576E0
3.404546880E-1,4.687500000E0,5.788999796E-1,-1.479399920E0,4.949384362E0
3.504531250E-1,3.572799921E0,1.166100025E0,9.669999480E-1,3.880692908E0
3.604578130E-1,4.071999788E-1,1.013100028E0,3.642299891E0,3.802437637E0
3.704515630E-1,-2.357199907E0,4.985999763E-1,3.870399952E0,4.559055728E0
3.804546880E-1,-3.849200010E0,9.063999653E-1,2.000499964E0,4.431692873E0
3.904546880E-1,-5.473899841E0,1.687500000E0,6.329999864E-2,5.728459009E0
4.004546880E-1,-2.840499878E0,1.280599952E0,-5.551999807E-1,3.164904866E0
4.104546880E-1,-9.378999472E-1,7.116999626E-1,-4.346999824E-1,1.255044709E0
4.204515630E-1,2.405999899E-1,-2.429999970E-2,-1.184800029E0,1.209227007E0
4.304546880E-1,6.794999838E-1,-1.834999919E-1,-2.368899822E0,2.471250461E0
4.404515630E-1,-4.529999793E-1,-2.243999988E-1,-1.405499935E0,1.493651368E0
4.504546880E-1,-1.417299986E0,-8.136999607E-1,3.400000036E-1,1.669265371E0
4.604578130E-1,-1.429099917E0,-4.589999914E-1,2.686300039E0,3.077209039E0
4.704546880E-1,9.055999517E-1,-2.245999873E-1,2.497999907E0,2.666563324E0
4.804531250E-1,2.879299879E0,-3.382999897E-1,-5.529999733E-2,2.899633212E0
4.904531250E-1,2.623399973E0,-6.491000056E-1,-1.761500001E0,3.225901500E0
5.004546880E-1,8.701999784E-1,-1.464699984E0,-2.246799946E0,2.819699282E0
5.104546880E-1,-1.452399969E0,-2.698599815E0,-2.186399937E0,3.764605068E0
5.204546880E-1,-2.006199837E0,-3.487799883E0,-1.411899924E0,4.264158440E0
5.306437500E-1,-1.412299991E0,-4.612199783E0,1.837999970E-1,4.827086134E0
5.406000000E-1,4.859699726E0,-7.059299946E0,3.177699804E0,9.140468981E0
5.504515630E-1,7.931499958E0,-7.345599651E0,4.559199810E0,1.173255423E1
5.605109380E-1,-1.639499903E0,-4.416299820E0,-4.168900013E0,6.290579572E0
5.704546880E-1,-1.657799959E0,-5.272299767E0,-2.006099939E0,5.879615846E0
5.804531250E-1,-1.121099949E0,-4.004999995E-1,-2.357599974E0,2.641125325E0
