"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,2.369999886E-2,1.569999941E-2,1.809999906E-2,3.370148206E-2
9.846875000E-3,7.979999483E-2,-1.049999986E-2,-1.150999963E-1,1.404503411E-1
2.043750000E-2,-1.776999980E-1,2.344999909E-1,7.349999994E-2,3.032652058E-1
3.043593800E-2,-4.669999704E-2,6.039999798E-2,-1.580999941E-1,1.755695236E-1
4.043437500E-2,1.281999946E-1,-3.979999945E-2,-1.081999987E-1,1.724137996E-1
5.043437500E-2,5.729999766E-2,1.158999950E-1,2.433999926E-1,2.756077919E-1
6.043281300E-2,-5.900000036E-2,1.228999943E-1,1.407999992E-1,1.959848168E-1
7.043281300E-2,-1.999999862E-3,-8.410000056E-2,-5.744000077E-1,5.805275006E-1
8.043437500E-2,1.972000003E-1,-1.330000013E-1,-6.258000135E-1,6.694792733E-1
9.043437500E-2,1.026999950E-1,-1.430999935E-1,-3.192999959E-1,3.646606429E-1
1.004359380E-1,2.950000018E-2,-1.262999922E-1,-3.752999902E-1,3.970793632E-1
1.104359380E-1,-2.418999970E-1,3.929999843E-2,-4.637999833E-1,5.245669861E-1
1.204343750E-1,-2.651000023E-1,1.308999956E-1,-4.925999939E-1,5.745150773E-1
1.304328130E-1,-3.041999936E-1,2.944999933E-1,-3.537999988E-1,5.517629213E-1
1.404343750E-1,-5.130999684E-1,3.637999892E-1,-8.179999888E-2,6.342816800E-1
1.504375000E-1,-4.324999750E-1,2.250999957E-1,8.679999411E-2,4.952377968E-1
1.604359380E-1,-2.302999943E-1,1.832000017E-1,2.312999964E-1,3.742993673E-1
1.704343750E-1,-1.246999949E-1,1.997999996E-1,6.039999798E-2,2.431425268E-1
1.804359380E-1,-1.668999940E-1,4.292999804E-1,-3.519999981E-1,5.797051663E-1
1.904359380E-1,-1.472999901E-1,6.328999996E-1,-1.151999980E-1,6.599475253E-1
2.004343750E-1,-1.469999924E-2,2.960999906E-1,5.069999695E-1,5.873161529E-1
2.104718750E-1,1.957999915E-1,-1.564999968E-1,4.620999992E-1,5.257055211E-1
2.204703130E-1,1.618999988E-1,-2.672999799E-1,2.947999835E-1,4.296136859E-1
2.304875000E-1,-2.539999969E-2,-1.193999946E-1,5.529999733E-2,1.340134635E-1
2.404703130E-1,-3.150999844E-1,4.759999737E-2,-2.162999958E-1,3.851486052E-1
2.504703130E-1,-5.083000064E-1,1.846999973E-1,-3.868999779E-1,6.649620880E-1
2.604703130E-1,-7.423999906E-1,3.422999978E-1,-4.673999846E-1,9.416951630E-1
2.704718750E-1,-9.601999521E-1,3.564999998E-1,-3.208999932E-1,1.073337320E0
2.804875000E-1,-9.764999747E-1,2.870999873E-1,-1.528999954E-1,1.029250704E0
