"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-3.443999887E-1,4.508000016E-1,-5.288000107E-1,7.755394541E-1
9.995313000E-3,-3.750000000E-1,6.363999844E-1,9.350000024E-1,1.191576663E0
1.999375000E-2,-4.214999974E-1,6.151999831E-1,1.065500021E0,1.300547408E0
3.003906300E-2,1.771399975E0,0.000000000E0,-1.634999961E-1,1.778929487E0
3.999531300E-2,3.404999971E0,-5.220999718E-1,2.545999885E-1,3.454190837E0
4.999531300E-2,3.509099960E0,-6.979999542E-1,-5.277000070E-1,3.616552746E0
5.999375000E-2,3.183699846E0,-1.124799967E0,5.734999776E-1,3.424911955E0
6.999531300E-2,2.333499908E0,-9.684000015E-1,3.439899921E0,4.268012635E0
7.999687500E-2,2.082799911E0,-3.448999822E-1,3.463699818E0,4.056381133E0
8.999531300E-2,1.866699934E0,4.429999888E-1,4.708399773E0,5.084274388E0
1.000359380E-1,1.589499950E0,1.145299911E0,5.612299919E0,5.944420271E0
1.099953130E-1,1.805899978E0,1.242799997E0,2.655699968E0,3.443627286E0
1.200375000E-1,2.539099932E0,8.733999729E-1,-1.496699929E0,3.074079806E0
1.299984380E-1,4.259599686E0,-4.012999833E-1,-4.897299767E0,6.502982098E0
1.399937500E-1,4.779399872E0,-1.743199944E0,-6.544600010E0,8.289342463E0
1.499937500E-1,3.228899956E0,-2.322000027E0,-5.701699734E0,6.951752218E0
1.600343750E-1,1.516299963E0,-1.456300020E0,-4.118499756E0,4.624069157E0
1.699953130E-1,-2.469999902E-2,-1.509999949E-2,-2.242300034E0,2.242486910E0
1.800109380E-1,-1.146999970E-1,4.280000031E-1,-4.250000045E-2,4.451363185E-1
1.899953130E-1,4.030000046E-2,5.451999903E-1,1.776999950E0,1.859192282E0
1.999953130E-1,-3.251999915E-1,6.898999810E-1,2.753700018E0,2.857373061E0
2.099937500E-1,-8.125999570E-1,7.866999507E-1,2.951099873E0,3.160412309E0
2.200359380E-1,1.737999916E-1,4.029999971E-1,2.411599874E0,2.451209781E0
2.299953130E-1,1.637199998E0,-4.120000079E-2,1.340199947E0,2.116189304E0
2.399953130E-1,2.341599941E0,-3.008999825E-1,2.105999887E-1,2.370228563E0
2.499937500E-1,2.333199978E0,-6.179999933E-2,-7.263000011E-1,2.444412622E0
2.599937500E-1,2.029299974E0,5.092999935E-1,-1.772499919E0,2.742116123E0
2.699953130E-1,1.985999942E-1,3.865999877E-1,-1.337299943E0,1.406155271E0
2.800406250E-1,-2.022799969E0,9.020999670E-1,-2.159999907E-1,2.225344931E0
2.899953130E-1,-1.907499909E0,3.339999914E-2,5.957999825E-1,1.998661823E0
2.999937500E-1,-7.759000063E-1,-7.543999553E-1,3.538999856E-1,1.138589176E0
3.099968750E-1,-1.318999976E-1,-1.336999983E-1,-4.522999823E-1,4.897433745E-1
3.199921880E-1,2.842999995E-1,6.662999988E-1,-1.135299921E0,1.346732375E0
3.300390630E-1,7.055999637E-1,6.592999697E-1,-9.375999570E-1,1.345972302E0
3.399921880E-1,1.072399974E0,3.482999802E-1,-1.311299920E0,1.729410900E0
3.499953130E-1,2.944999933E-1,4.008999765E-1,-1.284199953E0,1.377178477E0
3.599937500E-1,1.779999882E-1,6.992999911E-1,1.509999949E-2,7.217565264E-1
3.699937500E-1,-3.949999809E-1,1.229200006E0,1.214100003E0,1.772285659E0
3.800406250E-1,-6.268999577E-1,8.963999748E-1,-6.164999604E-1,1.255630787E0
3.899937500E-1,-5.622999668E-1,-4.609999806E-2,-2.693199873E0,2.751659866E0
3.999937500E-1,-2.043000013E-1,-9.003999829E-1,-3.382499933E0,3.506246486E0
4.099953130E-1,5.838999748E-1,-1.355700016E0,-2.277400017E0,2.713929356E0
4.200375000E-1,6.624999642E-1,-1.822499990E0,-7.832999825E-1,2.091404141E0
4.299953130E-1,1.772999913E-1,-2.188199997E0,3.375999928E-1,2.221177226E0
4.399937500E-1,-8.003999591E-1,-1.707299948E0,2.816399813E0,3.389339333E0
4.500359380E-1,1.067899942E0,-1.804799914E0,2.410399914E0,3.194955518E0
4.599937500E-1,1.412299991E0,-1.110399961E0,4.764999747E-1,1.858663919E0
4.699937500E-1,1.517300010E0,-4.851000011E-1,8.506000042E-1,1.805835457E0
4.800437500E-1,1.280099988E0,-3.649999946E-2,7.486000061E-1,1.483371227E0
4.899953130E-1,6.489999592E-2,4.757999778E-1,-1.677999943E-1,5.086791390E-1
4.999937500E-1,-8.944999576E-1,6.334999800E-1,-9.862999916E-1,1.474530458E0
5.100359380E-1,-9.251999855E-1,1.919000000E-1,-1.303300023E0,1.609786189E0
5.199953130E-1,1.080999970E-1,-5.451999903E-1,-5.159999728E-1,7.584092633E-1
5.300109380E-1,9.753999710E-1,-1.873099923E0,9.193999767E-1,2.303303007E0
5.399953130E-1,1.673900008E0,-3.492499828E0,1.636899948E0,4.204632889E0
5.500375000E-1,2.305099964E0,-4.518599987E0,1.487699986E0,5.286254150E0
5.599937500E-1,1.771699905E0,-4.566100121E0,7.649999857E-1,4.957158041E0
5.699968750E-1,4.537999928E-1,-3.886499882E0,3.867000043E-1,3.931965495E0
5.800390630E-1,-1.237999916E0,-2.886999846E0,8.389999717E-2,3.142363937E0
5.899953130E-1,-2.020599842E0,-2.162699938E0,-6.233999729E-1,3.024685483E0
5.999937500E-1,-1.370499969E0,-1.839299917E0,-1.104399920E0,2.545779553E0
6.100375000E-1,-7.242999673E-1,-1.210299969E0,-1.568099976E0,2.109116875E0
