"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.259000003E-1,1.068999991E-1,5.579999834E-2,1.743331859E-1
9.993750000E-3,-1.692999899E-1,1.115999967E-1,6.469999999E-2,2.128453332E-1
1.999531200E-2,-4.199999850E-3,5.999999703E-4,3.161000013E-1,3.161284721E-1
2.999687500E-2,4.059999809E-2,-4.959999770E-2,3.737999797E-1,3.792557771E-1
4.000000000E-2,1.650499940E0,-3.131799936E0,1.746699929E0,3.947566533E0
4.999687500E-2,9.673999548E-1,-2.868299961E0,4.296999872E-1,3.057392585E0
5.999687500E-2,-2.514999807E-1,-1.600799918E0,-1.742699981E0,2.379667170E0
6.999687500E-2,-1.258999944E0,-6.260000169E-2,-2.457499981E0,2.761938771E0
7.999687500E-2,-1.252300024E0,1.133899927E0,-1.882499933E0,2.529385379E0
9.000000000E-2,-1.059599996E0,1.845299959E0,-1.269599915E0,2.477855531E0
9.999687500E-2,-7.301999927E-1,2.429800034E0,-7.059999704E-1,2.633544416E0
1.099968750E-1,-6.812999845E-1,2.678699970E0,-5.284000039E-1,2.814037982E0
1.199968750E-1,-7.382999659E-1,2.214999914E0,-8.509999514E-2,2.336354739E0
1.299968750E-1,-7.008000016E-1,1.176599979E0,2.146999985E-1,1.386219407E0
1.400000000E-1,-4.086000025E-1,1.430999935E-1,-5.779999867E-2,4.367750108E-1
1.499953120E-1,-2.716000080E-1,-3.543999791E-1,-4.711999893E-1,6.491497050E-1
1.599968750E-1,-3.980000019E-1,-4.561999738E-1,-6.193000078E-1,8.660571097E-1
1.699968750E-1,-4.228999913E-1,-3.285999894E-1,-3.325999975E-1,6.304324817E-1
1.799968750E-1,-9.919999838E-1,1.597999930E-1,5.199999735E-2,1.006133195E0
1.899984370E-1,-1.673799992E0,6.543999910E-1,1.397999972E-1,1.802606391E0
1.999953120E-1,-1.123799920E0,4.449999928E-1,-6.069999933E-2,1.210221362E0
2.099953120E-1,-2.533999979E-1,-4.769999906E-2,-3.613999784E-1,4.439558461E-1
2.199953120E-1,5.174999833E-1,-4.023000002E-1,-3.271999955E-1,7.326058694E-1
2.299968750E-1,8.373999596E-1,-7.175999880E-1,-4.597999752E-1,1.194824026E0
2.400000000E-1,1.130299926E0,-9.436999559E-1,1.826999933E-1,1.483754298E0
2.499968750E-1,2.142899990E0,-1.227699995E0,9.098999500E-1,2.631954704E0
2.599968750E-1,3.262099981E0,-9.034999609E-1,7.893999815E-1,3.475738885E0
2.700390620E-1,4.988999963E-1,7.664999962E-1,2.096999884E-1,9.382950152E-1
2.799984370E-1,-3.663999796E0,1.741400003E0,2.189999968E-1,4.062675162E0
2.900000000E-1,-4.586699963E0,6.507999897E-1,3.384999931E-1,4.644990788E0
2.999937500E-1,-8.332999945E-1,-2.254899979E0,-3.495000005E-1,2.429220666E0
3.099953120E-1,8.779000044E-1,-3.128000021E0,1.964999884E-1,3.254797197E0
3.199953120E-1,1.057999969E0,-2.880699873E0,7.602999806E-1,3.161621697E0
3.299968750E-1,3.955000043E-1,-3.010299921E0,1.304000020E-1,3.038968580E0
3.400140620E-1,-6.721999645E-1,-3.216499805E0,-4.899999797E-1,3.322322045E0
3.499968750E-1,-1.098099947E0,-3.484299898E0,-8.240000010E-1,3.745016058E0
3.599968750E-1,-2.032000065E0,-3.486999989E0,-1.637300014E0,4.355335179E0
3.699953120E-1,-3.899799824E0,-3.863399982E0,-1.333599925E0,5.649140364E0
3.799968750E-1,-5.613299847E0,-4.161999702E0,-1.566399932E0,7.161353604E0
3.900406250E-1,-3.474699974E0,-4.369999886E0,-1.846699953E0,5.880539059E0
4.001453120E-1,-5.270999670E-1,-3.716599941E0,-7.067999840E-1,3.819753358E0
4.099968750E-1,1.548999995E-1,-3.318699837E0,-3.075000048E-1,3.336512981E0
4.199953120E-1,1.609999985E-1,-3.106099844E0,2.886999846E-1,3.123639691E0
4.299953120E-1,2.013200045E0,-4.428699970E0,1.813399911E0,5.191799022E0
4.400000000E-1,3.973399878E0,-4.799999714E0,1.349799991E0,6.375724575E0
4.500375000E-1,1.564599991E0,-3.057899952E0,-1.989299893E0,3.969387776E0
4.599968750E-1,2.422999859E0,-4.068799973E0,-3.812899828E0,6.079824556E0
4.699953120E-1,1.713400006E0,-3.404099941E0,-2.497599840E0,4.556494371E0
4.800390620E-1,5.148999691E-1,-2.478899956E0,-1.072399974E0,2.749565179E0
4.900125000E-1,-1.018800020E0,-8.170999885E-1,9.748999476E-1,1.629734880E0
4.999953120E-1,-9.814999700E-1,9.849999845E-2,1.985399961E0,2.216947777E0
5.100359370E-1,-1.539199948E0,4.267999828E-1,6.283000112E-1,1.716407763E0
5.199968750E-1,-6.000999808E-1,2.252799988E0,-1.749499917E0,2.914786052E0
5.299968750E-1,-1.424199939E0,7.744199753E0,-3.693399906E0,8.697251183E0
5.400718750E-1,-1.718099952E0,1.049129963E1,-5.830399990E0,1.212488348E1
5.499968750E-1,1.784699917E0,5.623399734E0,-2.679399967E0,6.479734759E0
5.599968750E-1,3.199999919E-3,3.951299906E0,-5.335000157E-1,3.987154807E0
5.700375000E-1,-3.134399891E0,3.753099918E0,7.120999694E-1,4.941387259E0
5.799968750E-1,-5.797999859E0,3.129499912E0,5.952999592E-1,6.615508605E0
5.899953120E-1,-4.634999752E0,1.681999922E0,-2.675999999E-1,4.938011361E0
5.999968750E-1,-2.920699835E0,6.115999818E-1,5.059999973E-2,2.984476909E0
6.100359370E-1,-3.877499819E0,1.335799932E0,-6.675999761E-1,4.155124069E0
6.199968750E-1,-3.273399830E0,-9.879999608E-2,-7.764999866E-1,3.365688654E0
6.299968750E-1,-4.177700043E0,-9.783999920E-1,-2.463599920E0,4.947703382E0
6.400000000E-1,-3.561100006E0,-1.225000024E0,-2.928599834E0,4.770613724E0
6.499937500E-1,-2.837899923E0,-5.848999619E-1,-3.718299866E0,4.713972617E0
6.599953120E-1,-2.321699858E0,5.888999701E-1,-3.917899847E0,4.592061913E0
6.700375000E-1,-2.163199902E0,2.698499918E0,-4.405299664E0,5.600714307E0
6.799968750E-1,-1.704100013E0,4.115900040E0,-3.069700003E0,5.409958234E0
6.899984370E-1,-1.858899951E0,4.073999882E0,-1.039099932E0,4.597033036E0
6.999968750E-1,-1.290599942E0,2.892499924E0,1.876599908E0,3.681552829E0
7.099937500E-1,-8.905999660E-1,1.628799915E0,4.072000027E0,4.475191804E0
7.199953120E-1,-1.326300025E0,8.416000009E-1,4.410299778E0,4.681677739E0
7.299953120E-1,-1.212999940E0,2.069999874E-1,3.432699919E0,3.646593833E0
7.399984370E-1,-2.354599953E0,2.171999961E-1,1.444299936E0,2.770797553E0
7.499968750E-1,-3.146899939E0,6.660999656E-1,-3.425999880E-1,3.234817327E0
7.599968750E-1,-3.920099974E0,1.671999931E0,-1.427999973E0,4.494658107E0
7.699953120E-1,-3.851599932E0,1.725199938E0,-1.857100010E0,4.610852124E0
7.799968750E-1,-3.272699833E0,1.170300007E0,-1.858199954E0,3.941202021E0
7.900000000E-1,-2.621500015E0,1.331699967E0,-2.209800005E0,3.678165738E0
7.999953120E-1,-1.697099924E0,1.160599947E0,-3.126499891E0,3.741943607E0
8.099937500E-1,-3.206000030E-1,9.497999549E-1,-2.738800049E0,2.916492761E0
8.199968750E-1,-2.173799992E0,1.031399965E0,-5.611999631E-1,2.470655316E0
8.300593750E-1,-1.846599936E0,1.702999920E-1,4.187999964E-1,1.901138304E0
8.400000000E-1,-1.917999983E0,-9.274999499E-1,-2.466999888E-1,2.144723986E0
8.499968750E-1,-1.504699945E0,-1.132599950E0,-9.955999851E-1,2.130287282E0
8.599968750E-1,-1.164600015E0,-3.753999770E-1,-7.282999754E-1,1.423951962E0
8.700375000E-1,-4.248999953E-1,7.999999798E-4,-7.997999787E-1,9.056603403E-1
8.799968750E-1,-6.581999660E-1,1.310999990E0,-2.659799814E0,3.037512670E0
8.900000000E-1,2.769999951E-2,1.115499973E0,-3.292099953E0,3.476065244E0
8.999968750E-1,-6.703000069E-1,2.893999815E-1,-1.751899958E0,1.897948342E0
