"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.511999965E-1,-5.895000100E-1,3.265999854E-1,6.906802814E-1
9.996875000E-3,-7.930000126E-2,-5.536999702E-1,-1.648999900E-1,5.831501984E-1
1.999687500E-2,2.782199860E0,-1.946900010E0,6.480000168E-2,3.396359043E0
2.999375000E-2,2.136399984E0,-1.409600019E0,2.194999903E-1,2.568921438E0
3.999531300E-2,1.703499913E0,-8.314999938E-1,1.403999925E-1,1.900793611E0
4.999375000E-2,1.536299944E0,-4.579999745E-1,-4.421999753E-1,1.662985963E0
5.999375000E-2,1.350499988E0,-2.193999887E-1,-5.410000086E-1,1.471280932E0
6.999687500E-2,1.166999936E0,-1.242999956E-1,-4.131999910E-1,1.244216047E0
7.999375000E-2,9.548999667E-1,-2.525999844E-1,-3.524999917E-1,1.048759716E0
8.999375000E-2,8.445000052E-1,-6.450999975E-1,-1.940999925E-1,1.080281941E0
9.999375000E-2,7.465999722E-1,-8.508999944E-1,-2.327999920E-1,1.155698125E0
1.099968750E-1,7.134000063E-1,-7.143999934E-1,-3.236999810E-1,1.060230445E0
1.199984380E-1,6.031999588E-1,-2.946999967E-1,-4.427999854E-1,8.042201847E-1
1.299953130E-1,-3.249000013E-1,1.096999943E-1,-3.386999965E-1,4.819873310E-1
1.399968750E-1,1.898999959E-1,-3.215999901E-1,-8.445999622E-1,9.234920998E-1
1.499968750E-1,-4.679999948E-1,-4.298999906E-1,-6.328999996E-1,8.968837196E-1
1.599953130E-1,-7.199999876E-3,-5.243999958E-1,1.631999910E-1,5.492553438E-1
1.699984380E-1,1.024999976E0,-4.743999839E-1,7.531999946E-1,1.357567872E0
1.799968750E-1,4.980999827E-1,6.499999668E-3,4.725999832E-1,6.866560907E-1
1.899953130E-1,5.500999689E-1,2.177999914E-1,-5.261999965E-1,7.917911646E-1
1.999937500E-1,1.405399919E0,-1.576000005E-1,-6.466000080E-1,1.555017126E0
2.099968750E-1,7.961999774E-1,1.713999957E-1,-4.922999740E-1,9.516678133E-1
2.199968750E-1,7.755999565E-1,4.736000001E-1,-3.069999814E-1,9.592190789E-1
2.299937500E-1,3.407999873E-1,5.708999634E-1,-6.219999865E-2,6.677875705E-1
2.399937500E-1,8.929999918E-2,5.097000003E-1,-3.280000016E-2,5.185020927E-1
2.499953130E-1,-3.217000067E-1,4.122000039E-1,-2.403999865E-1,5.754927376E-1
2.599968750E-1,-6.096000075E-1,2.615000010E-1,-1.740999967E-1,6.857880347E-1
2.700000000E-1,-6.020999551E-1,2.082999945E-1,2.899999917E-2,6.377728777E-1
2.799953130E-1,-6.886999607E-1,3.396999836E-1,2.441999912E-1,8.058147122E-1
2.899937500E-1,-7.696999907E-1,2.736999989E-1,6.560000032E-2,8.195444620E-1
2.999953130E-1,-7.055999637E-1,-5.240000039E-2,9.869999439E-2,7.143939793E-1
3.099953130E-1,-5.306999683E-1,-2.775999904E-1,3.735999763E-1,7.058903267E-1
3.199984380E-1,-3.515999913E-1,-6.696000099E-1,1.441999972E-1,7.699223119E-1
3.299953130E-1,-1.932999939E-1,-5.633000135E-1,-3.122999966E-1,6.724604678E-1
3.399953130E-1,-3.370999992E-1,-4.583999813E-1,-5.498999953E-1,7.913008007E-1
3.499968750E-1,-2.469999939E-1,-5.289999843E-1,-4.561999738E-1,7.409240153E-1
3.599953130E-1,1.239999980E-1,-7.642999887E-1,-2.585999966E-1,8.163359789E-1
3.699984380E-1,3.240000010E-1,-1.007900000E0,-7.584999800E-1,1.302367317E0
3.799953130E-1,1.152899981E0,-1.747499943E0,-9.901999831E-1,2.315908120E0
3.899953130E-1,1.577199936E0,-2.178699970E0,-2.739999890E-1,2.703584508E0
3.999953130E-1,1.738999963E0,-1.530699968E0,8.794999719E-1,2.478040247E0
4.099953130E-1,2.978699923E0,-1.243299961E0,5.066999793E-1,3.267291369E0
4.199984380E-1,2.745800018E0,-1.225399971E0,1.819399953E0,3.514432958E0
4.299937500E-1,1.253799915E0,-7.967999578E-1,5.954999924E-1,1.600476379E0
4.399953130E-1,-4.539999962E-1,-1.758199930E0,-1.033699989E0,2.089478083E0
4.499953130E-1,-1.533299923E0,-2.394199848E0,-2.160300016E0,3.570727899E0
4.599953130E-1,-9.419999719E-1,-2.473199844E0,-9.944999814E-1,2.827209159E0
4.699968750E-1,-9.279999882E-2,-7.748000026E-1,5.150000006E-2,7.820352510E-1
4.799937500E-1,5.708999634E-1,1.428099990E0,5.766999722E-1,1.642552650E0
4.899953130E-1,9.475999475E-1,9.853999615E-1,9.946999550E-1,1.690676416E0
4.999953130E-1,8.679999709E-1,2.201999873E-1,-1.188999936E-1,9.033544113E-1
5.099937500E-1,-1.703999937E-1,4.982999861E-1,-8.871999979E-1,1.031728099E0
5.199984380E-1,1.961999983E-1,1.046499968E0,-4.013999999E-1,1.137883378E0
5.300375000E-1,9.399999678E-2,9.401999712E-1,1.682899952E0,1.930016641E0
5.399937500E-1,-5.906000137E-1,1.125399947E0,1.254199982E0,1.785595422E0
5.499953130E-1,-1.124400020E0,9.936999679E-1,-3.709999844E-2,1.501030126E0
