"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.624999940E-1,-1.756999940E-1,-1.432999969E-1,2.789473517E-1
9.993750000E-3,-4.509999976E-2,-2.396999896E-1,0.000000000E0,2.439059142E-1
1.999687500E-2,4.648000002E-1,-1.545999944E-1,1.480000019E-1,5.117071418E-1
2.999687500E-2,1.579800010E0,-1.137999967E-1,-1.527999938E-1,1.591246790E0
3.999531200E-2,1.892899990E0,-1.400000006E-1,-1.169000030E0,2.229177302E0
4.999687500E-2,1.075999975E0,-4.050000012E-2,-1.955999970E0,2.232790201E0
5.999531200E-2,-2.542999983E-1,2.439999878E-1,-1.813099980E0,1.847034386E0
6.999843700E-2,-4.350000024E-1,1.014999971E-1,-7.938999534E-1,9.109359952E-1
7.999687500E-2,-4.838999808E-1,1.009999961E-1,5.230999589E-1,7.197178319E-1
8.999687500E-2,-6.823999882E-1,1.273999959E-1,1.109699965E0,1.308944045E0
9.999687500E-2,-3.361999989E-1,-4.639999941E-2,9.423999786E-1,1.001649200E0
1.099968750E-1,-5.769999698E-2,-5.379999802E-2,4.332999885E-1,4.404232163E-1
1.200046870E-1,-1.399999950E-3,2.869999968E-2,-2.461999953E-1,2.478711110E-1
1.299937500E-1,1.579999924E-2,1.948999912E-1,-1.043799996E0,1.061957663E0
1.399937500E-1,4.232999980E-1,3.867999911E-1,-2.583899975E0,2.646759566E0
1.499937500E-1,9.727999568E-1,-6.960000098E-2,-2.152400017E0,2.363050941E0
1.599937500E-1,6.858999729E-1,-2.400999963E-1,-9.628999829E-1,1.206351175E0
1.699968750E-1,2.716999948E-1,-2.383999974E-1,-1.520999968E-1,3.921604964E-1
1.799937500E-1,-3.233999908E-1,-1.662999988E-1,6.273999810E-1,7.251716899E-1
1.899968750E-1,-7.684999704E-1,-4.779999703E-2,1.046800017E0,1.299487330E0
1.999937500E-1,-5.353999734E-1,-4.769999906E-2,8.633999825E-1,1.017048647E0
2.099968750E-1,1.165999994E-1,-9.659999609E-2,-2.699999837E-3,1.514411077E-1
2.200078120E-1,5.409999937E-2,-2.119999938E-2,-4.052999914E-1,4.094439313E-1
2.299953120E-1,-2.818999887E-1,-6.699999794E-3,-6.789999604E-1,7.352233945E-1
2.401437500E-1,-2.333999872E-1,-6.570000201E-2,-6.351000071E-1,6.798117852E-1
2.501437500E-1,7.889999449E-2,-4.919999838E-2,-6.936999559E-1,6.999039061E-1
2.599953120E-1,6.747999787E-1,-1.282999963E-1,-2.637999952E-1,7.358031923E-1
2.700078120E-1,1.178200006E0,-2.017000020E-1,3.111999929E-1,1.235185647E0
2.799968750E-1,1.169700027E0,-2.122000009E-1,4.520999789E-1,1.271857454E0
2.899953120E-1,6.875999570E-1,-1.689999998E-1,1.493999958E-1,7.236539639E-1
2.999953120E-1,-1.963000000E-1,-1.999999862E-3,1.215000004E-1,2.308677978E-1
3.099984370E-1,-2.252899885E0,-3.788000047E-1,6.875000000E-1,2.385729152E0
3.197750000E-1,-5.055999756E-1,-1.364399910E0,-2.633999884E-1,1.478714984E0
3.299953120E-1,7.662999630E-1,-1.223099947E0,4.174000025E-1,1.502468594E0
3.399953120E-1,6.457999945E-1,-6.735000014E-1,1.226999983E-1,9.411244202E-1
3.499968750E-1,3.368999958E-1,-4.906999767E-1,-1.636999995E-1,6.173214431E-1
3.599968750E-1,4.916999936E-1,-3.569999933E-1,-6.951000094E-1,9.232453098E-1
3.699984370E-1,1.804799914E0,-4.923999906E-1,-1.025799990E0,2.133547773E0
3.799968750E-1,2.001299858E0,-3.973999918E-1,-1.704299927E0,2.658527058E0
3.899953120E-1,1.002300024E0,-7.400000002E-3,-1.600899935E0,1.888793451E0
3.999953120E-1,4.190999866E-1,-3.893999755E-1,-3.104999959E-1,6.509127339E-1
4.099953120E-1,-4.883999825E-1,-6.344999671E-1,9.185000062E-1,1.218510161E0
4.200078120E-1,-1.303900003E0,-8.568999767E-1,1.353299975E0,2.065394300E0
4.299937500E-1,-1.877999902E0,-1.107399940E0,1.542799950E0,2.670851914E0
4.399937500E-1,-2.805399895E0,-1.110000014E0,8.862999678E-1,3.144502542E0
4.499953120E-1,-3.000000000E0,-1.346599936E0,-1.592999995E-1,3.292219294E0
4.599937500E-1,-2.038699865E0,-1.382699966E0,-1.289999951E-2,2.463396588E0
4.700046870E-1,-1.288200021E0,-1.957699895E0,4.794999957E-1,2.392063632E0
4.799937500E-1,-9.578999877E-1,-2.559399843E0,8.292999864E-1,2.855842855E0
4.899968750E-1,-2.491999865E-1,-2.330299854E0,6.172999740E-1,2.423521674E0
4.999953120E-1,1.030000001E-1,-2.426599979E0,-1.255999953E-1,2.432030390E0
5.099953120E-1,6.789999604E-1,-1.506599903E0,-3.626999855E-1,1.691873368E0
5.200062500E-1,1.779799938E0,-1.177600026E0,-3.856999874E-1,2.168684883E0
5.299968750E-1,1.676100016E0,-6.696000099E-1,-5.286999941E-1,1.880744299E0
5.399953120E-1,1.979499936E0,5.363999605E-1,-1.861699939E0,2.769850461E0
5.500359370E-1,2.243900061E0,7.138999701E-1,-1.664699912E0,2.883741744E0
5.599968750E-1,6.039999723E-1,1.422099948E0,-2.406899929E0,2.860131378E0
5.700125000E-1,-8.639999479E-2,1.155499935E0,-1.890299916E0,2.217178124E0
5.799968750E-1,-1.644400001E0,7.679999620E-2,9.386999607E-1,1.895021693E0
5.899953120E-1,-1.769799948E0,-8.016999960E-1,1.985899925E0,2.778257233E0
5.999953120E-1,-1.228399992E0,-3.138999939E-1,7.669999599E-1,1.481819383E0
6.099937500E-1,-1.066299915E0,7.290999889E-1,-2.314999998E-1,1.312316484E0
6.200125000E-1,-4.685999751E-1,1.260999918E0,-1.112999991E-1,1.349849777E0
6.299968750E-1,-1.110800028E0,1.275499940E0,7.001000047E-1,1.830550959E0
6.399937500E-1,-1.251699924E0,7.081999779E-1,5.246999860E-1,1.530885360E0
6.499937500E-1,-7.935000062E-1,-1.920000017E-1,9.759999514E-1,1.272431596E0
6.599984370E-1,1.993999928E-1,-1.909699917E0,2.142699957E0,2.877130034E0
6.700093750E-1,3.097699881E0,-4.681900024E0,4.199199677E0,7.010649778E0
6.799968750E-1,1.627900004E0,-4.019000053E0,2.802799940E0,5.163148977E0
6.900375000E-1,1.080999947E1,-9.529199600E0,1.063529968E1,1.791009025E1
6.999937500E-1,-1.562799931E0,-2.410300016E0,4.429999828E0,5.279847372E0
7.099953120E-1,-6.270699978E0,-2.264600039E0,-1.109179974E1,1.294133351E1
7.199984370E-1,-2.865599871E0,-4.814199924E0,-1.715180016E1,1.804362580E1
7.300375000E-1,9.235999584E-1,-4.677899837E0,-1.279509926E1,1.365468230E1
