"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.612000018E-1,1.068999991E-1,-1.743000001E-1,2.603719271E-1
9.993750000E-3,1.275999993E-1,1.398999989E-1,5.169999972E-2,1.962820916E-1
1.999375000E-2,1.987999976E-1,6.449999660E-2,9.493999481E-1,9.721326813E-1
2.999375000E-2,-3.538999856E-1,2.053999901E-1,6.229000092E-1,7.452776510E-1
3.999375000E-2,-8.586999774E-1,4.079999924E-1,4.795999825E-1,1.064821951E0
4.999375000E-2,-8.127999902E-1,5.692999959E-1,1.265999973E-1,1.000386860E0
5.999218700E-2,-8.536999822E-1,6.567999721E-1,-4.096999764E-1,1.152407885E0
6.999375000E-2,-8.890999556E-1,4.226000011E-1,-5.282999873E-1,1.117224404E0
7.999218700E-2,-9.083999991E-1,4.703999758E-1,-1.495499969E0,1.811901446E0
8.999375000E-2,7.019999623E-2,3.831000030E-1,-1.926199913E0,1.965181864E0
9.999375000E-2,4.108999968E-1,5.618000031E-1,-9.775999784E-1,1.200066568E0
1.099937500E-1,-2.579999864E-1,5.169999599E-1,-6.189999580E-1,8.467667327E-1
1.199953120E-1,-4.470999837E-1,-1.532000005E-1,-2.920999825E-1,5.555997078E-1
1.299921870E-1,-1.084999964E-1,-3.614999950E-1,-7.209999859E-2,3.842563017E-1
1.399937500E-1,1.688999981E-1,-6.099999696E-2,3.330000043E-1,3.783347880E-1
1.499937500E-1,-2.322999984E-1,1.354999989E-1,1.101699948E0,1.134048639E0
1.599937500E-1,-6.301999688E-1,-3.570000082E-2,1.712499976E0,1.825125382E0
1.699953120E-1,-5.715000033E-1,-2.615999877E-1,1.300300002E0,1.444239212E0
1.799937500E-1,-3.574999869E-1,-3.889999986E-1,4.360000044E-2,5.301209292E-1
1.899937500E-1,-5.008000135E-1,-4.502999783E-1,-6.273999810E-1,9.204354731E-1
1.999937500E-1,-7.786999941E-1,-5.766999722E-1,-9.404999614E-1,1.350369104E0
2.099937500E-1,-1.402099967E0,-1.239999942E-2,3.359999880E-2,1.402557321E0
2.199937500E-1,-7.328000069E-1,-1.658999920E-1,1.852999926E-1,7.738570570E-1
2.299937500E-1,8.289999515E-2,-5.263000131E-1,4.413999915E-1,6.918800947E-1
2.399937500E-1,9.927999973E-1,-6.657999754E-1,5.340999961E-1,1.309276231E0
2.499937500E-1,1.554000020E0,-9.677999616E-1,3.129000068E-1,1.857271989E0
2.599953120E-1,1.605399966E0,-1.267199993E0,6.826999784E-1,2.156196683E0
2.699937500E-1,1.878699899E0,-1.429799914E0,-7.559999824E-2,2.362108479E0
2.799921870E-1,1.004099965E0,-8.999999762E-1,-1.599399924E0,2.091960041E0
2.899937500E-1,-1.349000037E-1,-6.058999896E-1,-1.870599985E0,1.970902614E0
2.999937500E-1,-6.233999729E-1,-6.534999609E-1,-1.718999892E-1,9.193689855E-1
3.099937500E-1,-2.707000077E-1,-6.919999719E-1,1.278299928E0,1.478578087E0
3.199953120E-1,-2.630000003E-2,-1.130200028E0,8.470000029E-1,1.412604969E0
3.299937500E-1,1.466999948E-1,-1.840699911E0,-2.251999974E-1,1.860218291E0
3.399921870E-1,8.240000159E-2,-2.028499842E0,-1.970299959E0,2.829078171E0
3.499937500E-1,-3.823999763E-1,-1.897899985E0,-9.759999514E-1,2.168139756E0
3.599937500E-1,4.463299751E0,-6.005199909E0,8.387299538E0,1.123967367E1
3.699968750E-1,-7.720999718E-1,-2.299999952E0,1.445099950E0,2.823907224E0
3.800359370E-1,-2.773999870E-1,-3.221899986E0,-1.011699915E0,3.388381176E0
3.899921870E-1,-4.355999827E-1,-1.851699948E0,-2.033599854E0,2.784612793E0
3.999921870E-1,-1.651499987E0,-9.414999485E-1,-4.752999842E-1,1.959536791E0
4.099937500E-1,-1.498199940E0,7.958999872E-1,-1.111099958E0,2.027955366E0
4.199937500E-1,-1.123600006E0,1.019600034E0,-1.420999914E-1,1.523894225E0
4.299937500E-1,-2.004099846E0,1.230899930E0,-9.819999933E-1,2.548696690E0
4.399937500E-1,-2.059900045E0,1.002699971E0,-6.879999489E-2,2.292014151E0
4.499921870E-1,-2.284499884E0,8.438999653E-1,-8.241999745E-1,2.571072241E0
4.599937500E-1,-2.048899889E0,3.656999767E-1,-5.011000037E-1,2.140754176E0
4.700000000E-1,-1.488299966E0,1.167999953E-1,-5.940999985E-1,1.606746351E0
4.799906250E-1,-1.044099927E0,-1.102299929E0,5.868999958E-1,1.627778055E0
4.899937500E-1,-9.520999789E-1,-2.152600050E0,3.044999838E-1,2.373373461E0
4.999937500E-1,-1.121799946E0,-2.024699926E0,-1.491500020E0,2.753618932E0
5.099937500E-1,3.748199940E0,-4.436399937E0,3.163199902E0,6.613356244E0
5.199953120E-1,7.971000075E-1,-2.071199894E0,-2.243199825E0,3.155500417E0
5.300343750E-1,7.768999934E-1,-1.458099961E0,-2.341099977E0,2.865375752E0
