"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.235999987E-1,9.849999845E-2,-1.035099983E0,1.047096550E0
9.982813000E-3,-1.235999987E-1,9.849999845E-2,-1.035099983E0,1.047096550E0
2.043593800E-2,-1.235999987E-1,9.849999845E-2,-1.035099983E0,1.047096550E0
3.041875000E-2,-2.395000011E-1,-2.554999888E-1,-8.049999923E-2,3.593337511E-1
4.041718800E-2,-4.259999990E-1,3.461999893E-1,-7.250999808E-1,9.094506111E-1
5.041562500E-2,-5.446999669E-1,5.746999979E-1,-8.834999800E-1,1.186402274E0
6.041718800E-2,-4.069999754E-1,3.912999928E-1,-5.286999941E-1,7.734910136E-1
7.041562500E-2,-2.658999860E-1,7.729999721E-2,-3.612000048E-1,4.551302403E-1
8.041718800E-2,-2.918999791E-1,-8.999999613E-2,-5.575999618E-1,6.357855884E-1
9.041562500E-2,-1.801999956E-1,-2.603999972E-1,-6.693999767E-1,7.405244937E-1
1.004203130E-1,1.620000005E-1,-3.721999824E-1,-3.549000025E-1,5.391946205E-1
1.104187500E-1,2.533999979E-1,-3.096999824E-1,1.339999959E-2,4.003813158E-1
1.204156250E-1,5.619999766E-2,-7.490000129E-2,9.799999744E-2,1.355450089E-1
1.304171880E-1,-9.513999820E-1,1.913999915E-1,2.149000019E-1,9.939707708E-1
1.404171880E-1,-1.590899944E0,2.374999970E-1,2.908000052E-1,1.634605006E0
1.504171880E-1,-5.859000087E-1,-1.823000014E-1,2.804999948E-1,6.746794481E-1
1.604171880E-1,2.586999834E-1,-2.064999938E-1,-7.189999521E-2,3.387292992E-1
1.704171880E-1,5.148000121E-1,-1.589999907E-2,-5.899999738E-1,7.831805868E-1
1.804171880E-1,-4.809999838E-2,7.609999925E-2,-9.200000018E-2,1.287199276E-1
1.904187500E-1,-4.426999986E-1,2.285999954E-1,3.314999938E-1,5.984425558E-1
2.004171880E-1,-4.309999943E-1,1.562999934E-1,5.036999583E-1,6.811052276E-1
2.104734380E-1,-4.748999774E-1,-2.829999849E-2,4.132999778E-1,6.301965964E-1
2.204546880E-1,-6.326999664E-1,-1.485999972E-1,7.289999723E-2,6.539920613E-1
2.304531250E-1,-4.691999853E-1,-3.158999979E-1,-1.589999944E-1,5.875563233E-1
2.404546880E-1,-6.300000008E-3,-5.476999879E-1,5.089999735E-2,5.500961520E-1
2.504546880E-1,1.014999971E-1,-4.161999822E-1,-3.859999776E-2,4.301332751E-1
2.604703130E-1,-3.529999778E-2,-2.267999947E-1,1.139999926E-2,2.298135928E-1
2.704531250E-1,1.799999923E-1,4.069999978E-2,6.199999712E-3,1.846481172E-1
2.804515630E-1,3.958999813E-1,3.563999832E-1,1.692999899E-1,5.589456411E-1
2.904546880E-1,1.896999925E-1,2.610999942E-1,3.506000042E-1,4.765287579E-1
3.004531250E-1,-1.399999950E-3,-2.716999948E-1,1.507000029E-1,3.106981462E-1
3.104562500E-1,1.418000013E-1,-7.785999775E-1,-3.382999897E-1,8.606811537E-1
3.204531250E-1,5.795999765E-1,-1.290099978E0,-1.865099907E0,2.340703260E0
3.304531250E-1,1.032299995E0,-1.423999906E0,-1.796099901E0,2.513840462E0
3.404531250E-1,8.231999874E-1,-1.402400017E0,-8.549999595E-1,1.837228608E0
3.504562500E-1,4.848999977E-1,-1.582899928E0,-2.421000004E-1,1.673114641E0
3.604578130E-1,-1.099999994E-1,-1.505699992E0,3.669999912E-2,1.510158719E0
3.704531250E-1,-8.042999506E-1,-1.120599985E0,5.637999773E-1,1.490138635E0
