"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.727000028E-1,-7.259999961E-2,-9.368000031E-1,9.553482593E-1
9.995312000E-3,7.360000163E-2,5.099999905E-2,4.429999739E-2,9.990220174E-2
1.999687500E-2,6.491000056E-1,-1.073199987E0,1.403599977E0,1.882334170E0
3.000000000E-2,-4.699999988E-1,1.042999998E-1,-5.299999937E-2,4.843423260E-1
3.999687500E-2,-7.218999863E-1,5.159999728E-1,-1.471899986E0,1.718687037E0
4.999687500E-2,-5.439000130E-1,2.590000033E-1,-1.963899970E0,2.054217933E0
5.999687500E-2,-2.863999903E-1,1.557999998E-1,-1.151000023E0,1.196285771E0
6.999531200E-2,-2.509000003E-1,1.800999939E-1,-3.342999816E-1,4.551299767E-1
8.000000000E-2,-1.648999900E-1,3.364999890E-1,-2.879999876E-1,4.726184954E-1
8.999687500E-2,5.286999941E-1,3.052999973E-1,-5.566999912E-1,8.262243354E-1
9.999687500E-2,1.051699996E0,2.070999891E-1,-6.893000007E-1,1.274400949E0
1.099968750E-1,5.703999996E-1,1.551000029E-1,-4.774999917E-1,7.598805251E-1
1.199968750E-1,-3.186999857E-1,1.174999997E-1,-2.748000026E-1,4.369107143E-1
1.300000000E-1,-9.429999590E-1,1.080999970E-1,1.579999924E-1,9.622362130E-1
1.399968750E-1,-9.539999962E-1,1.450999975E-1,4.039999843E-1,1.046129050E0
1.499968750E-1,-6.705999970E-1,9.149999917E-2,4.240999818E-1,7.987098349E-1
1.599953120E-1,-1.563999951E-1,1.199999941E-3,4.711000025E-1,4.963845393E-1
1.699968750E-1,7.699999958E-2,9.160000086E-2,5.534999967E-1,5.662877417E-1
1.799984370E-1,-4.651999772E-1,2.726999819E-1,3.655000031E-1,6.514342263E-1
1.899968750E-1,-2.031999975E-1,4.939999804E-2,-1.370000001E-2,2.095669077E-1
1.999968750E-1,-3.669999912E-2,-1.642999947E-1,-2.093999982E-1,2.686814795E-1
2.099968750E-1,5.810000002E-2,-3.322999775E-1,-4.117999971E-1,5.323327180E-1
2.199953120E-1,9.439999610E-2,-3.883000016E-1,-6.621999741E-1,7.734319984E-1
2.299968750E-1,-8.969999850E-2,-3.324999809E-1,-3.116999865E-1,4.644988790E-1
2.399953120E-1,-1.200000010E-2,-3.510999978E-1,9.719999880E-2,3.645038384E-1
2.499953120E-1,-3.159999847E-2,-1.944999993E-1,7.530000061E-2,2.109476232E-1
2.599953120E-1,-4.769999906E-2,-2.157999873E-1,3.237999976E-1,3.920349001E-1
2.699953120E-1,6.505999565E-1,-3.574000001E-1,6.826999784E-1,1.008510944E0
2.799984370E-1,4.108999968E-1,-2.206999958E-1,2.985999882E-1,5.538133697E-1
2.899968750E-1,-5.254999995E-1,-2.302999943E-1,-2.911999822E-1,6.434172569E-1
2.999968750E-1,-7.870999575E-1,-7.005999684E-1,-3.583999872E-1,1.113021657E0
3.099953120E-1,-5.729999766E-2,-1.425999999E0,-5.313000083E-1,1.522839120E0
3.199968750E-1,3.373000026E-1,-1.856699944E0,-9.663999677E-1,2.120149728E0
3.299968750E-1,2.292999923E-1,-2.283799887E0,-1.189700007E0,2.585286544E0
3.399968750E-1,8.928999901E-1,-3.642299891E0,-1.219499946E0,3.943450139E0
3.499953120E-1,-7.835999727E-1,-1.769400001E0,-6.908000112E-1,2.054753011E0
3.600375000E-1,-1.434599996E0,-4.520999789E-1,2.122000009E-1,1.519045878E0
3.699968750E-1,-4.499999881E-1,-6.545000076E-1,1.007399917E0,1.282858075E0
3.800000000E-1,-5.069999769E-2,-1.040699959E0,1.154500008E0,1.555151813E0
3.899968750E-1,-4.352999926E-1,-1.064100027E0,-5.439999700E-1,1.271900514E0
3.999968750E-1,-1.332700014E0,-6.340999603E-1,-6.643999815E-1,1.618517662E0
4.099984370E-1,-1.332299948E0,-6.682999730E-1,-5.870999694E-1,1.601978270E0
4.199968750E-1,-2.538000047E-1,-2.825999975E0,7.849000096E-1,2.943935857E0
4.300000000E-1,-2.917999923E-1,-9.746999741E-1,1.472999901E-1,1.028048910E0
4.399968750E-1,2.602999806E-1,-1.384999901E-1,-2.502000034E-1,3.867019122E-1
4.499968750E-1,-7.800000161E-2,-4.819999933E-1,7.268999815E-1,8.756663616E-1
4.599937500E-1,2.845999897E-1,-1.150599957E0,1.185400009E0,1.676320553E0
4.699968750E-1,-4.270000011E-2,-3.935999870E-1,9.238999486E-1,1.005154394E0
4.800109370E-1,-3.416000009E-1,-4.711999893E-1,4.745999873E-1,7.509761237E-1
