"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,3.533000052E-1,1.624999940E-1,4.869999886E-1,6.232143536E-1
9.996875000E-3,-4.226999879E-1,-2.989999950E-1,-1.799999923E-1,5.481571617E-1
1.999531300E-2,6.009999663E-2,-3.784999847E-1,1.493999958E-1,4.113327203E-1
2.999531300E-2,4.658999741E-1,-4.519999921E-1,2.863000035E-1,7.094606901E-1
3.999375000E-2,7.286999822E-1,-3.330999911E-1,2.442999929E-1,8.376405880E-1
4.999531300E-2,7.002999783E-1,-3.551000059E-1,2.768999934E-1,8.325801343E-1
5.999843800E-2,3.434999883E-1,-3.538999856E-1,4.153999984E-1,6.448213710E-1
6.999531300E-2,1.099999994E-2,-3.140999973E-1,6.227999926E-1,6.976099476E-1
7.999531300E-2,-3.158999979E-1,-2.225999981E-1,6.564999819E-1,7.617977383E-1
8.999531300E-2,-2.469999902E-2,-2.221999913E-1,2.430000007E-1,3.301998281E-1
1.000171880E-1,6.370999813E-1,-2.274999917E-1,2.453999966E-1,7.196344841E-1
1.108484380E-1,2.195999920E-1,1.004000008E-1,-1.054999977E-1,2.635043950E-1
1.199921880E-1,-6.638999581E-1,4.571999907E-1,-6.721000075E-1,1.049530088E0
1.299921880E-1,-1.138399959E0,4.786999822E-1,-1.231499910E0,1.744047066E0
1.399953130E-1,-6.146999598E-1,4.100000020E-3,-1.122499943E0,1.279796457E0
1.499953130E-1,-5.805000067E-1,-1.506000012E-1,-9.095999599E-1,1.089510305E0
1.599968750E-1,-1.256999969E0,-1.757999957E-1,-2.636999786E-1,1.296338012E0
1.699953130E-1,-1.166999936E0,-5.177999735E-1,1.668999940E-1,1.287579618E0
1.799953130E-1,-4.496999979E-1,-8.827999830E-1,2.499999851E-2,9.910554465E-1
1.899937500E-1,8.799999952E-2,-6.864999533E-1,4.668999910E-1,8.348783069E-1
1.999937500E-1,7.022999525E-1,-5.785999894E-1,4.842000008E-1,1.030753517E0
2.101437500E-1,5.137999654E-1,-5.789999962E-1,7.537999749E-1,1.080484059E0
2.201406250E-1,2.997999787E-1,-5.819000006E-1,1.165499926E0,1.336741454E0
2.301421880E-1,3.650999963E-1,-5.098000169E-1,1.071699977E0,1.241666181E0
2.399937500E-1,6.685999632E-1,-5.888999701E-1,6.445999742E-1,1.099699146E0
2.499953130E-1,9.989999533E-1,-7.245000005E-1,1.118999943E-1,1.239121772E0
2.599984380E-1,6.545000076E-1,-7.415999770E-1,-8.549999446E-2,9.927995946E-1
2.699953130E-1,6.103999615E-1,-9.667999744E-1,-7.369999588E-2,1.145740805E0
2.799953130E-1,1.358999968E0,-2.261399984E0,-1.493999958E0,3.031970758E0
2.899921880E-1,4.156999886E-1,-1.484899998E0,-2.861999989E0,3.250965767E0
2.999953130E-1,-2.536000013E-1,-1.150099993E0,-2.454900026E0,2.722788478E0
3.100390630E-1,-4.222999811E-1,-9.353999496E-1,-1.254299998E0,1.620672337E0
3.199953130E-1,-5.406000018E-1,-7.763999701E-1,5.999999866E-2,9.479690266E-1
3.299953130E-1,-6.559999585E-1,-5.234999657E-1,4.116999805E-1,9.348181821E-1
3.399937500E-1,-7.763999701E-1,2.321999967E-1,2.945999801E-1,8.622661424E-1
3.499937500E-1,-8.366000056E-1,1.188599944E0,5.471999645E-1,1.553092785E0
3.599984380E-1,-7.938999534E-1,1.610899925E0,1.434700012E0,2.298616939E0
3.699953130E-1,-9.918999672E-1,1.533800006E0,1.902599931E0,2.637478815E0
3.799968750E-1,-1.215299964E0,1.556699991E0,2.002799988E0,2.812734729E0
3.899953130E-1,-8.713999987E-1,1.221699953E0,1.281599998E0,1.973420201E0
3.999968750E-1,-3.096999824E-1,1.395499945E0,2.709999979E-1,1.454914146E0
4.099968750E-1,-9.329999983E-2,9.531999826E-1,-1.385999918E-1,9.677319126E-1
