"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.291800022E0,1.072899938E0,-7.477999926E-1,1.838223708E0
9.996875000E-3,1.253999919E-1,1.207999960E-1,4.710000008E-2,1.803779559E-1
2.000000000E-2,-1.820999980E-1,1.331000030E-1,1.856999993E-1,2.921652098E-1
2.999687500E-2,-2.214999944E-1,3.590000048E-2,-3.037000000E-1,3.776039560E-1
3.999843800E-2,-1.512999982E-1,-3.288999796E-1,-1.238199949E0,1.290041085E0
4.999843800E-2,-3.399999812E-3,-5.981000066E-1,-2.094500065E0,2.178225356E0
5.999687500E-2,2.539999969E-2,-5.544999838E-1,-2.139799833E0,2.210624056E0
7.000000000E-2,-3.000000026E-3,-2.098999918E-1,-1.522399902E0,1.536804629E0
7.999531300E-2,1.393999904E-1,2.056999952E-1,-6.890999675E-1,7.325323273E-1
8.999531300E-2,2.328999937E-1,3.937999904E-1,2.404999882E-1,5.168762752E-1
9.999843800E-2,3.231999874E-1,2.404999882E-1,7.540999651E-1,8.549650481E-1
1.099984380E-1,4.050999880E-1,1.099999994E-3,1.003799915E0,1.082460845E0
1.199984380E-1,6.424999833E-1,-1.775999963E-1,1.067299962E0,1.258362903E0
1.299968750E-1,6.929000020E-1,-4.238999784E-1,9.936999679E-1,1.283448959E0
1.399968750E-1,3.498999774E-1,-5.414999723E-1,4.012999833E-1,7.594036416E-1
1.499968750E-1,-1.743000001E-1,-4.670999944E-1,-4.463999867E-1,6.692053818E-1
1.599968750E-1,-5.356000066E-1,-2.290999889E-1,-5.350999832E-1,7.910032642E-1
1.700000000E-1,-4.375999868E-1,9.300000034E-3,-1.591999978E-1,4.657519487E-1
1.799953130E-1,-2.637999952E-1,2.717999816E-1,2.549000084E-1,4.565519486E-1
1.899953130E-1,4.284999967E-1,3.349999785E-1,-2.769999802E-1,6.103820294E-1
1.999968750E-1,6.557999849E-1,3.977999985E-1,-1.440799952E0,1.632244761E0
2.099984380E-1,2.723000050E-1,4.323000014E-1,-1.957599998E0,2.023172838E0
2.200000000E-1,-2.241999954E-1,-1.601999998E-1,-2.280200005E0,2.296789442E0
2.299968750E-1,-5.414000154E-1,-4.720000029E-1,-2.092799902E0,2.212625004E0
2.399984380E-1,-4.958999753E-1,-3.901000023E-1,-1.585399985E0,1.706337572E0
2.499953130E-1,-2.660999894E-1,-1.250000000E-1,-8.445999622E-1,8.943060441E-1
2.599968750E-1,-1.237999946E-1,4.380000010E-2,-6.239999831E-2,1.453913287E-1
2.700000000E-1,8.850000054E-2,-7.979999483E-2,2.800000012E-1,3.043029575E-1
2.799984380E-1,1.942999959E-1,-2.217999995E-1,1.833999902E-1,3.472510397E-1
2.899968750E-1,-1.182999983E-1,-1.686999947E-1,-4.769999906E-2,2.114943681E-1
2.999968750E-1,-5.011000037E-1,-5.051999688E-1,-5.268999934E-1,8.854105405E-1
3.099968750E-1,3.887999952E-1,-1.525799990E0,-4.874999821E-1,1.648298297E0
3.200000000E-1,6.179999709E-1,-9.639999866E-1,-2.211999893E-1,1.166254421E0
3.299984380E-1,4.183999896E-1,-5.532999635E-1,6.859999895E-2,6.970691219E-1
3.399968750E-1,-2.600000007E-3,-4.115999937E-1,4.960999787E-1,6.446212094E-1
3.499953130E-1,1.564999968E-1,-6.042000055E-1,9.801999927E-1,1.162042134E0
3.601437500E-1,8.564999700E-1,-1.139199972E0,1.947399974E0,2.413241686E0
3.701468750E-1,1.699299932E0,-2.059399843E0,3.140399933E0,4.121997054E0
3.801437500E-1,3.475999832E-1,-3.526399851E0,2.996099949E0,4.640359529E0
3.899953130E-1,-4.615999758E-1,-4.427899837E0,-1.050300002E0,4.574112111E0
3.999984380E-1,-5.834000111E-1,-4.302000046E0,-3.984099865E0,5.892419851E0
4.099953130E-1,-1.250100017E0,-3.076799870E0,-3.890599966E0,5.115292326E0
4.200546880E-1,-9.009999633E-1,-2.799799919E0,-1.645099998E0,3.370019959E0
4.301765630E-1,3.050999939E-1,-1.948699951E0,8.220999837E-1,2.136905681E0
4.399968750E-1,1.302899957E0,-1.813099980E0,2.445600033E0,3.311470875E0
4.499984380E-1,1.004899979E0,-6.425999999E-1,6.829999685E-1,1.374499067E0
4.599968750E-1,7.908999920E-1,3.441999853E-1,-1.861499906E0,2.051628213E0
4.699984380E-1,-1.902000010E-1,1.157299995E0,-1.732399940E0,2.092063305E0
4.800390630E-1,-1.763299942E0,1.836199999E0,-1.555899978E0,2.983568645E0
4.899953130E-1,-3.295499802E0,2.305399895E0,7.276999950E-1,4.087142633E0
4.999968750E-1,-3.845199823E0,3.026299953E0,9.206999540E-1,4.979130596E0
5.099953130E-1,-3.578899860E0,3.062700033E0,5.275999904E-1,4.739938550E0
5.200140630E-1,-3.349900007E0,2.671599865E0,5.065000057E-1,4.314605214E0
5.299984380E-1,-2.889199972E0,2.033999920E0,5.329999700E-2,3.533761883E0
5.399968750E-1,-2.223099947E0,1.420599937E0,-9.434999824E-1,2.801868979E0
5.499968750E-1,-7.858999968E-1,4.468999803E-1,-7.714999914E-1,1.188516148E0
5.599968750E-1,7.033999562E-1,-3.709000051E-1,-1.604599953E0,1.790832019E0
5.700015630E-1,1.400299907E0,-1.302299976E0,-1.989399910E0,2.759445064E0
5.799968750E-1,1.748899937E0,-1.720299959E0,-2.440599918E0,3.460435074E0
5.899984380E-1,1.156399965E0,-1.533399940E0,-2.242399931E0,2.952445377E0
5.999953130E-1,7.501999736E-1,-5.099999905E-1,-1.231799960E0,1.529781400E0
6.100390630E-1,1.209200025E0,6.771999598E-1,-1.686999947E-1,1.396146186E0
6.199984380E-1,3.488000035E-1,1.386500001E0,1.069999952E-2,1.429740601E0
6.299984380E-1,-7.195000052E-1,1.561800003E0,7.427999973E-1,1.873139435E0
6.399968750E-1,-7.400999665E-1,1.540499926E0,7.310999632E-1,1.858869317E0
