"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-4.648000002E-1,-1.648999900E-1,-8.542000055E-1,9.863512033E-1
9.995313000E-3,-1.313499928E0,-1.004500031E0,-9.759999812E-2,1.656450462E0
1.999687500E-2,-1.097100019E0,-1.062500000E0,-1.217899919E0,1.953411097E0
2.999531300E-2,-6.123999953E-1,-1.149199963E0,-9.693999887E-1,1.623400951E0
3.999531300E-2,-1.715999991E-1,-1.178300023E0,5.550999641E-1,1.313763097E0
4.999375000E-2,2.356999964E-1,-1.229799986E0,2.311100006E0,2.628525391E0
5.999687500E-2,1.896999925E-1,-1.188199997E0,3.538299799E0,3.737294581E0
6.999531300E-2,-1.911999881E-1,-1.025099993E0,3.896099806E0,4.033234574E0
7.999531300E-2,-4.651999772E-1,-8.295999765E-1,3.350399971E0,3.482790132E0
8.999375000E-2,-5.636000037E-1,-8.765999675E-1,2.348700047E0,2.569526099E0
9.999531300E-2,-3.953000009E-1,-1.053200006E0,1.666700006E0,2.010816066E0
1.099953130E-1,-1.744000018E-1,-1.017899990E0,1.661399961E0,1.956217161E0
1.199953130E-1,-5.306999683E-1,-4.597999752E-1,8.613999486E-1,1.111336288E0
1.299937500E-1,-1.757999957E-1,-1.245499969E0,1.411499977E0,1.890636929E0
1.399937500E-1,-2.624000013E-1,-8.909999728E-1,1.188799977E0,1.508635177E0
1.499953130E-1,1.278000027E-1,-1.082299948E0,1.691699982E0,2.012350577E0
1.599953130E-1,6.495000124E-1,-7.813999653E-1,2.101799965E0,2.334523348E0
1.699984380E-1,3.558000028E-1,-7.880000025E-2,1.998499990E0,2.031453984E0
1.799953130E-1,6.078000069E-1,-6.179999933E-2,1.065199971E0,1.227962160E0
1.899953130E-1,1.634799957E0,-8.917999864E-1,6.678999662E-1,1.978375212E0
1.999953130E-1,2.126499891E0,-1.117900014E0,3.324999809E-1,2.425336774E0
2.099921880E-1,1.427399993E0,-4.898999929E-1,8.296999931E-1,1.722171542E0
2.199953130E-1,1.511500001E0,-3.793999851E-1,1.197799921E0,1.965528237E0
2.299953130E-1,2.598599911E0,-8.306999803E-1,9.743999839E-1,2.896936189E0
2.399953130E-1,2.305699825E0,-8.953999877E-1,-2.161999941E-1,2.482888491E0
2.499953130E-1,1.152499914E0,-7.468000054E-1,-1.447699904E0,1.995445142E0
2.600375000E-1,6.849999726E-2,-7.975999713E-1,-1.896999955E0,2.058996550E0
2.699968750E-1,-8.580999970E-1,-4.544000030E-1,-1.456200004E0,1.750238103E0
2.799937500E-1,-7.477999926E-1,-6.129999757E-1,-7.188000083E-1,1.204843247E0
2.899937500E-1,-4.702999890E-1,-5.927000046E-1,-1.925999969E-1,7.807497255E-1
2.999937500E-1,-2.964999974E-1,-4.799000025E-1,9.910000116E-2,5.727452061E-1
3.099921880E-1,-2.066999972E-1,-5.708000064E-1,1.319999993E-1,6.212580269E-1
