"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,7.377862930E-4,-1.904461384E-1,-5.521144867E-1,5.840382542E-1
4.825104000E-3,-1.090176105E-1,-2.247295380E-1,-4.997673035E-1,5.587088350E-1
9.650990000E-3,-1.594699621E-1,-2.340261936E-1,-3.530483246E-1,4.525947941E-1
1.447765600E-2,-1.701544523E-1,-1.995456219E-1,-2.132930756E-1,3.380309585E-1
1.930354200E-2,-1.771723032E-1,-1.781344414E-1,-7.460403442E-2,2.620833192E-1
2.412864600E-2,-1.781924963E-1,-1.487474442E-1,8.674335480E-2,2.477958383E-1
2.895453100E-2,-1.457329988E-1,-1.254484653E-1,1.106023788E-1,2.218294629E-1
3.378119800E-2,-1.178719997E-1,-9.180903435E-2,1.675319672E-2,1.503441941E-1
3.860708300E-2,-6.760704517E-2,-4.132580757E-2,-4.124927521E-2,8.933105638E-2
4.343218800E-2,-2.190423012E-2,-1.166391373E-2,-5.128002167E-2,5.696913904E-2
4.825807300E-2,3.467273712E-2,-2.330780029E-3,-1.119136810E-1,1.171849104E-1
5.308468800E-2,1.192383766E-1,-1.322960854E-2,-1.222562790E-1,1.712875090E-1
5.791057300E-2,1.491948366E-1,-2.535676956E-2,-2.757797241E-1,3.145735546E-1
6.273567700E-2,1.464333534E-1,-6.392979622E-2,-3.438091278E-1,3.791232810E-1
6.756156300E-2,9.585464001E-2,-1.069309711E-1,-2.321414948E-1,2.729688960E-1
7.238822900E-2,2.546072006E-2,-1.053855419E-1,-6.367683411E-3,1.086043650E-1
7.721411500E-2,-3.748393059E-2,-1.163089275E-1,1.404924393E-1,1.862013350E-1
8.203921900E-2,-9.689521790E-2,-6.719303131E-2,2.553701401E-1,2.812783233E-1
8.686510400E-2,-1.542824507E-1,-2.438449860E-2,2.790451050E-1,3.197871933E-1
9.169177100E-2,-2.161779404E-1,-1.527619362E-2,3.537092209E-1,4.148210180E-1
9.651765600E-2,-2.325510979E-1,6.997585297E-4,4.502315521E-1,5.067434788E-1
1.013427610E-1,-2.431815267E-1,6.921529770E-3,5.123863220E-1,5.672079914E-1
1.061685940E-1,-2.239590883E-1,2.002239227E-2,5.388641357E-1,5.838947904E-1
1.109952610E-1,-1.933988929E-1,-9.393453598E-3,5.050382614E-1,5.408835496E-1
1.158211460E-1,-1.772035956E-1,-8.498167992E-2,2.839412689E-1,3.453196265E-1
1.206462500E-1,-2.085710168E-1,-1.707308292E-1,-8.287525177E-2,2.819914759E-1
1.254721360E-1,-2.598621845E-1,-2.031464577E-1,-4.313230515E-1,5.429884096E-1
1.302988020E-1,-2.272332311E-1,-2.205355167E-1,-7.250261307E-1,7.911597472E-1
1.351246880E-1,-1.044687927E-1,-2.015900612E-1,-8.861837387E-1,9.148081220E-1
1.399497920E-1,8.728331327E-2,-1.536514759E-1,-1.023316383E0,1.038462119E0
1.447756770E-1,1.497805864E-1,-1.094696522E-1,-1.230827808E0,1.244730864E0
1.496023440E-1,8.828441799E-2,-1.011369228E-1,-1.383284092E0,1.389783327E0
1.544282290E-1,-7.106003165E-2,-1.273343563E-1,-1.432803154E0,1.440204307E0
1.592533330E-1,-1.784851849E-1,-1.686837673E-1,-1.280583858E0,1.303919550E0
1.640792190E-1,-3.212895095E-1,-1.596360207E-1,-9.866361618E-1,1.049838808E0
1.689058860E-1,-4.179076850E-1,-1.674032211E-1,-6.777038574E-1,8.136050578E-1
1.737317710E-1,-4.493087530E-1,-1.639976501E-1,-3.207998276E-1,5.759219688E-1
1.785568230E-1,-5.072810650E-1,-9.844565392E-2,1.610727310E-1,5.412670786E-1
1.833827080E-1,-5.809698105E-1,2.040505409E-2,6.626853943E-1,8.815294769E-1
1.882093750E-1,-6.759880781E-1,6.627702713E-2,1.012541771E0,1.219259351E0
1.930352610E-1,-6.789287329E-1,7.290506363E-2,1.274750710E0,1.446115052E0
1.978603650E-1,-5.981738567E-1,2.649974823E-2,1.488641739E0,1.604546175E0
2.026862500E-1,-5.455814600E-1,-3.703331947E-2,1.426937103E0,1.528129606E0
2.075129170E-1,-5.232645273E-1,-1.626849174E-2,1.430761337E0,1.523531566E0
2.123388020E-1,-4.196854234E-1,1.659154892E-2,1.195272446E0,1.266920421E0
2.171639060E-1,-2.079946101E-1,9.919023514E-2,5.781621933E-1,6.223921451E-1
2.219897920E-1,1.473528147E-2,1.726305485E-1,-2.029094696E-1,2.668158309E-1
2.268164580E-1,2.093646526E-1,1.862587929E-1,-9.621429443E-1,1.002120223E0
2.316423440E-1,2.929994464E-1,1.893184185E-1,-1.401177883E0,1.443949306E0
2.364674480E-1,9.948408604E-2,2.158160210E-1,-1.438087940E0,1.457590670E0
2.412933330E-1,-2.442223430E-1,2.273764610E-1,-1.119008541E0,1.167700614E0
2.461200000E-1,-5.026863813E-1,1.833727360E-1,-7.484273911E-1,9.200340852E-1
2.509458860E-1,-6.894060969E-1,8.346915245E-2,-3.454980850E-1,7.756396023E-1
2.557709380E-1,-7.940371037E-1,2.415418625E-2,7.191658020E-3,7.944369494E-1
2.605968230E-1,-8.247033954E-1,-1.011943817E-2,3.932771683E-1,9.137313743E-1
2.654234900E-1,-8.245146275E-1,-2.955198288E-2,6.000566483E-1,1.020179235E0
2.702493750E-1,-8.474457860E-1,-7.921099663E-2,7.574911118E-1,1.139399634E0
2.750744790E-1,-9.602125883E-1,-1.914101839E-1,9.156236649E-1,1.340527049E0
