"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-8.208820820E-1,-8.131277561E-1,8.077497482E-1,1.409781471E0
4.824896000E-3,-9.068887234E-1,-8.170413971E-1,6.020803452E-1,1.361067428E0
9.650625000E-3,-9.250894785E-1,-8.286597729E-1,3.886833191E-1,1.301361704E0
1.447708300E-2,-8.993936777E-1,-8.785345554E-1,1.275415421E-1,1.263724178E0
1.930276000E-2,-9.340325594E-1,-9.938709736E-1,-1.216564178E-1,1.369305159E0
2.412765600E-2,-9.989902973E-1,-1.127788782E0,-5.115604401E-1,1.591094980E0
2.895338500E-2,-1.127959371E0,-1.244608641E0,-8.686370850E-1,1.890997989E0
3.377984400E-2,-1.220525861E0,-1.250444174E0,-1.106670380E0,2.068335886E0
3.860552100E-2,-1.182120085E0,-1.202095270E0,-1.064011574E0,1.993630247E0
4.343046900E-2,-9.366059303E-1,-1.092295170E0,-7.286868095E-1,1.612862013E0
4.825614600E-2,-6.735764742E-1,-9.513912201E-1,-2.788209915E-1,1.198579019E0
5.308260400E-2,-4.626973867E-1,-8.431706429E-1,-1.114749908E-1,9.682211928E-1
5.790828100E-2,-3.286609650E-1,-7.340486050E-1,7.712936401E-2,8.079568820E-1
6.273322900E-2,-1.968719959E-1,-5.991959572E-1,4.119768143E-1,7.533387507E-1
6.755890600E-2,-3.594183922E-2,-3.636794090E-1,7.525615692E-1,8.366023212E-1
7.238536400E-2,-4.820231199E-1,6.787395477E-2,1.781332970E0,1.846645692E0
7.721109400E-2,-2.635090351E-1,2.212624550E-1,1.829440117E0,1.861516916E0
8.203598900E-2,-1.784529686E-1,5.711379051E-1,3.029577255E0,3.088103352E0
8.686166600E-2,1.651792526E-1,5.846021175E-1,2.931247711E0,2.993535863E0
9.168812500E-2,2.022132874E-1,4.313499928E-1,2.670774460E0,2.712930011E0
9.651385400E-2,4.030249119E-1,2.186801434E-1,2.104981422E0,2.154343722E0
1.013387500E-1,4.231927395E-1,1.356611252E-1,1.459617615E0,1.525771810E0
1.061644270E-1,4.088208675E-1,1.361465454E-1,1.444038391E0,1.506956290E0
1.109909370E-1,4.480290413E-1,3.417265415E-1,2.529304504E0,2.591310156E0
1.158166140E-1,4.682447910E-1,3.749549389E-1,2.758547783E0,2.823017935E0
1.206415100E-1,3.945155144E-1,1.401693821E-1,1.286381721E0,1.352800015E0
1.254672390E-1,1.257531643E-1,8.455801010E-2,6.170120239E-1,6.353485288E-1
1.302936980E-1,-6.074047089E-2,8.708071709E-2,3.800697327E-1,3.946206505E-1
1.351193750E-1,-2.824659348E-1,7.804536819E-2,6.897354126E-2,3.010571926E-1
1.399442710E-1,-4.994723797E-1,1.059956551E-1,-1.679496765E-1,5.375079821E-1
1.447700000E-1,-7.117210627E-1,1.079678535E-1,-3.611478806E-1,8.053767566E-1
1.495964580E-1,-8.484445810E-1,1.087930202E-1,-4.208602905E-1,9.533192081E-1
1.544221350E-1,-9.196494818E-1,1.342623234E-1,-1.954498291E-1,9.497274222E-1
1.592470830E-1,-9.280357361E-1,1.572048664E-1,2.063760757E-1,9.636154742E-1
1.640727600E-1,-8.268489838E-1,1.128604412E-1,3.477087021E-1,9.040564488E-1
1.688992190E-1,-6.716078520E-1,8.142948151E-2,3.584098816E-1,7.656014045E-1
1.737249480E-1,-4.729042053E-1,6.202268600E-2,2.882614136E-1,5.572969079E-1
1.785498440E-1,-2.368366718E-1,9.173321724E-2,1.483736038E-1,2.941450638E-1
1.833755210E-1,-2.327812910E-1,1.458039284E-1,3.044614792E-1,4.100520787E-1
1.882020310E-1,-3.017396927E-1,2.345890999E-1,5.941877365E-1,7.064969598E-1
1.930277080E-1,-2.310359478E-1,3.657565117E-1,8.911914825E-1,9.906450896E-1
1.978526040E-1,-1.807999611E-1,4.902477264E-1,1.080764771E0,1.200451560E0
2.026782810E-1,-5.592191219E-2,5.767078400E-1,1.165086746E0,1.301209560E0
2.075047910E-1,4.294991493E-2,5.638177395E-1,1.254611015E0,1.376148225E0
2.123304690E-1,4.759597778E-2,4.384851456E-1,1.424897194E0,1.491598677E0
2.171553640E-1,-9.478533268E-2,3.546876907E-1,1.439536095E0,1.485614952E0
2.219810940E-1,-2.639827728E-1,3.777563572E-1,1.150237083E0,1.239125546E0
2.268075520E-1,-3.912349939E-1,4.860341549E-1,6.884603500E-1,9.291241434E-1
2.316332290E-1,-4.557694197E-1,6.022357941E-1,2.327642441E-1,7.903119061E-1
2.364581770E-1,-4.983087778E-1,7.141182423E-1,-2.014036179E-1,8.937784509E-1
2.412838540E-1,-4.811406136E-1,7.316570282E-1,-5.751924515E-1,1.047694924E0
2.461103120E-1,-3.365433216E-1,5.917005539E-1,-7.676153183E-1,1.025965024E0
2.509360410E-1,-2.593914270E-1,6.014540195E-1,-8.973236084E-1,1.110954773E0
2.557609370E-1,-1.705840826E-1,5.515606403E-1,-8.687524796E-1,1.043095844E0
2.605866140E-1,-2.777731419E-2,4.424386024E-1,-7.028846741E-1,8.310056325E-1
2.654131250E-1,1.396436691E-1,3.233599663E-1,-5.262479782E-1,6.332447842E-1
2.702388020E-1,3.287949562E-1,1.977858543E-1,-3.454713821E-1,5.163098326E-1
2.750636980E-1,4.496191144E-1,1.869962215E-1,-3.157968521E-1,5.803900298E-1
