"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.444903612E0,-2.680981159E-1,2.393436432E-1,1.488928617E0
4.825781000E-3,-1.090098381E0,-2.066607475E-1,3.281049728E-1,1.157011676E0
9.650781000E-3,-6.250665188E-1,-1.338872910E-1,4.147443771E-1,7.620018753E-1
1.447656300E-2,-7.456493378E-2,-3.548121452E-2,4.946918488E-1,5.015365103E-1
1.930312500E-2,4.920165539E-1,6.814146042E-2,5.250034332E-1,7.227393395E-1
2.412890600E-2,9.069545269E-1,1.577477455E-1,4.189882278E-1,1.011435613E0
2.895390600E-2,1.137814999E0,2.174675465E-1,2.783737183E-1,1.191388699E0
3.377968800E-2,1.268821239E0,3.103194237E-1,2.322416306E-1,1.326703304E0
3.860625000E-2,1.362461090E0,4.212329388E-1,3.310899734E-1,1.464021168E0
4.343203100E-2,1.318015099E0,5.103535652E-1,5.458965302E-1,1.515132860E0
4.825703100E-2,1.146059513E0,5.739192963E-1,7.065782547E-1,1.463587577E0
5.308281300E-2,7.812561989E-1,5.324449539E-1,7.141361237E-1,1.184841458E0
5.790937500E-2,2.465214729E-1,4.617846012E-1,5.605983734E-1,7.669996029E-1
6.273515600E-2,-3.124768734E-1,3.224899769E-1,2.378807068E-1,5.081621909E-1
6.756015600E-2,-6.880393028E-1,1.549170017E-1,1.777362823E-2,7.054879599E-1
7.238588600E-2,-8.330743313E-1,-4.544019699E-3,3.374958038E-2,8.337700665E-1
7.721244800E-2,-8.581054211E-1,-8.197188377E-2,1.907567978E-1,8.828660483E-1
8.203822900E-2,-8.569624424E-1,-9.618210793E-2,4.057455063E-1,9.530294022E-1
8.686322900E-2,-9.012296200E-1,-5.797553062E-2,4.537420273E-1,1.010671963E0
9.168901100E-2,-9.193818569E-1,-3.816151619E-2,2.090749741E-1,9.436268568E-1
9.651557300E-2,-9.828341007E-1,-6.591248512E-2,-1.969242096E-1,1.004532961E0
1.013413540E-1,-1.075570345E0,-1.750397682E-1,-5.059804916E-1,1.201460255E0
1.061663540E-1,-1.765784860E0,-4.288988113E-1,-4.716014862E-1,1.877327442E0
1.109921360E-1,-1.550711751E0,-5.162123442E-1,-3.818359375E-1,1.678386369E0
1.158186980E-1,-8.594188690E-1,-4.631439447E-1,-3.280353546E-2,9.768209549E-1
1.206444790E-1,-2.887420654E-1,-3.609250784E-1,8.188438416E-2,4.694080793E-1
1.254694790E-1,-7.022714615E-2,-2.423610687E-1,-3.113842010E-2,2.542446477E-1
1.302952610E-1,-7.672309875E-3,-8.721327782E-2,-1.578235626E-1,1.804807388E-1
1.351218230E-1,-6.336927414E-3,6.838679314E-2,-1.621274948E-1,1.760745146E-1
1.399476040E-1,-1.228094101E-3,1.471941471E-1,-2.036561966E-1,2.512836476E-1
1.447726040E-1,-8.691692352E-2,1.414754391E-1,-3.445100784E-1,3.824356751E-1
1.495983860E-1,-3.030302525E-1,5.114674568E-2,-4.908533096E-1,5.791202769E-1
1.544249480E-1,-4.922115803E-1,-4.394793510E-2,-7.617244720E-1,9.079800835E-1
1.592507290E-1,-6.296758652E-1,-1.739113331E-1,-1.018129349E0,1.209679386E0
1.640757290E-1,-7.346736193E-1,-2.674640417E-1,-1.262602806E0,1.485075145E0
1.689014580E-1,-7.548748255E-1,-3.065932989E-1,-1.281858444E0,1.518880023E0
1.737280730E-1,-6.708592176E-1,-2.667123079E-1,-1.129627228E0,1.340613747E0
1.785538020E-1,-5.400798321E-1,-2.011253834E-1,-8.516092300E-1,1.028287861E0
1.833788020E-1,-4.113891125E-1,-9.847521782E-2,-5.302495956E-1,6.783089297E-1
1.882045830E-1,-2.527670860E-1,-3.662562370E-2,-2.911643982E-1,3.873103960E-1
1.930311460E-1,-8.281874657E-2,1.935720444E-3,-1.964807510E-1,2.132308076E-1
1.978569270E-1,7.056093216E-2,-2.219057083E-2,-1.003036499E-1,1.246278009E-1
2.026819270E-1,1.703844070E-1,-9.143519402E-2,-1.321105957E-1,2.341889202E-1
2.075077080E-1,2.454402447E-1,-1.648828983E-1,-2.850217819E-1,4.106880812E-1
2.123342710E-1,2.434701920E-1,-2.281584740E-1,-4.722385406E-1,5.782242324E-1
2.171600520E-1,2.121155262E-1,-2.598879337E-1,-6.084985733E-1,6.948418872E-1
2.219850520E-1,1.985161304E-1,-2.556128502E-1,-6.805677414E-1,7.536040299E-1
2.268108330E-1,1.838706732E-1,-1.989715099E-1,-6.590843201E-1,7.125940129E-1
2.316373960E-1,2.444064617E-1,-1.138644218E-1,-5.905761719E-1,6.492147872E-1
2.364631770E-1,2.906653881E-1,2.306461334E-2,-3.534736633E-1,4.582160788E-1
2.412881770E-1,3.526395559E-1,1.353969574E-1,-7.778739929E-2,3.856654923E-1
2.461139580E-1,3.040486574E-1,1.262507439E-1,2.335653305E-1,4.036552985E-1
