"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.937661171E-1,-1.135453582E0,1.112709522E0,1.601537582E0
4.824792000E-3,-6.867074966E-1,-1.422643065E0,7.504372597E-1,1.748895811E0
9.650313000E-3,-1.251961231E0,-1.607775211E0,4.682846069E-1,2.090846366E0
1.447666700E-2,-1.810441017E0,-1.666016340E0,3.441524506E-1,2.484300310E0
1.930224000E-2,-2.267536640E0,-1.622611761E0,4.347987175E-1,2.821992428E0
2.412697900E-2,-2.652214050E0,-1.499043226E0,7.431926727E-1,3.135873931E0
2.895255200E-2,-2.940495491E0,-1.309156179E0,1.202431679E0,3.436021766E0
3.377890700E-2,-3.124363661E0,-1.075237155E0,1.852093697E0,3.787879920E0
3.860442700E-2,-3.334604740E0,-8.420082331E-1,2.549208641E0,4.281008215E0
4.342921900E-2,-4.243956566E0,-1.124307871E0,3.164041042E0,5.411690239E0
4.825474000E-2,-3.574497461E0,-9.928972721E-1,3.215427399E0,4.909363548E0
5.308109400E-2,-2.128486633E0,-7.270263433E-1,2.897955894E0,3.668401698E0
5.790666700E-2,-1.072039604E0,-8.334506750E-1,2.146023750E0,2.539552496E0
6.273140700E-2,-6.284055710E-1,-4.872925282E-1,1.387904167E0,1.599570426E0
6.755697900E-2,-2.182841301E-1,-1.293420792E-1,1.084244728E0,1.113536692E0
7.238328200E-2,2.009477615E-1,2.212275267E-1,1.183511734E0,1.220664428E0
7.720885400E-2,3.981781006E-1,4.433013201E-1,1.170074463E0,1.313063635E0
8.203364600E-2,3.359851837E-1,5.168088675E-1,1.284607887E0,1.424849070E0
8.685916700E-2,-1.554031372E-1,4.350845814E-1,4.144887924E-1,6.206848532E-1
9.168552100E-2,-7.117652893E-1,2.739834785E-1,-1.145172119E0,1.375898236E0
9.651104200E-2,-7.035856247E-1,2.371897697E-1,-8.541674614E-1,1.131765775E0
1.013358340E-1,-8.046698570E-1,9.492945671E-2,-3.219957352E-1,8.718867094E-1
1.061614070E-1,-1.002884388E0,-1.833698750E-1,-1.535234451E-1,1.031004876E0
1.109877090E-1,-1.159578323E0,-4.492671490E-1,1.987371445E-1,1.259348765E0
1.158132820E-1,-1.256930351E0,-7.002154589E-1,4.907255173E-1,1.520193123E0
1.206380210E-1,-1.230750084E0,-9.124207497E-1,6.360921860E-1,1.658876325E0
1.254635940E-1,-1.146891594E0,-1.062274456E0,7.397174835E-1,1.729441905E0
1.302899480E-1,-1.031896591E0,-1.135884047E0,7.635011673E-1,1.714052851E0
1.351154690E-1,-9.072852135E-1,-1.164239526E0,7.662239075E-1,1.663045161E0
1.399402610E-1,-7.376394272E-1,-1.198797822E0,7.793693542E-1,1.608926578E0
1.447658340E-1,-6.538262367E-1,-1.228899360E0,8.378353119E-1,1.624700094E0
1.495921360E-1,-6.581587791E-1,-1.311775446E0,9.697532654E-1,1.759076233E0
1.544177090E-1,-6.309151649E-1,-1.327296257E0,1.134328842E0,1.856467404E0
1.592424480E-1,-5.754442215E-1,-1.455518961E0,1.868456841E0,2.437376143E0
1.640680210E-1,-8.279862404E-1,-1.743287325E0,2.855532646E0,3.446545895E0
1.688943750E-1,-1.362535000E0,-1.632854223E0,2.415503502E0,3.218287077E0
1.737198960E-1,-1.872972488E0,-1.186855078E0,6.676044464E-1,2.315674117E0
1.785446880E-1,-1.998812199E0,-7.669062614E-1,-1.348308086E0,2.530085002E0
