"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-2.911999822E-1,-3.854999840E-1,-1.314000040E-1,5.006731752E-1
1.001093800E-2,-4.961999953E-1,-1.363999993E-1,4.614999890E-1,6.912319690E-1
1.999062500E-2,4.294999838E-1,-3.974999785E-1,1.024899960E0,1.180210319E0
3.000156300E-2,3.554999828E-1,-3.658999801E-1,2.181299925E0,2.240163475E0
4.001250000E-2,1.742499948E0,1.397999972E-1,1.856299996E0,2.549843090E0
4.999531300E-2,3.177500010E0,2.062999904E-1,1.802099943E0,3.658774413E0
6.000312500E-2,3.202699900E0,1.189999934E-2,2.637399912E0,4.148892208E0
6.998437500E-2,3.068599939E0,-1.180999950E-1,3.011600018E0,4.301161223E0
7.999375000E-2,2.508499861E0,-4.247999787E-1,2.154899836E0,3.334159545E0
9.000625000E-2,2.154899836E0,-1.392899990E0,5.880999565E-1,2.632418136E0
9.998593800E-2,1.315999985E0,-1.948499918E0,-9.125999808E-1,2.522171012E0
1.099953130E-1,3.387999833E-1,-1.661799908E0,-9.592999816E-1,1.948491934E0
1.200078130E-1,-8.669999987E-2,-7.220000029E-1,2.549999952E-1,7.706009938E-1
1.299875000E-1,1.926999986E-1,-4.559999704E-2,2.655999899E0,2.663371569E0
1.399984380E-1,6.861000061E-1,-7.129999995E-1,1.691999912E0,1.960093345E0
1.500093750E-1,2.661299944E0,-1.931399941E0,1.859200001E0,3.777492259E0
1.599890630E-1,4.591099739E0,-2.868999958E0,1.142400026E0,5.533031302E0
1.700015630E-1,5.590099812E0,-3.125599861E0,1.049899936E0,6.490060113E0
1.800109380E-1,4.429100037E0,-1.667899966E0,1.372099996E0,4.927623751E0
1.899906250E-1,3.283099890E0,-2.739999890E-1,1.592799902E0,3.659348632E0
2.000031250E-1,2.024699926E0,-3.599999845E-2,1.186200023E0,2.346865204E0
2.100140630E-1,5.392000079E-1,-6.183999777E-1,1.152999997E-1,8.285223418E-1
2.199937500E-1,-1.297899961E0,-8.885999918E-1,-1.648999929E0,2.278893377E0
2.300046880E-1,-3.740199804E0,-9.318999648E-1,-1.220499992E0,4.043161183E0
2.399843750E-1,-4.325900078E0,-7.221999764E-1,-8.851000071E-1,4.474191135E0
2.499953130E-1,-4.852799892E0,-1.342899919E0,-3.421999812E-1,5.046795797E0
2.600078130E-1,-2.212899923E0,7.491999865E-1,8.236999512E-1,2.477238039E0
2.699875000E-1,1.274999976E0,1.446499944E0,1.639999896E-1,1.935170024E0
2.799968750E-1,3.733599901E0,6.309999526E-2,-7.121999860E-1,3.801444285E0
2.900093750E-1,4.486899853E0,-1.068799973E0,-9.570999742E-1,4.710694644E0
2.999890630E-1,2.454200029E0,-1.661299944E0,-3.154000044E-1,2.980351062E0
3.100000000E-1,5.095999837E-1,-2.076799870E0,5.728999972E-1,2.213821187E0
3.200109380E-1,-6.329999864E-2,-1.726899981E0,5.990999937E-1,1.828964526E0
3.299906250E-1,9.158999920E-1,-1.407199979E0,4.205999970E-1,1.730892525E0
3.400015630E-1,2.786299944E0,-1.540799975E0,4.327999949E-1,3.213230116E0
3.500125000E-1,3.148000002E0,-7.655999660E-1,-4.687999785E-1,3.273502824E0
3.599921880E-1,2.150500059E0,-3.518999815E-1,-5.180000067E-1,2.239823231E0
3.700031250E-1,1.721199989E0,-8.982999921E-1,-9.146999717E-1,2.146193914E0
