"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,5.978999734E-1,-1.176999927E0,-7.705000043E-1,1.528556005E0
9.979688000E-3,9.549999833E-1,-8.032999635E-1,-1.485000014E0,1.939727002E0
1.999062500E-2,1.815799952E0,-8.452000022E-1,-1.784299970E0,2.682390518E0
3.000156300E-2,2.169199944E0,-1.641899943E0,-1.508399963E0,3.110712823E0
3.998125000E-2,2.152499914E0,-1.826099992E0,-8.208999634E-1,2.939689407E0
4.999531300E-2,1.680099964E0,-2.038899899E0,-7.189999521E-2,2.642918518E0
5.997187500E-2,1.742299914E0,-2.280099869E0,2.263999879E-1,2.878492897E0
6.998281300E-2,2.069000006E0,-2.331799984E0,6.800999641E-1,3.190703394E0
7.999375000E-2,2.246199846E0,-2.242699862E0,1.552999973E0,3.533684385E0
8.997343800E-2,1.699199915E0,-1.859099984E0,2.136800051E0,3.302945285E0
9.998437500E-2,1.150099993E0,-1.234099984E0,2.835000038E0,3.298932855E0
1.099953130E-1,8.450999856E-1,-6.378999949E-1,3.091499805E0,3.267794583E0
1.199765630E-1,1.127900004E0,-7.257999778E-1,3.335199833E0,3.594788165E0
1.299859380E-1,1.707399964E0,-1.280399919E0,3.079099894E0,3.746397569E0
1.399984380E-1,2.911199808E0,-2.320699930E0,2.746500015E0,4.626445160E0
1.499781250E-1,3.408299923E0,-2.802799940E0,2.276900053E0,4.965528141E0
1.599890630E-1,3.724499941E0,-3.142400026E0,2.457499981E0,5.457644537E0
1.700000000E-1,3.673499823E0,-3.075699806E0,2.661499977E0,5.480703638E0
1.799796880E-1,3.928499937E0,-3.128999949E0,3.069000006E0,5.885789112E0
1.899906250E-1,4.025399685E0,-3.081399918E0,2.685099840E0,5.736604329E0
2.000015630E-1,3.898599863E0,-3.097699881E0,2.514999866E0,5.578534733E0
2.099828130E-1,3.337299824E0,-2.806499958E0,2.711499929E0,5.134807104E0
2.199937500E-1,2.667099953E0,-3.759999990E0,3.312500000E0,5.676590379E0
2.299734380E-1,4.774300098E0,-2.833899975E0,3.125599861E0,6.371366022E0
2.399843750E-1,5.876100063E0,-1.751299977E0,2.394500017E0,6.582494504E0
2.499953130E-1,5.819799900E0,-1.791599989E0,1.158200026E0,6.198494067E0
2.599750000E-1,5.574399948E0,-2.376699924E0,4.547999799E-1,6.076963085E0
2.699859380E-1,5.022299767E0,-2.715299845E0,-3.648999929E-1,5.720970215E0
2.799968750E-1,4.427400112E0,-2.594599962E0,-6.801999807E-1,5.176532887E0
2.899765630E-1,3.622099876E0,-4.555900097E0,2.674000025E0,6.405162710E0
2.999890630E-1,2.554399967E0,-2.817399979E0,-2.214200020E0,4.400611726E0
3.100000000E-1,4.048500061E0,-2.180999994E0,-1.365000010E0,4.796909291E0
3.199796880E-1,4.540400028E0,-2.161499977E0,9.689999819E-1,5.121159589E0
3.299906250E-1,3.148099899E0,-2.502599955E0,5.162999630E-1,4.054639954E0
3.400015630E-1,1.998299956E0,-2.796399832E0,1.708799958E0,3.838365802E0
3.499812500E-1,1.157500029E0,-2.891000032E0,2.712699890E0,4.129942881E0
3.599921880E-1,1.118899941E0,-2.551399946E0,3.493499994E0,4.468346559E0
3.699718750E-1,9.903999567E-1,-2.168099880E0,3.345499992E0,4.107787648E0
3.799828130E-1,4.156000018E-1,-1.637399912E0,2.728699923E0,3.209299783E0
3.899937500E-1,-4.649999738E-1,-9.605000019E-1,1.881799936E0,2.163320649E0
