"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,4.856999815E-1,-1.000800014E0,-5.827999711E-1,1.255850686E0
1.001093700E-2,2.251999974E-1,-8.071999550E-1,-1.726999998E0,1.919587403E0
2.002187500E-2,2.049999982E-1,-3.651999831E-1,-2.778800011E0,2.810182472E0
3.000156200E-2,2.556000054E-1,7.037999630E-1,2.653999925E-1,7.944198554E-1
4.001250000E-2,-2.709999979E-1,-5.586000085E-1,4.781999886E-1,7.836773554E-1
5.002656200E-2,-6.209999695E-2,-1.638799906E0,2.405999899E-1,1.657531265E0
6.000312500E-2,1.884000003E-1,-1.933099985E0,1.315999925E-1,1.946712272E0
7.001562500E-2,8.029999733E-1,-2.098399878E0,-6.387999654E-1,2.335841690E0
8.002656200E-2,7.509999871E-1,-2.016700029E0,5.849999785E-1,2.230090797E0
9.000468700E-2,1.296800017E0,-2.180500031E0,1.644199967E0,3.023187755E0
1.000171870E-1,1.996699929E0,-2.514099836E0,2.354300022E0,3.981235636E0
1.099968750E-1,2.353199959E0,-2.077100039E0,2.740299940E0,4.166669939E0
1.200078120E-1,2.501799822E0,-1.919899940E0,2.498299837E0,4.023247470E0
1.300187500E-1,2.146600008E0,-1.868399978E0,1.717899919E0,3.324152554E0
1.399984370E-1,1.995099902E0,-1.906499982E0,1.060400009E0,2.956283812E0
1.500093750E-1,2.153899908E0,-1.607899904E0,2.383999974E-1,2.698418328E0
1.600218750E-1,1.757999897E0,-9.811999798E-1,-8.790999651E-1,2.196846328E0
1.700000000E-1,1.059999943E0,-8.928999901E-1,-6.061999798E-1,1.512728887E0
1.800109370E-1,9.573999643E-1,-1.156599998E0,2.908000052E-1,1.529347211E0
1.900234370E-1,1.403499961E0,-1.391399980E0,1.012899995E0,2.220759429E0
2.000031250E-1,2.440000057E0,-1.120800018E0,1.276899934E0,2.973258549E0
2.100140620E-1,2.255899906E0,-6.660999656E-1,1.205600023E0,2.643150576E0
2.200250000E-1,1.965599895E0,-5.228999853E-1,1.129999995E0,2.326780464E0
2.300046870E-1,2.525599957E0,3.419999778E-2,9.878999591E-1,2.712152486E0
2.400171870E-1,2.593699932E0,2.551999986E-1,9.968999624E-1,2.790379170E0
2.499953120E-1,1.721499920E0,4.983999729E-1,1.200399995E0,2.157063897E0
2.600062500E-1,1.168799996E0,6.554999948E-1,1.276099920E0,1.850460667E0
2.700171870E-1,1.160899997E0,5.419999957E-1,1.114699960E0,1.698236968E0
2.799968750E-1,1.369799972E0,3.489999771E-1,6.836000085E-1,1.570178945E0
2.900093750E-1,1.397400022E0,1.045999974E-1,2.806999981E-1,1.429146762E0
3.000203120E-1,2.063600063E0,8.394999504E-1,1.776199937E0,2.849226492E0
3.100000000E-1,1.101099968E0,2.260999978E-1,6.717000008E-1,1.309474413E0
3.200109370E-1,3.799999952E-1,8.359999955E-2,-1.427899957E0,1.479961906E0
3.300218750E-1,9.452999830E-1,-2.737999856E-1,-2.062900066E0,2.285632336E0
3.400015620E-1,1.961499929E0,-6.805999875E-1,-1.689899921E0,2.677024479E0
3.500125000E-1,2.476699829E0,-8.633999825E-1,-1.020699978E0,2.814485747E0
3.600234370E-1,2.768499851E0,-1.044099927E0,-6.507999897E-1,3.029567083E0
3.700031250E-1,3.399299860E0,-1.098099947E0,-1.069299936E0,3.728869183E0
3.800140620E-1,5.132699966E0,-1.024500012E0,-2.605399847E0,5.846564597E0
3.900265620E-1,3.689800024E0,-2.237699986E0,-3.138799906E0,5.336102538E0
4.000062500E-1,1.520099998E0,-2.196099997E0,-1.682699919E0,3.156744876E0
4.100171870E-1,-3.227999806E-1,-1.263599992E0,-7.978999615E-1,1.528898007E0
4.199968750E-1,-8.199999928E-1,-1.259199977E0,6.379999965E-2,1.504012969E0
4.300078120E-1,-6.899999920E-3,-1.479900002E0,1.048099995E0,1.813467735E0
4.400187500E-1,1.162199974E0,-1.604099989E0,1.805199981E0,2.680035919E0
4.499984370E-1,1.939499974E0,-1.500699997E0,2.008300066E0,3.169705000E0
4.600093750E-1,2.549599886E0,-1.718199968E0,1.628700018E0,3.479272116E0
4.700203120E-1,2.699800014E0,-1.613099933E0,3.816999793E-1,3.168076133E0
4.800000000E-1,2.378900051E0,-1.236500025E0,-9.954999685E-1,2.859915725E0
4.900125000E-1,1.831200004E0,-8.675999641E-1,-1.825399995E0,2.727289550E0
5.000234370E-1,1.710399985E0,-4.179999828E-1,-2.891399860E0,3.385319076E0
5.100031250E-1,1.731299996E0,4.069999754E-1,-4.159399986E0,4.523677365E0
5.200140620E-1,1.507300019E0,-5.996999741E-1,-3.826999903E0,4.156623830E0
5.300250000E-1,9.474999905E-1,-2.497599840E0,-2.695699930E0,3.795070396E0
5.400046870E-1,7.328000069E-1,-3.424099922E0,-7.646999955E-1,3.584162693E0
5.500156250E-1,7.317000031E-1,-3.491499901E0,1.500599980E0,3.870110690E0
5.599953120E-1,7.947999835E-1,-3.360800028E0,2.747299910E0,4.412974126E0
5.700078120E-1,4.388999939E-1,-2.876199961E0,3.324499846E0,4.417856793E0
5.800187500E-1,-2.805999815E-1,-2.399699926E0,3.475399971E0,4.232694301E0
5.899968750E-1,-9.887999892E-1,-1.722000003E0,3.330499887E0,3.877530004E0
6.000078120E-1,-1.543699980E0,-1.247200012E0,3.514699936E0,4.036289526E0
6.100203120E-1,-1.744499922E0,-1.301199913E0,3.789399862E0,4.369891590E0
6.200000000E-1,-2.097599983E0,-1.720600009E0,3.915899992E0,4.763891563E0
6.300109370E-1,-2.534499884E0,-1.817799926E0,3.727399826E0,4.860205314E0
6.400218750E-1,-2.756099939E0,-1.712000012E0,3.369699955E0,4.677810247E0
6.500015620E-1,-2.496399879E0,-1.496899962E0,2.850499868E0,4.074073067E0
6.600125000E-1,-2.194399834E0,-1.533100009E0,2.264799833E0,3.506437587E0
6.700234370E-1,-1.632200003E0,-1.469599962E0,1.638899922E0,2.740400309E0
6.800031250E-1,-9.775999784E-1,-1.308699965E0,1.170300007E0,2.009477401E0
6.900156250E-1,-4.747999907E-1,-1.156799912E0,1.050799966E0,1.633340637E0
7.000265620E-1,-3.524000049E-1,-1.160699964E0,1.147400022E0,1.669711645E0
7.100062500E-1,-4.358299732E0,-7.774999738E-1,-2.773799896E0,5.224294080E0
7.200171870E-1,-2.531999826E0,-1.409199953E0,-2.558899879E0,3.865855173E0
7.299984370E-1,-1.407599926E0,-2.264400005E0,-3.136199951E0,4.116381308E0
7.400078120E-1,5.253999829E-1,-2.086199999E0,-2.817299843E0,3.544778411E0
7.500187500E-1,9.396999478E-1,-1.665899992E0,1.638799906E0,2.518714733E0
7.599984370E-1,6.620000005E-1,-1.293099999E0,3.186100006E0,3.501654589E0
7.700093750E-1,7.346999645E-1,-9.150999784E-1,2.396699905E0,2.668588100E0
7.800218750E-1,1.623600006E0,-1.097999930E0,1.431100011E0,2.426876195E0
7.900000000E-1,1.421800017E0,-9.381999969E-1,1.498999953E0,2.269082498E0
8.000125000E-1,5.566999912E-1,-6.660999656E-1,1.185299993E0,1.469197099E0
8.100234370E-1,-8.159999549E-2,-6.854999661E-1,1.050699949E0,1.257194952E0
8.200031250E-1,-4.810999930E-1,-6.577000022E-1,1.110700011E0,1.377563433E0
8.300140620E-1,-6.150000095E-1,-7.253999710E-1,4.958999753E-1,1.072542267E0
8.400250000E-1,-7.349999994E-2,-1.122399926E0,2.908999920E-1,1.161811796E0
8.500046870E-1,2.573299885E0,-1.610700011E0,-5.160999894E-1,3.079380786E0
8.600156250E-1,-8.004999757E-1,-7.375999689E-1,7.779999971E-1,1.337960358E0
8.699953120E-1,-5.889999866E-2,-3.974999785E-1,-4.554999769E-1,6.074172139E-1
8.800062500E-1,-6.830999851E-1,1.406999975E-1,-1.041499972E0,1.253452939E0
8.900187500E-1,-1.664000005E-1,5.647999644E-1,-1.754299998E0,1.850474654E0
8.999984370E-1,3.170999885E-1,1.277400017E0,-1.235000014E0,1.804862388E0
9.100093750E-1,8.542000055E-1,1.977399945E0,-1.457000017E0,2.600503267E0
9.200203120E-1,1.261099935E0,2.435899973E0,-2.302199841E0,3.581076071E0
9.300000000E-1,7.091999650E-1,1.311200023E0,-2.236799955E0,2.688026066E0
9.400109370E-1,-1.693999916E-1,4.986999929E-1,-1.720499992E0,1.799310497E0
9.500218750E-1,-3.635999858E-1,3.604999781E-1,-7.001999617E-1,8.674359747E-1
9.600015620E-1,-4.138000011E-1,5.155999660E-1,-7.572000027E-1,1.005199289E0
9.700125000E-1,-3.601000011E-1,4.163999856E-1,-1.218599916E0,1.337178639E0
9.800234370E-1,-8.382999897E-1,1.901699901E0,-2.217700005E0,3.039309575E0
9.900031250E-1,-4.904999733E-1,1.072000027E0,-3.100999832E0,3.317525319E0
1.000015625E0,-4.202999771E-1,5.159000158E-1,-2.924000025E0,2.998763252E0
1.009995312E0,-1.597999930E-1,3.149999976E-1,-2.759999990E0,2.782509835E0
1.020006250E0,2.186999917E-1,-2.998999953E-1,-2.167399883E0,2.198952466E0
1.030017187E0,4.623000026E-1,-9.361999631E-1,-1.629299998E0,1.935151195E0
1.039996875E0,9.163999557E-1,-1.233799934E0,-1.256999969E0,1.985472256E0
1.050007812E0,9.009000063E-1,-1.571399927E0,-1.082700014E0,2.110250666E0
1.060018750E0,1.118499994E0,-1.856999993E0,-9.034000039E-1,2.348536306E0
1.070000000E0,1.136799932E0,-1.940999985E0,-7.770000100E-1,2.379815968E0
1.080009375E0,1.259299994E0,-2.071599960E0,-8.021999598E-1,2.553602875E0
1.090020312E0,1.256699920E0,-2.103800058E0,-8.404999971E-1,2.590696744E0
1.100001562E0,1.568199992E0,-2.007900000E0,-1.078299999E0,2.766522097E0
1.110012500E0,1.801099896E0,-1.903199911E0,-1.168799996E0,2.869185280E0
1.120023437E0,1.941999912E0,-2.179699898E0,-1.099499941E0,3.119512049E0
1.130003125E0,1.924499989E0,-2.368299961E0,-7.332999706E-1,3.138514578E0
1.140014062E0,2.232899904E0,-2.595999956E0,-2.714000046E-1,3.434925868E0
