"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-8.909999579E-2,-6.804999709E-1,-5.533999801E-1,8.816294900E-1
9.979688000E-3,-5.824999809E-1,-5.871999860E-1,1.180000007E-1,8.354843215E-1
1.999062500E-2,-6.552999616E-1,-3.053999841E-1,7.968999743E-1,1.075981765E0
3.000156300E-2,1.809999906E-2,-1.238999963E-1,1.340899944E0,1.346733634E0
3.998125000E-2,7.615000010E-1,4.219999909E-2,1.800699949E0,1.955551942E0
4.999375000E-2,1.415300012E0,-4.038999975E-1,1.962399960E0,2.453002840E0
6.000312500E-2,2.232899904E0,-2.918999791E-1,1.867599964E0,2.925572971E0
6.998281300E-2,3.073099852E0,-7.773000002E-1,4.478899956E0,5.487137943E0
7.999375000E-2,2.591899872E0,-1.540199995E0,5.520099640E0,6.289806118E0
9.000468800E-2,1.700299978E0,-2.037999868E0,3.625299931E0,4.493023822E0
9.998437500E-2,2.146499872E0,-1.668299913E0,2.486500025E0,3.684205298E0
1.099968750E-1,2.402299881E0,-1.454399943E0,2.116999865E0,3.516818497E0
1.200078130E-1,2.256599903E0,-1.142400026E0,2.180299997E0,3.339315652E0
1.299875000E-1,1.507099986E0,1.070400000E0,7.791999578E-1,2.006055608E0
1.399984380E-1,1.044899940E0,1.600299954E0,-2.824999988E-1,1.931989151E0
1.500093750E-1,1.189299941E0,-2.716000080E-1,-7.329999655E-2,1.222118572E0
1.599890630E-1,7.418000102E-1,-2.151799917E0,-8.916999698E-1,2.444512012E0
1.700000000E-1,1.078999937E-1,-3.023900032E0,-2.147799969E0,3.710614305E0
1.799796880E-1,-6.250999570E-1,-2.394000053E0,-2.653399944E0,3.628018395E0
1.899906250E-1,-7.354999781E-1,-1.853599906E0,-1.910599947E0,2.761735865E0
2.000015630E-1,-6.451999545E-1,-1.588599920E0,-1.674899936E0,2.396919373E0
2.099828130E-1,-5.934000015E-1,-1.196900010E0,-1.703299999E0,2.164699537E0
2.199937500E-1,-4.199999943E-2,-9.291999936E-1,-1.645499945E0,1.890197528E0
2.300046880E-1,2.375999987E-1,-1.050699949E0,-6.503999829E-1,1.258349824E0
2.399843750E-1,4.745999873E-1,-1.202899933E0,1.620000042E-2,1.293242373E0
2.499953130E-1,1.019500017E0,-1.291100025E0,1.067299962E0,1.960981583E0
2.600062500E-1,1.650599957E0,-1.527999997E0,2.121199846E0,3.091723305E0
2.699859380E-1,1.796199918E0,-1.920799971E0,2.554699898E0,3.666373991E0
2.799984380E-1,1.353199959E0,-2.151399851E0,2.239199877E0,3.387283209E0
2.900093750E-1,1.163200021E0,-2.078500032E0,1.818799973E0,2.996870036E0
2.999875000E-1,1.037500024E0,-1.734399915E0,1.342299938E0,2.426173631E0
3.100000000E-1,7.911999822E-1,-1.261699915E0,1.125699997E0,1.866838121E0
3.199796880E-1,3.709000051E-1,-4.917999804E-1,1.196499944E0,1.345751147E0
3.299890630E-1,3.771999776E-1,8.139999956E-2,1.678599954E0,1.722383113E0
3.400015630E-1,1.273999929E0,-1.093299985E0,2.101999998E0,2.690127259E0
3.499812500E-1,6.504999995E-1,-1.362900019E0,1.670099974E0,2.251639543E0
3.599921880E-1,2.879999951E-2,-8.075000048E-1,6.129999757E-1,1.014226142E0
3.700031250E-1,-2.173999995E-1,-2.698999941E-1,-7.079999894E-2,3.537250436E-1
3.799828130E-1,5.159999803E-2,3.053999841E-1,-5.924999714E-1,6.685715565E-1
3.899937500E-1,1.150099993E0,5.511999726E-1,-1.002900004E0,1.622454875E0
4.000062500E-1,1.204199910E0,2.373999953E-1,-1.468299985E0,1.913729612E0
4.099859380E-1,1.196499944E0,-1.588199973E0,-2.922799826E0,3.535074269E0
4.199968750E-1,3.136899948E0,-1.930299997E0,-3.410199881E0,5.019528124E0
