"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-4.546999931E-1,-4.341999888E-1,7.249000072E-1,9.595633041E-1
1.001093700E-2,-4.535999894E-1,-3.091999888E-1,1.276099920E0,1.389168309E0
1.999062500E-2,-4.203999937E-1,1.090000011E-2,1.811699986E0,1.859868760E0
3.000156200E-2,-3.118000031E-1,2.201999873E-1,2.050199986E0,2.085432151E0
4.001250000E-2,-6.157999635E-1,3.410999775E-1,2.283799887E0,2.389832779E0
4.999218700E-2,-6.732999682E-1,9.704999924E-1,1.843699932E0,2.189619264E0
6.000312500E-2,-4.436999857E-1,1.612199903E0,1.238399982E0,2.080791369E0
6.998281200E-2,3.709999844E-2,1.673799992E0,8.711999655E-1,1.887318786E0
7.999375000E-2,-4.609999955E-1,9.795999527E-1,9.109999537E-1,1.414940981E0
9.000625000E-2,-4.351999760E-1,-1.525200009E0,7.620999813E-1,1.759667716E0
9.998593700E-2,9.364999533E-1,-2.450399876E0,9.966999888E-1,2.806225682E0
1.099953120E-1,1.635999918E0,-1.918199897E0,1.304999948E0,2.838839805E0
1.200078120E-1,1.923799992E0,-1.603199959E0,2.507599831E0,3.543912164E0
1.299875000E-1,2.738299847E0,-1.425699949E0,2.241699934E0,3.815249008E0
1.399984370E-1,2.885900021E0,-1.260900021E0,2.955999851E0,4.319285000E0
1.500093750E-1,2.541899920E0,-1.190999985E0,3.299199820E0,4.331795888E0
1.599890620E-1,2.282199860E0,-1.241400003E0,2.784899950E0,3.808566384E0
1.700000000E-1,1.735899925E0,-1.060599923E0,1.858599901E0,2.755469895E0
1.800109370E-1,8.082000017E-1,-8.964999914E-1,9.218999743E-1,1.518815012E0
1.899906250E-1,-4.740999937E-1,-5.230000019E-1,1.317999959E-1,7.181023917E-1
2.000031250E-1,-1.979200006E0,-5.339999869E-2,-3.595999777E-1,2.012311200E0
2.100125000E-1,-3.780499935E0,2.917000055E-1,-1.816999912E-1,3.796087926E0
2.199937500E-1,-5.210199833E0,-3.350000083E-2,1.057999954E-1,5.211381601E0
2.300046870E-1,-4.607599735E0,-3.310999870E-1,5.169000030E-1,4.648310245E0
2.399843750E-1,-2.897500038E0,-6.646999717E-1,4.893999994E-1,3.012780258E0
2.499953120E-1,-8.356999755E-1,-6.839999557E-1,-1.049999986E-2,1.079981777E0
2.600062500E-1,1.183200002E0,-5.070999861E-1,-4.056999981E-1,1.349705571E0
2.699859370E-1,3.040999889E0,-5.457999706E-1,-1.111699939E0,3.283512553E0
2.799968750E-1,2.423799992E0,-9.319999814E-1,-6.739000082E-1,2.682829027E0
2.900093750E-1,-1.537999958E-1,-1.128199935E0,-5.583999753E-1,1.268187709E0
2.999875000E-1,-1.791399956E0,-1.072899938E0,-2.157000005E-1,2.099227136E0
3.100000000E-1,-1.206200004E0,-1.341499925E0,2.590000033E-1,1.822531618E0
3.200109370E-1,1.307999939E-1,-1.443099976E0,6.250999570E-1,1.578098899E0
3.299906250E-1,5.304999948E-1,-9.860999584E-1,1.853999943E-1,1.134987458E0
3.400015620E-1,1.486999989E-1,-7.076999545E-1,-3.146999776E-1,7.886615188E-1
3.500125000E-1,-1.466999948E-1,-9.420999885E-1,4.298000038E-1,1.045849569E0
3.599921870E-1,-3.977999985E-1,-1.334999919E0,1.280900002E0,1.892399122E0
3.700046870E-1,-8.380999565E-1,-1.451399922E0,1.074699998E0,1.990967945E0
3.799828120E-1,-1.067600012E0,-1.390100002E0,3.513999879E-1,1.787632444E0
3.899937500E-1,-9.081999660E-1,-1.132300019E0,-8.628000021E-1,1.688595379E0
4.000046870E-1,-5.020999908E-1,-9.462999701E-1,-9.751999974E-1,1.448655608E0
4.099843750E-1,2.199999988E-3,-8.050000072E-1,-4.948000014E-1,9.449110502E-1
4.199968750E-1,9.332999587E-1,-5.518000126E-1,3.328999877E-1,1.134175678E0
4.300078120E-1,1.116500020E0,-2.157999873E-1,1.144500017E0,1.613388428E0
4.399875000E-1,5.329999924E-1,-3.720999956E-1,1.863099933E0,1.973243208E0
4.499984370E-1,1.334999949E-1,-6.302999854E-1,2.030099869E0,2.129883987E0
4.600093750E-1,-1.537999958E-1,-7.148999572E-1,1.910299897E0,2.045478449E0
4.699890620E-1,-8.276000023E-1,-6.644999981E-1,1.922599912E0,2.196103921E0
4.800015620E-1,-1.045099974E0,-8.503999710E-1,2.110599995E0,2.504006071E0
4.900125000E-1,-7.930999994E-1,-1.066200018E0,1.849099994E0,2.277050916E0
