"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-8.242999911E-1,-9.411000013E-1,1.166999936E-1,1.256486600E0
9.993750000E-3,-5.749999732E-2,-1.675999999E0,2.007499933E0,2.615786350E0
1.999375000E-2,-2.330999970E-1,-1.992899895E0,2.959599972E0,3.575642263E0
2.999375000E-2,1.610299945E0,-2.284199953E0,3.480799913E0,4.463922420E0
3.999687500E-2,2.158299923E0,-2.001600027E0,3.812299967E0,4.816460553E0
4.999218800E-2,1.410899997E0,-1.750699997E0,3.346400023E0,4.031622799E0
5.999218800E-2,1.369799972E0,-1.904699922E0,3.296099901E0,4.045801319E0
6.999218800E-2,1.230599999E0,-1.871999979E0,3.244799852E0,3.943030099E0
8.014375000E-2,6.107000113E-1,-1.745000005E0,3.263700008E0,3.750962179E0
9.014218800E-2,-6.480000168E-2,-1.778999925E0,3.060199976E0,3.540319712E0
9.999218800E-2,-1.317999959E-1,-1.888700008E0,2.562399864E0,3.185977405E0
1.099937500E-1,7.332999706E-1,-1.887599945E0,2.304699898E0,3.067964149E0
1.199953130E-1,1.010599971E0,-1.632200003E0,2.108399868E0,2.851445099E0
1.299937500E-1,5.753999710E0,-3.018800020E0,-4.387999773E-1,6.512619415E0
1.399968750E-1,1.257099986E0,-8.906999826E-1,1.023999974E-1,1.544063662E0
1.499953130E-1,2.494999915E-1,-3.515000045E-1,1.948799968E0,1.995901754E0
1.599953130E-1,-6.606000066E-1,1.121999994E-1,2.983700037E0,3.058013590E0
1.699937500E-1,-4.790999889E-1,2.789999917E-2,2.835500002E0,2.875826050E0
1.799953130E-1,2.879999951E-2,-1.763999909E-1,1.928699970E0,1.936964112E0
1.899968750E-1,-1.416999996E-1,-2.140000015E-1,1.235999942E0,1.262367120E0
1.999953130E-1,-3.869999945E-1,-3.199000061E-1,6.938999891E-1,8.565058112E-1
2.099937500E-1,-2.592999935E-1,-3.457999825E-1,4.517000020E-1,6.251775798E-1
2.199953130E-1,3.412999809E-1,-4.598999918E-1,-5.519999936E-2,5.753613815E-1
2.299921880E-1,2.467999905E-1,-3.182999790E-1,-4.188999832E-1,5.811215947E-1
2.399968750E-1,-2.689999938E-1,-1.021999940E-1,-4.743999839E-1,5.548523949E-1
2.499937500E-1,-2.638999820E-1,-1.194999963E-1,-8.581999540E-1,9.057762476E-1
2.599937500E-1,-1.237999946E-1,-2.829999924E-1,-1.374400020E0,1.408684084E0
2.699937500E-1,-3.193999827E-1,-2.008000016E-1,-5.941999555E-1,7.038540876E-1
2.799953130E-1,-5.047000051E-1,6.329999864E-2,-4.718999863E-1,6.938433411E-1
2.899968750E-1,-7.604999542E-1,1.102999970E-1,-7.518000007E-1,1.075048609E0
3.000359380E-1,-1.127599955E0,-4.660999775E-1,-4.421999753E-1,1.297794924E0
3.099937500E-1,-5.598999858E-1,-2.080899954E0,-4.910999835E-1,2.210161036E0
3.199953130E-1,-8.306999803E-1,-1.712000012E0,9.420000017E-2,1.905224433E0
3.299953130E-1,-1.067299962E0,-5.667999983E-1,9.551999569E-1,1.540389043E0
3.399968750E-1,-1.012199998E0,-4.867999852E-1,1.422699928E0,1.812621899E0
3.499937500E-1,-1.165300012E0,-4.651999772E-1,1.857199907E0,2.241322518E0
3.599921880E-1,-6.166999936E-1,-1.068699956E0,2.417099953E0,2.713818465E0
3.699937500E-1,3.820999861E-1,-1.919099927E0,2.757799864E0,3.381479708E0
3.799921880E-1,3.023999929E-1,-2.287600040E0,9.641999602E-1,2.500848109E0
3.899953130E-1,-7.601999640E-1,-2.379199982E0,7.677999735E-1,2.613046754E0
3.999953130E-1,-2.726599932E0,-2.621599913E0,1.481499910E0,4.062262334E0
4.099937500E-1,-3.710299969E0,-4.309899807E0,1.136600018E0,5.799432886E0
4.199937500E-1,-9.215999842E-1,-3.958400011E0,-1.796000004E-1,4.068234671E0
4.299937500E-1,7.268999815E-1,-1.955899954E0,-3.919199944E0,4.440051397E0
4.400093750E-1,2.227499962E0,-1.024600029E0,-5.246299744E0,5.790960395E0
4.499921880E-1,2.823899984E0,-1.520599961E0,-3.200199842E0,4.530774150E0
4.599937500E-1,1.477199912E0,-9.984999895E-1,-1.674199939E0,2.445826495E0
4.699937500E-1,-6.419999897E-2,-9.603999853E-1,-2.630999982E-1,9.978533864E-1
4.799953130E-1,-1.180099964E0,-7.899999619E-1,5.504999757E-1,1.523084400E0
