"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-4.787999988E-1,-8.104000092E-1,-5.809999704E-1,1.106145822E0
9.998438000E-3,-8.833999634E-1,-4.521999955E-1,-8.344999552E-1,1.296638156E0
1.999375000E-2,-3.910099983E0,1.981000006E-1,8.159999549E-2,3.915965277E0
2.999531300E-2,-4.773699760E0,4.050000012E-2,1.516899943E0,5.009075273E0
3.999531300E-2,-2.660699844E0,-8.949999809E-1,1.073699951E0,3.005524948E0
4.999375000E-2,-8.106999993E-1,-1.555199981E0,-4.765999913E-1,1.817423732E0
5.999843800E-2,-6.492999792E-1,-2.253099918E0,-9.347999692E-1,2.524262405E0
6.999531300E-2,-8.503999710E-1,-2.697000027E0,-1.415300012E0,3.162287681E0
7.999531300E-2,-1.223699927E0,-3.100800037E0,-1.806199908E0,3.791406137E0
9.003906300E-2,-1.209200025E0,-3.667099953E0,-2.034299850E0,4.364420081E0
9.999375000E-2,-1.092399955E0,-3.758299828E0,-2.304899931E0,4.542105123E0
1.099968750E-1,-9.405999780E-1,-1.849499941E0,-2.944900036E0,3.602473396E0
1.199953130E-1,-1.421899915E0,-9.224999547E-1,-2.512199879E0,3.030503880E0
1.299921880E-1,-1.977999926E0,-4.163999856E-1,-3.383199930E0,3.941054988E0
1.399921880E-1,-2.397099972E0,1.311200023E0,-4.618099689E0,5.365834373E0
1.500343750E-1,-1.938299894E0,1.080299973E0,-2.779899836E0,3.556950605E0
1.599953130E-1,-5.489000082E-1,-1.168999970E-1,-4.962299824E0,4.993933957E0
1.699937500E-1,4.939000010E-1,-1.575500011E0,-4.232699871E0,4.543334205E0
1.799937500E-1,1.439799905E0,-2.562700033E0,-3.433300018E0,4.519734975E0
1.900343750E-1,1.376299977E0,-2.911199808E0,-2.723399878E0,4.217368000E0
1.999921880E-1,9.752999544E-1,-3.059399843E0,-2.114899874E0,3.844988801E0
2.100000000E-1,1.079499960E0,-3.314699888E0,-1.669099927E0,3.865029117E0
2.199953130E-1,1.541499972E0,-3.404999971E0,-1.595499992E0,4.063971850E0
2.300359380E-1,2.297399998E0,-3.322199821E0,-1.451900005E0,4.292210623E0
2.399953130E-1,3.102299929E0,-2.939499855E0,-5.083999634E-1,4.303881361E0
2.499984380E-1,4.748099804E0,-2.629499912E0,7.319999486E-2,5.428082514E0
