"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,4.599999785E-1,-4.347999990E-1,-8.883000016E-1,1.090746493E0
1.000000000E-2,4.599999785E-1,-4.347999990E-1,-8.883000016E-1,1.090746493E0
1.981718800E-2,4.599999785E-1,-4.347999990E-1,-8.883000016E-1,1.090746493E0
3.026875000E-2,4.599999785E-1,-4.347999990E-1,-8.883000016E-1,1.090746493E0
4.025312500E-2,3.790000081E-2,6.560000032E-2,2.779999934E-2,8.070074391E-2
5.025000000E-2,-2.036999911E-1,8.499999642E-1,1.229599953E0,1.508611835E0
6.025156300E-2,1.320699930E0,-1.709999889E-1,2.236500025E0,2.602964015E0
7.025156300E-2,2.829099894E0,-2.067600012E0,1.827699900E0,3.952121322E0
8.025156300E-2,2.620499849E0,-3.642999887E0,5.417999625E-1,4.520178629E0
9.025156300E-2,1.558899999E0,-3.621299982E0,2.766999900E-1,3.952283599E0
1.002515630E-1,1.054799914E0,-2.523299932E0,1.680599928E0,3.209994007E0
1.102500000E-1,3.384000063E-1,-1.348599911E0,1.568499923E0,2.096050641E0
1.202515630E-1,1.587999910E-1,-1.003299952E0,8.188999891E-1,1.304770256E0
1.302515630E-1,8.944000006E-1,-7.935000062E-1,-6.536999941E-1,1.362687530E0
1.402515630E-1,1.865199924E0,-5.860999823E-1,-1.778100014E0,2.642749251E0
1.502515630E-1,1.444000006E0,-5.882999897E-1,-1.277400017E0,2.015684424E0
1.602515630E-1,5.242999792E-1,-5.302000046E-1,-2.579999864E-1,7.890288373E-1
1.702515630E-1,3.077999949E-1,-6.243999600E-1,7.669999450E-2,7.003563637E-1
1.802515630E-1,3.190000057E-1,-4.308999777E-1,4.117999971E-1,6.760288692E-1
1.902515630E-1,1.845999956E-1,-1.275999993E-1,7.443000078E-1,7.773939927E-1
2.002515630E-1,3.464999795E-1,4.759999737E-2,1.109899998E0,1.163703571E0
2.102515630E-1,2.122999877E-1,1.138999984E-1,1.367399931E0,1.388462122E0
2.202906250E-1,-3.899999857E-1,4.318999946E-1,6.232999563E-1,8.527252956E-1
2.302859380E-1,-8.784999847E-1,5.935999751E-1,-2.626999915E-1,1.092306934E0
2.402890630E-1,-1.111799955E0,2.705000043E-1,-4.655999839E-1,1.235335071E0
2.502875000E-1,-1.303399920E0,4.309999943E-2,-6.979999542E-1,1.479159524E0
2.602921880E-1,-1.269899964E0,-1.777999997E-1,-6.121999621E-1,1.420931931E0
2.702875000E-1,-8.819999695E-1,-3.353999853E-1,-1.037999988E-1,9.493110850E-1
2.802859380E-1,-3.746999800E-1,-3.553999960E-1,-1.099999994E-3,5.164401632E-1
2.902875000E-1,7.583000064E-1,-2.769999802E-1,-1.506000012E-1,8.212358060E-1
3.002875000E-1,1.476999998E0,5.379999802E-2,-2.822999954E-1,1.504698216E0
3.102890630E-1,6.746999621E-1,2.583000064E-1,1.154999956E-1,7.316277614E-1
3.202859380E-1,-8.630999923E-1,4.360999763E-1,8.859999776E-1,1.311533738E0
3.302875000E-1,-1.377599955E0,3.236999810E-1,1.194499969E0,1.851862168E0
3.402859380E-1,-1.152599931E0,2.056999952E-1,9.082999825E-1,1.481825883E0
3.502859380E-1,-7.215999961E-1,-5.299999844E-3,3.750999868E-1,8.132863238E-1
3.602921880E-1,-6.617999673E-1,-8.869999647E-2,-6.053000093E-1,9.012408043E-1
3.702843750E-1,-2.575999796E-1,-1.506000012E-1,-1.604799986E0,1.632305457E0
3.802875000E-1,9.698999524E-1,-3.515999913E-1,-1.532299995E0,1.847233539E0
3.902890630E-1,1.752699971E0,-6.650999784E-1,-7.468999624E-1,2.017963014E0
4.002859380E-1,1.838400006E0,-5.777999759E-1,-4.970999956E-1,1.990144668E0
4.102906250E-1,1.417299986E0,-3.676999807E-1,7.959999889E-2,1.466382858E0
4.202859380E-1,-1.365499973E0,-2.190000005E-2,5.273000002E-1,1.463938208E0
4.302843750E-1,-5.899999738E-1,-5.257499695E0,1.012199998E0,5.386460048E0
4.402875000E-1,2.716000080E-1,-2.350699902E0,3.738199949E0,4.424216931E0
4.503281250E-1,6.111999750E-1,-6.942999959E-1,3.150399923E0,3.283388124E0
4.602937500E-1,-3.468999863E-1,-1.214499950E0,5.515999794E-1,1.378264223E0
4.702875000E-1,-1.610799909E0,-8.088999987E-1,-2.194200039E0,2.839631906E0
4.802875000E-1,-1.493999958E0,-8.259999752E-1,-3.007799864E0,3.458492714E0
4.902875000E-1,-6.890999675E-1,-9.316999912E-1,-1.713999987E0,2.068989993E0
5.002843750E-1,-2.868999839E-1,-4.689999819E-1,-2.038399935E0,2.111242970E0
5.102937500E-1,3.492199898E0,-2.168999910E0,7.335999608E-1,4.175905847E0
5.202843750E-1,8.632200241E0,-4.071499825E0,6.283699989E0,1.142702399E1
5.303281250E-1,2.759299994E0,2.216999978E-1,2.909999847E0,4.016339933E0
5.402843750E-1,-9.465999603E-1,-2.682999969E-1,-7.612999678E-1,1.244031356E0
5.502875000E-1,-1.223399997E0,-5.835999846E-1,-2.783099890E0,3.095632648E0
5.603343750E-1,-2.475899935E0,5.469999909E-1,-3.079999924E0,3.989447206E0
5.702859380E-1,-2.138999939E0,-1.888999939E-1,-1.676800013E0,2.724456318E0
5.802859380E-1,-1.943399906E0,-7.432999611E-1,1.323300004E0,2.465850954E0
5.902875000E-1,-3.073899984E0,-1.787000000E-1,4.723999798E-1,3.115117421E0
6.002859380E-1,-2.896100044E0,-9.835000038E-1,-1.011500001E0,3.221459293E0
6.103375000E-1,-3.032799959E0,-1.653899908E0,-1.363399982E0,3.713774362E0
6.202875000E-1,-3.696199894E0,-1.811800003E0,-8.251999617E-1,4.198269630E0
6.302859380E-1,-3.731699944E0,-2.066999912E0,-7.967000008E-1,4.339677868E0
6.402875000E-1,-3.381500006E0,-1.819099903E0,-1.594299912E0,4.157578497E0
6.502875000E-1,-3.645399809E0,-7.836999893E-1,-2.849400043E0,4.692782335E0
6.602890630E-1,-3.096699953E0,4.438999891E-1,-2.712800026E0,4.140758600E0
6.702859380E-1,-3.020999908E0,2.264499903E0,-3.360999823E-1,3.790430510E0
6.802859380E-1,-1.868099928E0,3.688599825E0,2.388700008E0,4.775086778E0
6.902875000E-1,-7.732999921E-1,4.195199966E0,3.497499943E0,5.516357629E0
7.002875000E-1,-8.810999990E-1,3.161399841E0,2.627699852E0,4.204235088E0
7.102890630E-1,-1.828599930E0,2.159600019E0,2.497499943E0,3.774275548E0
7.202875000E-1,-1.841099977E0,1.681499958E0,1.144299984E0,2.743449232E0
7.302875000E-1,-3.939999938E-1,1.436299920E0,-4.473999739E-1,1.555107775E0
7.402890630E-1,7.921999693E-1,1.496199965E0,-1.415399909E0,2.206706150E0
7.511453130E-1,1.084900022E0,7.565000057E-1,-2.429600000E0,2.766271223E0
7.602968750E-1,9.020999670E-1,1.501399994E0,-4.132100105E0,4.488010425E0
7.702843750E-1,1.574000001E0,2.234200001E0,-3.935099840E0,4.791047526E0
7.802843750E-1,1.039600015E0,2.061699867E0,-1.861899972E0,2.966150036E0
7.902859380E-1,2.228000015E-1,7.928000093E-1,-7.235999703E-1,1.096252075E0
8.002859380E-1,-1.660300016E0,7.148000002E-1,9.411000013E-1,2.037941215E0
8.102875000E-1,-1.055400014E0,-3.533000052E-1,1.922199965E0,2.221157983E0
8.202875000E-1,2.283999920E-1,-1.572099924E0,2.634699821E0,3.076574049E0
8.302875000E-1,1.240499973E0,-2.052999973E0,2.925699949E0,3.783301371E0
8.402875000E-1,9.045700073E0,-4.183499813E0,-1.653999984E-1,9.967633504E0
8.502875000E-1,2.206099987E0,-3.617699862E0,-5.360599995E0,6.833056545E0
8.602906250E-1,2.906499863E0,-4.347799778E0,-2.635999918E0,5.856586030E0
8.702875000E-1,1.557999969E0,-2.712100029E0,-3.839999810E-2,3.127990574E0
8.802875000E-1,-1.423399925E0,-3.981999755E-1,1.351899981E0,2.003063685E0
8.903296880E-1,-5.397999763E0,2.086699963E0,1.616099954E0,6.008701793E0
9.002843750E-1,-8.865799904E0,3.634299994E0,8.603999615E-1,9.620334322E0
9.102953130E-1,-8.965399742E0,3.888199806E0,9.697999954E-1,9.820234330E0
9.202875000E-1,-7.052599907E0,3.459499836E0,2.893999815E-1,7.860728777E0
9.302875000E-1,-4.190000057E0,1.934699893E0,-1.605599999E0,4.886421545E0
9.402859380E-1,-1.310199976E0,-2.469999939E-1,-2.165099859E0,2.542693527E0
9.502875000E-1,1.631500006E0,-3.109299898E0,3.190999925E-1,3.525813797E0
9.602890630E-1,4.485099792E0,-5.647599697E0,4.254799843E0,8.373459511E0
9.703296880E-1,5.508399963E0,-4.140799999E0,5.129899979E0,8.590958537E0
9.802843750E-1,4.449299812E0,-1.738499999E0,2.046200037E0,5.196689875E0
9.902875000E-1,3.258800030E0,-1.421000004E0,-1.940599918E0,4.050302049E0
1.000287500E0,2.006700039E0,-7.107999921E-1,-4.366399765E0,4.857728747E0
1.010329688E0,6.477999687E-1,5.889999866E-2,-4.091799736E0,4.143179828E0
1.020287500E0,-7.335000038E-1,2.469999939E-1,-3.528199911E0,3.612094388E0
1.030285938E0,-8.373000026E-1,8.100000210E-3,-2.374099970E0,2.517436706E0
1.040287500E0,1.088199973E0,-2.094999999E-1,-1.176399946E0,1.616164059E0
1.050329688E0,2.564599991E0,1.708000004E-1,2.890999913E-1,2.586488847E0
1.060289063E0,2.714799881E0,7.378000021E-1,1.337700009E0,3.115112928E0
1.070287500E0,1.546599984E0,1.677699924E0,9.041000009E-1,2.454393073E0
1.080285938E0,-8.064999580E-1,2.512599945E0,-2.969999984E-2,2.639030647E0
1.090289063E0,-3.499899864E0,2.899999857E0,-1.604799986E0,4.820236636E0
1.100287500E0,-5.146100044E0,2.349400043E0,-2.916299820E0,6.364497692E0
1.110298438E0,-4.947799683E0,1.095000029E0,-2.420899868E0,5.616093209E0
1.120287500E0,-3.817199945E0,-4.039999843E-1,-7.901999950E-1,3.919011029E0
1.130329688E0,-3.160699844E0,-1.364699960E0,2.278999984E-1,3.450270699E0
