"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,7.364000082E-1,-9.553999901E-1,-5.636999607E-1,1.331477284E0
1.001093700E-2,1.052299976E0,-1.490000010E0,-5.699999928E-1,1.911108385E0
2.002187500E-2,7.789999843E-1,-1.761099935E0,-7.960000038E-1,2.083729820E0
3.000156200E-2,5.469999835E-2,-1.314199924E0,-4.010999799E-1,1.375134439E0
4.001250000E-2,-2.480999976E-1,-7.820000052E-1,5.209999904E-2,8.220657072E-1
5.002500000E-2,-6.159999967E-2,-8.244000077E-1,8.582999706E-1,1.191683168E0
6.000312500E-2,4.181999862E-1,-1.317899942E0,1.967199922E0,2.404501407E0
7.001406200E-2,1.444299936E0,-1.579299927E0,2.805199862E0,3.528361777E0
8.002656200E-2,2.207900047E0,-1.645499945E0,3.427699804E0,4.396773662E0
9.000625000E-2,2.983899832E0,-1.920599937E0,4.072400093E0,5.401555780E0
1.000171870E-1,3.737599850E0,-1.981499910E0,3.967999935E0,5.800087759E0
1.100281250E-1,3.623499870E0,-2.117799997E0,3.662599802E0,5.570409810E0
1.200078120E-1,2.737399817E0,-1.914999962E0,2.753999949E0,4.329560985E0
1.300187500E-1,1.811100006E0,-1.685699940E0,1.936199903E0,3.141741171E0
1.400296870E-1,8.959999681E-1,-1.222700000E0,1.572600007E0,2.184234881E0
1.500109370E-1,1.303300023E0,-2.103499889E0,1.446699977E0,2.866399058E0
1.600203120E-1,1.292500019E0,-2.601500034E0,4.345999956E-1,2.937215669E0
1.700000000E-1,1.302199960E0,-2.668599844E0,5.279999971E-1,3.015946594E0
1.800109370E-1,1.254299998E0,-1.906699896E0,1.684399962E0,2.836543004E0
1.900234370E-1,1.044399977E0,-1.111999974E-1,2.133399963E0,2.377926020E0
2.000015620E-1,2.214499950E0,-5.790000036E-2,2.329399824E0,3.214570886E0
2.100140620E-1,3.585699797E0,-1.803999990E-1,2.240200043E0,4.231817981E0
2.200250000E-1,2.830600023E0,1.306999922E-1,2.081099987E0,3.515729816E0
2.300046870E-1,8.456999660E-1,-2.311999947E-1,1.191200018E0,1.479060294E0
2.400156250E-1,8.971999884E-1,-7.222999930E-1,7.845000029E-1,1.393601576E0
2.500265620E-1,9.061999917E-1,-1.082499981E0,-1.620000042E-2,1.411831107E0
2.600062500E-1,7.987999916E-1,-9.350000024E-1,-1.214599967E0,1.728455817E0
2.700171870E-1,1.042999983E0,-3.962999880E-1,-2.026799917E0,2.313616336E0
2.800281250E-1,1.531000018E0,-3.379999846E-2,-2.538599968E0,2.964724826E0
2.900078120E-1,1.486400008E0,-1.879999973E-2,-2.805099964E0,3.174637654E0
3.000203120E-1,1.352800012E0,-1.992999911E-1,-2.414199829E0,2.774553869E0
3.100000000E-1,1.655699968E0,-5.694000125E-1,-1.432299972E0,2.262087966E0
3.200109370E-1,1.914699912E0,-8.388999701E-1,-4.619999826E-1,2.140857982E0
3.300218750E-1,2.054600000E0,-1.010699987E0,6.247999668E-1,2.373451205E0
3.400015620E-1,2.114699841E0,-1.013299942E0,9.898999929E-1,2.545316127E0
3.500125000E-1,2.210700035E0,-1.312099934E0,1.116899967E0,2.802903212E0
3.600234370E-1,6.066599846E0,-2.875900030E0,7.462999821E-1,6.755101653E0
3.700031250E-1,4.293200016E0,-1.763499975E0,1.760999918E0,4.964133283E0
