"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,2.495199919E0,-1.279999971E0,3.072799921E0,4.160110806E0
9.979687000E-3,2.660799980E0,-1.217299938E0,3.078599930E0,4.247287747E0
1.999062500E-2,3.276099920E0,-1.398100019E0,3.761699915E0,5.180530919E0
3.000312500E-2,3.629599810E0,-1.500999928E0,3.845199823E0,5.496595059E0
3.998125000E-2,4.116300106E0,-1.403100014E0,4.272500038E0,6.096463958E0
4.999375000E-2,4.288499832E0,-1.276199937E0,4.811699867E0,6.570568674E0
6.000468700E-2,4.577499866E0,-1.260800004E0,5.769399643E0,7.471886905E0
6.998437500E-2,4.938799858E0,-1.239599943E0,5.547499657E0,7.530146380E0
7.999375000E-2,4.572000027E0,-1.503999949E0,4.642299652E0,6.687013246E0
9.000625000E-2,3.524899960E0,-1.357199907E0,3.737799883E0,5.313949499E0
9.998593700E-2,2.957000017E0,-1.345199943E0,2.999899864E0,4.421856079E0
1.099968750E-1,2.618899822E0,-1.340600014E0,2.233099937E0,3.693586334E0
1.200078120E-1,2.451499939E0,-1.327399969E0,2.014499903E0,3.439484334E0
1.299875000E-1,2.297699928E0,-1.126699924E0,1.944099903E0,3.213783147E0
1.399984370E-1,2.624300003E0,-1.155900002E0,1.942599893E0,3.463632438E0
1.499796870E-1,2.688299894E0,-1.377499938E0,1.558899999E0,3.399210439E0
1.599906250E-1,2.768399954E0,-1.616099954E0,1.333099961E0,3.471739171E0
1.700015620E-1,2.520999908E0,-1.606599927E0,1.091799974E0,3.182551028E0
1.799812500E-1,2.224900007E0,-1.424499989E0,1.537400007E0,3.056628705E0
1.899921870E-1,1.729499936E0,-1.207899928E0,2.156299829E0,3.016590993E0
2.000031250E-1,1.406299949E0,-1.094599962E0,2.920300007E0,3.421108118E0
2.099828120E-1,1.993899941E0,-7.620999813E-1,3.025599957E0,3.702794682E0
2.199937500E-1,3.140300035E0,-1.067700028E0,2.760299921E0,4.315173614E0
2.300046870E-1,4.094699860E0,-1.189800024E0,2.310799837E0,4.849947105E0
2.399843750E-1,4.742799759E0,-9.689999819E-1,1.746899962E0,5.146335589E0
2.499968750E-1,4.112599850E0,-6.351000071E-1,8.849999905E-1,4.254415885E0
2.600078120E-1,3.469099998E0,-7.426999807E-1,8.553999662E-1,3.649379011E0
2.699875000E-1,2.879299879E0,-1.039099932E0,1.526700020E0,3.420659207E0
2.799984370E-1,2.684700012E0,-9.911999702E-1,2.495100021E0,3.796790178E0
2.900093750E-1,2.472499847E0,-7.215999961E-1,2.839999914E0,3.834000725E0
2.999890620E-1,2.253200054E0,-4.111999869E-1,2.343099833E0,3.276600790E0
3.100000000E-1,2.467099905E0,-4.741999805E-1,1.666399956E0,3.014686779E0
3.199796870E-1,2.156899929E0,-4.144999981E-1,6.118999720E-1,2.280010774E0
3.299906250E-1,1.251699924E0,-4.025000036E-1,-2.142999917E-1,1.332172451E0
3.400015620E-1,-5.949999765E-2,-5.411999822E-1,-2.748999894E-1,6.099243187E-1
3.499812500E-1,-4.930000007E-2,-7.182999849E-1,1.990000010E-1,7.469848451E-1
3.599921870E-1,-2.045999914E-1,-6.351000071E-1,5.429999828E-1,8.602686539E-1
3.700046870E-1,-1.387999952E-1,-4.630999863E-1,8.969999850E-2,4.917043072E-1
3.799843750E-1,-1.012499928E0,2.646999955E-1,-7.387999892E-1,1.281033808E0
3.899953120E-1,-9.894999862E-1,3.772999942E-1,-1.029099941E0,1.476655748E0
4.000078120E-1,-1.203199983E0,4.186999798E-1,-1.441100001E0,1.923478382E0
4.099859370E-1,-1.098600030E0,-1.010999978E-1,-9.244999886E-1,1.439389963E0
4.199968750E-1,-1.271799922E0,-1.798999906E-1,-2.804999948E-1,1.314731644E0
4.300078120E-1,-9.346999526E-1,-5.759999901E-2,2.230999917E-1,9.626813427E-1
4.399875000E-1,-1.019600034E0,2.474000007E-1,7.906999588E-1,1.313772208E0
4.499984370E-1,-1.163599968E0,1.237000003E-1,7.116000056E-1,1.369540486E0
4.599796870E-1,-1.420699954E0,-1.312000006E-1,5.370999575E-1,1.524492756E0
4.699890620E-1,-1.309199929E0,-2.891999781E-1,4.456000030E-1,1.412869578E0
4.800015620E-1,-1.521299958E0,9.699999541E-2,5.078999996E-1,1.606774711E0
4.899812500E-1,-1.340199947E0,6.168999672E-1,5.069999695E-1,1.560048216E0
4.999921870E-1,-1.381600022E0,7.818999887E-1,7.188000083E-1,1.742658792E0
5.100031250E-1,-8.474999666E-1,5.421000123E-1,5.880999565E-1,1.165328355E0
