"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-7.432000041E-1,-3.310000002E-1,3.789999783E-1,8.975233868E-1
9.993750000E-3,-1.635999978E-1,-1.393999904E-1,-3.240000084E-2,2.173639268E-1
1.999843800E-2,-2.773000002E-1,3.779999912E-2,1.623999923E-1,3.235705295E-1
2.999531300E-2,-3.457999825E-1,1.027999967E-1,3.467999995E-1,5.004155342E-1
3.999531300E-2,8.399999700E-3,-7.620000094E-2,3.152999878E-1,3.244858740E-1
4.999375000E-2,4.023999870E-1,-2.742999792E-1,-7.669999450E-2,4.930001189E-1
5.999531300E-2,3.425000012E-1,-3.678999841E-1,-7.954999804E-1,9.409978045E-1
6.999687500E-2,1.357000023E-1,-3.359999955E-1,-7.795000076E-1,8.596108128E-1
7.999375000E-2,7.769999653E-2,-4.320999980E-1,-5.921999812E-1,7.371896062E-1
8.999375000E-2,6.099999696E-2,-4.400999844E-1,-1.894000024E-1,4.829920877E-1
9.999531300E-2,-3.999999911E-2,-2.299999893E-1,4.299999774E-2,2.373794321E-1
1.099937500E-1,9.279999882E-2,-1.879999936E-1,2.210999876E-1,3.046982801E-1
1.199968750E-1,1.731999964E-1,-1.948999912E-1,1.964000016E-1,3.264310125E-1
1.299953130E-1,-6.570000201E-2,3.159999847E-2,9.779999405E-2,1.219831505E-1
1.399953130E-1,-5.015000105E-1,3.553999960E-1,-1.006999984E-1,6.228578549E-1
1.499953130E-1,-5.877999663E-1,4.136999846E-1,-3.330000043E-1,7.921776824E-1
1.599968750E-1,-4.981999993E-1,3.244999945E-1,-4.017999768E-1,7.175978729E-1
1.699968750E-1,-2.946999967E-1,1.030999944E-1,-3.335999846E-1,4.569098890E-1
1.799937500E-1,-3.495000005E-1,3.370000049E-2,-1.523000002E-1,3.827286642E-1
1.899937500E-1,-4.644999802E-1,-2.699999837E-3,1.291999966E-1,4.821412249E-1
1.999953130E-1,-4.442999959E-1,-2.569999918E-2,3.164999783E-1,5.461091581E-1
2.099921880E-1,-3.391999900E-1,-7.389999926E-2,2.277999967E-1,4.152236526E-1
2.199968750E-1,-1.693999916E-1,-1.964000016E-1,-5.529999733E-2,2.651931513E-1
2.299953130E-1,1.617999971E-1,-3.721999824E-1,-1.802999973E-1,4.440947590E-1
2.399937500E-1,1.862999946E-1,-3.678999841E-1,3.579999879E-2,4.139320309E-1
2.499921880E-1,-1.121999994E-1,-1.385999918E-1,5.559999868E-2,1.867890721E-1
2.599937500E-1,-4.779999852E-1,1.176999956E-1,-1.753000021E-1,5.225584805E-1
