"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-8.201999664E-1,-1.108999997E-1,-3.479699850E0,3.576777578E0
9.993750000E-3,-3.583999872E-1,-2.936999798E-1,-9.849999845E-2,4.737219423E-1
1.999687500E-2,7.931999564E-1,-1.142499924E0,-5.230000019E-1,1.485934470E0
3.000000000E-2,-1.433999985E-1,-8.699999750E-2,2.448999882E-1,2.968308666E-1
3.999687500E-2,-2.620999813E-1,4.769999906E-2,6.719999909E-1,7.228801269E-1
4.999687500E-2,1.588999927E-1,-2.872000039E-1,1.105999947E-1,3.463602297E-1
5.999687500E-2,6.337000132E-1,-3.156999946E-1,5.480000004E-2,7.101022696E-1
6.999687500E-2,5.562999845E-1,8.739999682E-2,5.749999732E-2,5.660518367E-1
8.000000000E-2,9.999999747E-5,1.618999988E-1,2.474000007E-1,2.956659939E-1
8.999687500E-2,2.197999954E-1,2.159999870E-2,-1.083999947E-1,2.460267400E-1
9.999687500E-2,7.584999800E-1,1.812999994E-1,-6.211000085E-1,9.969739866E-1
1.099968750E-1,2.583999932E-1,5.722000003E-1,-4.249999821E-1,7.581611844E-1
1.199968750E-1,-3.956999779E-1,6.146000028E-1,2.312999964E-1,7.666885445E-1
1.299984370E-1,-7.963999510E-1,3.905999959E-1,2.899999917E-1,9.332316078E-1
1.399953120E-1,-2.219300032E0,6.133999825E-1,9.169999510E-2,2.304335275E0
1.499968750E-1,-2.286799908E0,3.810000047E-2,-8.159999549E-2,2.288572478E0
1.599968750E-1,-1.776799917E0,-7.005999684E-1,-7.979999781E-1,2.069942566E0
1.699968750E-1,-5.029000044E-1,-1.063699961E0,-1.208899975E0,1.686951443E0
1.800000000E-1,9.556999803E-1,-1.216899991E0,-9.957000017E-1,1.840007210E0
1.899968750E-1,1.422099948E0,-7.293999791E-1,-4.041999876E-1,1.648566111E0
