"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-6.693999767E-1,-1.096000001E-1,-9.077000022E-1,1.133149497E0
9.992188000E-3,-6.999999881E-1,-6.268999577E-1,-2.307999879E-1,9.676115825E-1
1.999218800E-2,1.081499934E0,-2.967900038E0,-8.129999638E-1,3.261754387E0
2.999062500E-2,-1.467999935E0,-8.079999685E-1,-3.779000044E-1,1.717759055E0
3.999375000E-2,-1.166000009E0,8.307999969E-1,1.007699966E0,1.750783789E0
4.999375000E-2,6.599999964E-2,2.412000000E-1,1.465600014E0,1.486780697E0
5.999062500E-2,3.299999833E-1,-1.706999987E-1,1.147099972E0,1.205768147E0
6.999062500E-2,6.319999695E-1,-4.579999745E-1,9.217999578E-1,1.207850612E0
7.999062500E-2,6.954999566E-1,-5.579000115E-1,9.233999848E-1,1.283604357E0
8.998906300E-2,4.640999734E-1,-5.916999578E-1,9.786999822E-1,1.234241176E0
9.999218800E-2,7.100000046E-3,-1.410000026E-1,2.285999954E-1,2.686807932E-1
1.099890630E-1,-4.413999915E-1,3.009999916E-2,-6.889999658E-2,4.477579391E-1
1.199906250E-1,-5.749999881E-1,1.247999966E-1,-3.736999929E-1,6.970306379E-1
1.299906250E-1,-5.121999979E-1,1.594000012E-1,-3.718000054E-1,6.526809651E-1
1.399953130E-1,-3.479000032E-1,1.237000003E-1,-7.019999623E-2,3.758512229E-1
1.499953130E-1,-7.357999682E-1,1.143999994E-1,1.145999953E-1,7.534070029E-1
1.599921880E-1,-1.624999940E-1,-1.767999977E-1,5.020000041E-2,2.453253499E-1
1.699921880E-1,8.659999818E-2,-3.382999897E-1,-4.619999975E-2,3.522511642E-1
1.799906250E-1,3.946999907E-1,-4.719999805E-2,1.488000005E-1,4.244494819E-1
1.899937500E-1,-8.020000160E-2,6.639999896E-2,2.651000023E-1,2.848139943E-1
1.999953130E-1,-3.130999804E-1,-2.081999928E-1,3.123999834E-1,4.888482222E-1
2.099906250E-1,1.481999904E-1,-3.969999850E-1,-3.937000036E-1,5.784219205E-1
2.199953130E-1,1.580999941E-1,-4.527999759E-1,-6.664999723E-1,8.211246187E-1
2.299921880E-1,-2.468999922E-1,-3.005000055E-1,-6.721000075E-1,7.765167607E-1
2.399921880E-1,-5.163999796E-1,-4.473999739E-1,-5.166000128E-1,8.565694652E-1
2.499984380E-1,-3.364999890E-1,-9.018999934E-1,-2.524999976E-1,9.951944983E-1
2.599906250E-1,-1.429999918E-1,-1.120000005E0,1.099999994E-3,1.129092653E0
2.699890630E-1,3.777000010E-1,-1.270099998E0,-3.610000014E-2,1.325561958E0
2.799921880E-1,4.698999822E-1,-1.334699988E0,-3.449999914E-2,1.415422305E0
2.899921880E-1,5.019999743E-1,-1.439999938E0,2.274999917E-1,1.541869009E0
2.999984380E-1,3.258999884E-1,-1.998299956E0,6.161000133E-1,2.116363094E0
3.099921880E-1,-2.997999787E-1,-2.229099989E0,1.131199956E0,2.517613975E0
3.199921880E-1,-1.060999990E0,-2.387500048E0,1.232999921E0,2.888973219E0
3.299921880E-1,-1.536399961E0,-2.462299824E0,1.067000031E0,3.092237754E0
3.400343750E-1,-1.328499913E0,-2.621299982E0,2.221999913E-1,2.947116973E0
3.499953130E-1,-6.240999699E-1,-2.590999842E0,7.896999717E-1,2.779641523E0
3.599906250E-1,-3.236999810E-1,-2.638000011E0,1.331999898E-1,2.661121563E0
3.699921880E-1,-6.737999916E-1,-2.670799971E0,-1.366299987E0,3.074728373E0
3.799906250E-1,-1.132900000E0,-2.725999832E0,-1.835799932E0,3.476305350E0
