"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.376299977E0,2.318999916E-1,-1.018199921E0,1.727631417E0
9.995313000E-3,-1.427000016E-1,-1.648999900E-1,-2.879999951E-2,2.199653089E-1
1.999375000E-2,6.628999710E-1,-2.225999981E-1,8.616999984E-1,1.109736013E0
2.999375000E-2,8.946999907E-1,9.730000049E-2,1.286099911E0,1.569716007E0
3.999375000E-2,5.059999973E-2,7.799999714E-1,1.851399899E0,2.009637256E0
4.999531300E-2,-4.566999972E-1,7.767999768E-1,1.965099931E0,2.161853563E0
5.999531300E-2,-2.293999940E-1,5.906999707E-1,9.749999642E-1,1.162830918E0
6.999375000E-2,-3.825999796E-1,6.604999900E-1,1.384000033E-1,7.757561099E-1
7.999531300E-2,-7.292999625E-1,6.431999803E-1,2.865000069E-1,1.013739071E0
8.999375000E-2,-6.376999617E-1,3.870999813E-1,7.026000023E-1,1.024770413E0
9.999375000E-2,-5.180999637E-1,1.329999976E-2,6.604999900E-1,8.395622068E-1
1.099953130E-1,-8.851000071E-1,-4.718999863E-1,1.787000000E-1,1.018835271E0
1.199937500E-1,-1.676999927E-1,-7.860999703E-1,-4.968999922E-1,9.449793930E-1
1.299921880E-1,1.035999954E-1,-6.969999671E-1,-4.246999919E-1,8.227466173E-1
1.399921880E-1,2.928999960E-1,-5.501999855E-1,-6.394999623E-1,8.930121128E-1
1.499953130E-1,-1.077999949E0,-8.152999878E-1,-6.243999600E-1,1.488849647E0
1.599968750E-1,-4.199000001E-1,-3.302299976E0,-1.426199913E0,3.621539360E0
1.699921880E-1,1.414199948E0,-3.867399931E0,6.191999912E-1,4.164150856E0
1.799953130E-1,2.070199966E0,-9.470999837E-1,1.995499969E0,3.027333217E0
1.899937500E-1,9.576999545E-1,2.945999801E-1,2.455399990E0,2.651974258E0
1.999921880E-1,-9.099999666E-1,1.338400006E0,2.114899874E0,2.663121475E0
2.099953130E-1,-1.751799941E0,2.119600058E0,1.009899974E0,2.929403590E0
2.199921880E-1,-1.366099954E0,2.082900047E0,6.521999836E-1,2.574891553E0
2.299921880E-1,-8.371999860E-1,1.585199952E0,6.529999971E-1,1.907923400E0
2.400343750E-1,-3.472999930E-1,1.007699966E0,7.419999689E-2,1.068448477E0
2.499921880E-1,-2.583999932E-1,4.397999942E-1,-8.191999793E-1,9.650301537E-1
2.599968750E-1,-6.222000122E-1,-1.536999941E-1,-1.134999990E0,1.303449854E0
2.699921880E-1,-5.385999680E-1,-7.493000031E-1,-1.344299912E0,1.630546741E0
2.799937500E-1,-2.500000000E-1,-1.179999948E0,-1.299099922E0,1.772726850E0
2.899921880E-1,-7.589999586E-2,-1.486999989E0,-8.470000029E-1,1.712991179E0
2.999937500E-1,-1.193000004E-1,-1.331499934E0,-6.607999802E-1,1.491234783E0
3.099937500E-1,-1.631999910E-1,-1.048300028E0,-4.834999740E-1,1.165907119E0
3.199921880E-1,-6.696999669E-1,-1.146700025E0,3.799999878E-2,1.328481461E0
3.299921880E-1,-5.550000072E-1,-1.506799936E0,9.772999883E-1,1.879783584E0
3.399921880E-1,2.079999894E-1,-2.011699915E0,1.381500006E0,2.449233106E0
3.499953130E-1,3.222999871E-1,-2.206500053E0,4.117999971E-1,2.267619678E0
3.599968750E-1,1.083999947E-1,-2.366699934E0,-3.387999833E-1,2.393283219E0
3.699937500E-1,3.759999946E-2,-2.243599892E0,-4.141999781E-1,2.281822924E0
3.799937500E-1,-1.350999922E-1,-2.406299829E0,1.950000040E-2,2.410168278E0
3.899937500E-1,-1.252999902E-1,-2.178999901E0,1.023599982E0,2.410704789E0
3.999937500E-1,-8.685999513E-1,-1.096899986E0,4.873999953E-1,1.481625530E0
4.100109380E-1,-1.071099997E0,-1.972000003E0,-2.533999979E-1,2.258373479E0
4.199937500E-1,-1.814700007E0,-1.230899930E0,3.351999819E-1,2.218244753E0
4.299937500E-1,-2.214599848E0,-1.814599991E0,-1.908999979E-1,2.869436952E0
4.399953130E-1,-2.598500013E0,-1.780599952E0,3.242999911E-1,3.166687385E0
