"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.001999974E-1,7.440000027E-2,3.739999980E-2,1.302849167E-1
9.993750000E-3,-3.309999779E-2,-7.859999686E-2,1.929999888E-2,8.744174814E-2
1.999375000E-2,-1.639000028E-1,-1.969999969E-1,1.180999950E-1,2.821698398E-1
2.999687500E-2,-2.874999940E-1,-2.906999886E-1,4.616999924E-1,6.167086937E-1
3.999843700E-2,-4.648000002E-1,-4.423999786E-1,8.398000002E-1,1.056892058E0
4.999843700E-2,-5.105999708E-1,-6.969999671E-1,1.315999985E0,1.574286265E0
5.999687500E-2,-3.051999807E-1,-7.730000019E-1,1.795199990E0,1.978236345E0
6.999687500E-2,-1.296000034E-1,-5.173999667E-1,1.466099977E0,1.560111544E0
7.999687500E-2,-5.949999765E-2,-1.645999998E-1,4.095000029E-1,4.453354488E-1
8.999843700E-2,7.979999483E-2,-7.687000036E-1,-2.109999955E-1,8.011171780E-1
9.999375000E-2,-3.244999945E-1,-7.371999621E-1,-7.120999694E-1,1.075104831E0
1.099968750E-1,-2.294999957E-1,-1.155999973E-1,-6.613999605E-1,7.095657230E-1
1.199953120E-1,3.154000044E-1,6.854000092E-1,-3.801999986E-1,8.448682585E-1
1.299937500E-1,2.319999933E-1,1.098799944E0,-1.131999940E-1,1.128715886E0
1.400000000E-1,-9.709999710E-2,6.893999577E-1,1.964000016E-1,7.233765767E-1
1.499953120E-1,-1.207999960E-1,-4.030000046E-2,3.348000050E-1,3.582007431E-1
1.599968750E-1,-8.009999990E-2,-4.375000000E-1,2.766999900E-1,5.238178543E-1
1.699968750E-1,9.149999917E-2,-4.125999808E-1,2.435999960E-1,4.878031899E-1
1.799968750E-1,-6.563999653E-1,-3.482999802E-1,-6.481999755E-1,9.860714978E-1
1.899984370E-1,-3.592999876E-1,-3.992999792E-1,-7.303000093E-1,9.065732502E-1
1.999968750E-1,-3.118999898E-1,-5.500999689E-1,-3.461999893E-1,7.209341246E-1
2.099953120E-1,-1.686999947E-1,-4.736999869E-1,-3.125999868E-1,5.920896195E-1
2.199968750E-1,-3.154999912E-1,4.199999943E-2,4.693999887E-1,5.671336648E-1
2.299953120E-1,2.659999952E-2,7.543999553E-1,3.420300007E0,3.502610311E0
2.399984370E-1,-1.260100007E0,2.296999991E-1,1.792799950E0,2.203348764E0
2.499968750E-1,-7.418000102E-1,-1.463000029E-1,1.264999956E-1,7.665984574E-1
2.599968750E-1,-3.828999996E-1,-3.799999952E-1,-1.195699930E0,1.311758640E0
2.699968750E-1,-4.939999804E-2,-2.142999917E-1,-9.682999849E-1,9.929600733E-1
2.799953120E-1,-1.683000028E-1,3.359999880E-2,-1.568999887E-1,2.325327016E-1
2.899984370E-1,-1.709000021E-1,-7.800000161E-2,6.416999698E-1,6.686326811E-1
2.999937500E-1,-1.841999888E-1,-1.396999955E-1,9.014999866E-1,9.306706993E-1
3.099937500E-1,1.967999935E-1,-1.422799945E0,1.318999976E-1,1.442389521E0
3.199937500E-1,1.104699969E0,-2.901299953E0,-5.094000101E-1,3.146012049E0
3.299953120E-1,7.160999775E-1,-1.550099969E0,7.213999629E-1,1.853652340E0
3.399968750E-1,2.739000022E-1,3.750999868E-1,1.237200022E0,1.321508647E0
