"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.836999953E-1,-5.223999619E-1,1.159999985E-2,5.538790197E-1
9.990625000E-3,-1.351999938E-1,-1.314000040E-1,-5.249999836E-2,1.957070495E-1
1.999218800E-2,-2.425999939E-1,-2.708999813E-1,8.879999816E-2,3.743354065E-1
2.999062500E-2,-4.655999839E-1,2.129999921E-2,5.282999873E-1,7.045125347E-1
3.999062500E-2,-5.446999669E-1,-4.039999843E-2,8.454999924E-1,1.006578587E0
4.999531300E-2,-4.407999814E-1,-2.681999803E-1,9.291999936E-1,1.062849228E0
5.999375000E-2,-1.178999990E-1,-3.082000017E-1,5.602999926E-1,6.502489773E-1
6.999062500E-2,2.908999920E-1,-2.947999835E-1,1.186999977E-1,4.308358447E-1
7.999218800E-2,3.334999979E-1,-1.120999977E-1,-8.410000056E-2,3.617477963E-1
8.999218800E-2,3.015999794E-1,-7.580000162E-2,-2.250999957E-1,3.838986792E-1
9.999531300E-2,2.050999999E-1,-1.729999930E-1,-4.008999765E-1,4.824062590E-1
1.099921880E-1,-3.590000048E-2,-2.096000016E-1,-4.213999808E-1,4.720157990E-1
1.199921880E-1,-1.878999919E-1,-2.223999947E-1,-5.625999570E-1,6.334720801E-1
1.299921880E-1,4.869999737E-2,4.619999975E-2,-8.326999545E-1,8.354013071E-1
1.399906250E-1,4.274999797E-1,2.449999899E-1,-5.462999940E-1,7.356798972E-1
1.499953130E-1,4.332000017E-1,2.897000015E-1,1.149999946E-1,5.336790525E-1
1.599921880E-1,2.043999881E-1,2.120999992E-1,5.916999578E-1,6.609649044E-1
1.699921880E-1,6.599999964E-3,2.269999981E-1,9.412999749E-1,9.683068738E-1
1.799921880E-1,-2.001999915E-1,3.233000040E-1,1.053599954E0,1.120123114E0
1.899906250E-1,-2.906000018E-1,4.523999989E-1,1.482499957E0,1.576997223E0
1.999937500E-1,-8.329999447E-2,2.748000026E-1,1.939700007E0,1.960839119E0
2.099937500E-1,2.324000001E-1,-3.253999949E-1,1.281700015E0,1.342627962E0
2.199921880E-1,-9.389999509E-2,-4.776999950E-1,4.921000004E-1,6.922260503E-1
