"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-3.146999776E-1,2.149999887E-1,3.089999966E-2,3.823818524E-1
9.995313000E-3,2.570999861E-1,3.522000015E-1,2.493999898E-1,5.023401226E-1
1.999843800E-2,6.079999730E-2,3.895999789E-1,8.919999748E-2,4.042788924E-1
2.999375000E-2,-4.019999877E-2,3.382999897E-1,-3.576000035E-1,4.939035183E-1
3.999531300E-2,-1.776999980E-1,8.329999447E-2,-7.918999791E-1,8.158564551E-1
4.999375000E-2,9.429999441E-2,-4.555999935E-1,-6.248999834E-1,7.790788357E-1
5.999375000E-2,5.647000074E-1,-1.052099943E0,-8.373000026E-1,1.458379814E0
7.000000000E-2,8.546999693E-1,-1.730199933E0,-1.330099940E0,2.343772535E0
7.999531300E-2,4.231999815E-1,-8.399999738E-1,-9.433999658E-1,1.332179296E0
8.999375000E-2,-3.639999777E-2,-2.766999900E-1,-7.099999785E-1,7.628812580E-1
9.999218800E-2,-2.279999852E-2,-8.280000091E-2,-3.471999764E-1,3.576639536E-1
1.099953130E-1,2.879999951E-2,-9.250000119E-2,-2.807999849E-1,2.970426261E-1
1.200000000E-1,1.814000010E-1,-1.500999928E-1,2.169999853E-2,2.364463113E-1
1.299953130E-1,2.985000014E-1,-1.507000029E-1,1.668999940E-1,3.737222896E-1
1.399953130E-1,-2.104000002E-1,1.615999937E-1,-4.289999977E-2,2.687436102E-1
1.499953130E-1,2.114999890E-1,1.709999889E-1,1.446999907E-1,3.080768230E-1
1.599937500E-1,1.003600001E0,-1.649999917E-1,2.143999934E-1,1.039425475E0
1.700000000E-1,7.741000056E-1,-2.658999860E-1,-2.463999987E-1,8.547786735E-1
1.799953130E-1,1.824999899E-1,-3.707000017E-1,-1.988999993E-1,4.585694574E-1
1.899937500E-1,-7.090000063E-2,-6.283000112E-1,-2.196999937E-1,6.693697045E-1
1.999921880E-1,1.856999993E-1,-1.167899966E0,-4.149999842E-2,1.183299231E0
2.099953130E-1,6.194999814E-1,-1.832899928E0,2.213999927E-1,1.947388079E0
2.200000000E-1,1.802299976E0,-3.376399994E0,3.481999934E-1,3.843124427E0
2.299937500E-1,2.475699902E0,-2.769699812E0,1.979999989E-1,3.720152020E0
2.401656250E-1,1.586199999E0,-9.659999609E-1,8.167999983E-1,2.028878655E0
2.499953130E-1,-3.860999942E-1,1.269799948E0,1.228999972E0,1.808841078E0
2.599937500E-1,-1.705500007E0,2.348999977E0,9.813999534E-1,3.064257991E0
2.699968750E-1,-1.735700011E0,2.069299936E0,-3.273999989E-1,2.720633661E0
2.799921880E-1,-1.230799913E0,1.057799935E0,-1.537999988E0,2.235900958E0
2.899953130E-1,-3.312999904E-1,-1.173999980E-1,-1.546499968E0,1.585939656E0
2.999953130E-1,-3.075000048E-1,-3.613999784E-1,-6.104999781E-1,7.732246896E-1
3.099921880E-1,-1.459499955E0,2.287999988E-1,-1.898999959E-1,1.489480301E0
3.200046880E-1,-2.749099970E0,1.400699973E0,-7.994999886E-1,3.187273332E0
3.299953130E-1,-3.072399855E0,1.947999954E0,-1.453400016E0,3.917488519E0
3.399937500E-1,-3.087199926E0,1.227900028E0,-1.100700021E0,3.500011771E0
3.499937500E-1,-3.230000019E0,-2.222999930E-1,-7.384999990E-1,3.320798045E0
3.599968750E-1,-3.082000017E0,-1.759599924E0,-8.312000036E-1,3.644970431E0
3.699968750E-1,-4.424200058E0,-5.871200085E0,-4.640999794E0,8.693872306E0
3.799953130E-1,3.803499937E0,-2.495520020E1,-2.663699865E0,2.538353651E1
3.899953130E-1,-3.866099834E0,-7.169299603E0,5.908599854E0,1.006266053E1
4.000359380E-1,-8.895999789E-1,-6.755699635E0,9.065999985E-1,6.874066426E0
4.099953130E-1,-6.570999622E-1,-5.761499882E0,-2.166999876E-1,5.802897563E0
4.199968750E-1,-4.079999775E-2,-3.510699987E0,-7.353000045E-1,3.587108186E0
4.299921880E-1,1.546399951E0,-7.191999555E-1,-3.484799862E0,3.879746314E0
4.399937500E-1,2.934000015E0,1.158200026E0,-4.165999889E0,5.225451030E0
4.500343750E-1,3.674499989E0,2.733599901E0,-4.526499748E0,6.439232761E0
4.599921880E-1,4.102900028E0,3.615299940E0,-1.436299920E0,5.653949041E0
4.700062500E-1,4.536499977E0,3.355599880E0,5.568399906E0,7.927607465E0
4.799921880E-1,2.586899996E0,2.290899992E0,7.593799591E0,8.343025026E0
4.900343750E-1,1.623099923E0,1.066499949E0,2.389799833E0,3.079451046E0
4.999953130E-1,-5.904999971E-1,6.218999624E-1,-1.103899956E0,1.397871569E0
5.099953130E-1,-1.625599980E0,7.038999796E-1,-3.031399965E0,3.511044891E0
5.200484380E-1,2.529999912E-1,-6.940000057E-1,-4.499499798E0,4.559730632E0
5.299937500E-1,4.172800064E0,-2.320400000E0,-6.137899876E0,7.776267190E0
5.399953130E-1,5.449999809E0,-2.224400043E0,-7.239999771E0,9.331026212E0
5.500343750E-1,2.945099831E0,-1.305400014E0,-6.728399754E0,7.459828782E0
5.599937500E-1,1.952999979E-1,-1.541000009E0,-5.144599915E0,5.373986546E0
5.700500000E-1,-3.753099918E0,-1.882399917E0,-3.883599997E0,5.719400089E0
5.799953130E-1,-7.974399567E0,-3.497000039E-1,-1.345399976E0,8.094655004E0
5.900359380E-1,-8.215899467E0,2.295399904E0,1.079100013E0,8.598506941E0
5.999937500E-1,-5.304899693E0,3.686199903E0,1.510399938E0,6.634104193E0
6.099953130E-1,-2.406899929E0,3.517599821E0,5.036999583E-1,4.291898114E0
6.200484380E-1,8.005999923E-1,1.281599998E0,-1.590799928E0,2.194106496E0
6.299953130E-1,3.774199963E0,-1.798699975E0,-2.413499832E0,4.827513687E0
6.399953130E-1,3.409099817E0,-3.056299925E0,-3.731599808E0,5.906586825E0
6.500359380E-1,2.111899853E0,-3.311699867E0,-4.894899845E0,6.275947856E0
6.599937500E-1,-8.679999411E-2,-1.870099902E0,-4.838799953E0,5.188332379E0
6.700515630E-1,-3.516099930E0,1.744000018E-1,-3.484999895E0,4.953644956E0
6.799937500E-1,-1.173579979E1,4.730000019E0,-3.406199932E0,1.310359091E1
6.899953130E-1,-2.300899887E1,1.026620007E1,-4.981299877E0,2.568311199E1
7.000375000E-1,-2.492639923E1,1.099609947E1,-3.885099888E0,2.751969446E1
7.099953130E-1,-9.239699364E0,4.167500019E0,4.018199921E0,1.090348712E1
7.200093750E-1,2.251999974E-1,-1.056499958E0,7.350399971E0,7.429353063E0
7.299937500E-1,1.086699963E0,-3.968999863E0,3.810599804E0,5.608435395E0
7.399953130E-1,-8.270999789E-1,-4.284299850E0,1.451499939E0,4.598496674E0
7.499937500E-1,-1.360599995E0,-2.849200010E0,1.449499965E0,3.474222674E0
7.599953130E-1,-5.913000107E-1,-1.277699947E0,2.018899918E0,2.461322761E0
7.699968750E-1,-1.887999922E-1,1.888999939E-1,2.297499895E0,2.312970906E0
7.801421880E-1,5.777999759E-1,1.088299990E0,2.038899899E0,2.382301928E0
7.901421880E-1,1.111730003E1,-3.264999986E-1,7.319999933E-1,1.114615567E1
7.999937500E-1,2.279999971E0,3.198899984E0,-2.425600052E0,4.616805886E0
8.099921880E-1,1.088099957E0,4.673799992E0,-4.596799850E0,6.645219089E0
8.199968750E-1,3.463599920E0,2.482599974E0,-5.110300064E0,6.653945730E0
8.299937500E-1,2.186499834E0,1.888000011E0,-5.338299751E0,6.069824528E0
8.399953130E-1,-1.518999934E-1,1.297599912E0,-5.276599884E0,5.435930967E0
8.499937500E-1,-1.677599907E0,3.403999805E-1,-4.107399940E0,4.449825599E0
8.599968750E-1,-2.061199903E0,-9.786999822E-1,-2.027699947E0,3.052534320E0
8.698796880E-1,-1.295099974E0,-1.959100008E0,1.213299990E0,2.643379210E0
8.799953130E-1,-2.615299940E0,-1.375499964E0,3.825899839E0,4.834180748E0
8.899953130E-1,-4.886899948E0,-6.406999826E-1,6.235499859E0,7.948191370E0
8.999953130E-1,-2.404299974E0,-1.640799999E0,7.380399704E0,7.933673978E0
9.099953130E-1,-4.592799664E0,-1.458099961E0,5.300099850E0,7.163164291E0
9.199953130E-1,-4.388599873E0,-1.690199971E0,4.391200066E0,6.434222781E0
9.299937500E-1,-7.374999523E-1,-2.015100002E0,3.788699865E0,4.354168218E0
9.399953130E-1,1.649399996E0,-1.989599943E0,1.518599987E0,2.997528015E0
