"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,5.949999765E-2,-1.669999957E-2,-2.969000041E-1,3.032635029E-1
9.995313000E-3,-4.732999802E-1,-2.644999921E-1,-1.952999979E-1,5.762943746E-1
1.999531300E-2,-4.786999822E-1,-3.319999948E-2,1.829999983E-1,5.135610113E-1
2.999531300E-2,-2.884999812E-1,-2.017999887E-1,-2.789999917E-2,3.531768460E-1
3.999375000E-2,-1.752000004E-1,-1.552999914E-1,-5.651999712E-1,6.117713093E-1
4.999218800E-2,-2.631999850E-1,-1.459999941E-2,-8.330000043E-1,8.737141405E-1
5.999375000E-2,-1.251000017E-1,-1.938000023E-1,-8.029999733E-1,8.354743613E-1
6.999375000E-2,3.328999877E-1,-3.646000028E-1,-6.191999912E-1,7.919369880E-1
7.999843800E-2,5.882999897E-1,-2.829000056E-1,-5.173000097E-1,8.329037106E-1
8.999531300E-2,3.012999892E-1,-1.598999947E-1,-2.732000053E-1,4.370216639E-1
9.999531300E-2,4.018999934E-1,-1.305000037E-1,-2.349999920E-2,4.232092929E-1
1.099953130E-1,9.629999846E-2,-5.409999937E-2,1.462000012E-1,1.832346583E-1
1.199953130E-1,1.359999925E-2,-1.597999930E-1,4.185999930E-1,4.482710697E-1
1.299984380E-1,5.469999835E-2,-2.087999880E-1,5.216999650E-1,5.645886806E-1
1.399937500E-1,-4.921999872E-1,-8.020000160E-2,3.975999951E-1,6.377919910E-1
1.499937500E-1,-6.150999665E-1,-3.900000080E-2,3.409000039E-1,7.043307331E-1
1.599953130E-1,6.589999795E-2,-1.770000011E-1,3.009999990E-1,3.553488561E-1
1.699953130E-1,3.343999982E-1,5.599999800E-3,1.899999976E-1,3.846488241E-1
1.799984380E-1,2.559999824E-1,1.726000011E-1,1.850999892E-1,3.599843849E-1
1.899937500E-1,-5.321999788E-1,3.998000026E-1,2.287999988E-1,7.038652563E-1
1.999921880E-1,-6.101999879E-1,2.276999950E-1,-1.245999932E-1,6.631112058E-1
2.099953130E-1,9.579999745E-2,-3.007999957E-1,-9.077000022E-1,9.610294329E-1
