"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.503976345E0,3.485955000E-1,2.638922691E0,3.057347975E0
4.825677000E-3,-1.846466541E0,1.813566685E-1,1.918704987E0,2.669036859E0
9.650572000E-3,-2.725390911E0,-1.758611202E-1,1.444420815E0,3.089503883E0
1.447630200E-2,-2.125309467E0,-1.828681231E-1,7.549796104E-1,2.262824627E0
1.930276000E-2,-1.457384825E0,-1.033228636E-1,3.884854317E-1,1.511809205E0
2.412843700E-2,-9.590435028E-1,7.664585114E-2,5.200138092E-1,1.093642258E0
2.895338500E-2,-7.789988518E-1,2.627435923E-1,5.763082504E-1,1.003994326E0
3.377906200E-2,-7.753062248E-1,3.990080357E-1,5.029349327E-1,1.006603547E0
3.860552000E-2,-5.565757751E-1,5.350109339E-1,6.441855431E-1,1.005479143E0
4.343119700E-2,-1.571717262E-1,6.625853777E-1,1.203035831E0,1.382395582E0
4.825614500E-2,2.489361763E-1,6.974393129E-1,2.069787979E0,2.198275027E0
5.308182200E-2,6.720151901E-1,7.769001722E-1,2.761686802E0,2.946539035E0
5.790833300E-2,9.449090958E-1,9.138897657E-1,2.926414490E0,3.208106836E0
6.273401000E-2,1.034699440E0,1.031404138E0,2.893655777E0,3.241549195E0
6.755890600E-2,1.088430882E0,1.103761196E0,3.037482738E0,3.410171836E0
7.238458300E-2,1.061340332E0,1.115340114E0,3.200967789E0,3.551988408E0
7.721109300E-2,8.223624229E-1,1.023705721E0,3.203665257E0,3.462329336E0
8.203677000E-2,2.409267426E-1,8.305908442E-1,2.865498543E0,2.993160327E0
8.686171800E-2,-6.314659119E-1,6.253029108E-1,2.458598137E0,2.614279581E0
9.168739500E-2,-1.315972567E0,5.067416430E-1,2.115779400E0,2.542654785E0
9.651385400E-2,-1.487110615E0,2.452009916E-1,1.772359848E0,2.326559893E0
1.013395310E-1,-1.197071791E0,-2.834674120E-1,1.363071918E0,1.836109937E0
1.061644790E-1,-1.216226101E0,-5.014808178E-1,1.232391357E0,1.802630688E0
1.109901560E-1,-1.218829632E0,-4.312881231E-1,8.877511024E-1,1.568329409E0
