"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-3.234398365E0,-5.930414200E-1,7.592821121E-1,3.374839290E0
4.826093000E-3,-3.215092182E0,-1.207524061E0,5.892429352E-1,3.484557265E0
9.651458000E-3,-2.947887897E0,-1.084559441E0,4.994716644E-1,3.180532059E0
1.447755200E-2,-2.717266083E0,-8.720736504E-1,2.681522369E-1,2.866348380E0
1.930442700E-2,-2.638882160E0,-7.753651142E-1,1.027402878E-1,2.752352754E0
2.413057300E-2,-2.734036446E0,-1.164954662E0,-1.773166656E-1,2.977165741E0
2.895588500E-2,-2.499291420E0,-8.460617065E-1,-3.745193481E-1,2.665059616E0
3.378197900E-2,-2.159104347E0,-7.043991089E-1,-3.026127815E-1,2.291175284E0
3.860890600E-2,-1.685633421E0,-9.815692902E-1,-1.909379959E-1,1.959922350E0
4.343500000E-2,-1.408743858E0,-1.094826460E0,-1.423130035E-1,1.789820445E0
4.826031200E-2,-1.477375507E0,-5.632021427E-1,7.821559906E-2,1.583020127E0
5.308645800E-2,-1.414413452E0,-2.889299393E-2,6.145744324E-1,1.542433775E0
5.791333300E-2,-1.316537857E0,3.780465126E-1,1.243843079E0,1.850226121E0
6.273942700E-2,-1.399841189E0,5.676836967E-1,1.608305931E0,2.206460537E0
6.756473900E-2,-1.516059875E0,5.381231308E-1,1.551210403E0,2.234785843E0
7.239088500E-2,-1.637423396E0,3.915305138E-1,1.283685684E0,2.117144411E0
7.721776000E-2,-1.705412865E0,2.755293846E-1,1.125667572E0,2.061910998E0
8.204390600E-2,-1.718688011E0,2.077264786E-1,1.090616226E0,2.046089569E0
8.686921800E-2,-1.782290816E0,1.584129333E-1,1.040914536E0,2.070062386E0
9.169531200E-2,-1.917311430E0,1.057157516E-1,7.986860275E-1,2.079701495E0
9.652223900E-2,-2.170851946E0,-2.745771408E-2,2.836875916E-1,2.189481844E0
1.013483330E-1,-2.457601070E0,-1.835060120E-1,-3.683338165E-1,2.491816060E0
1.061736450E-1,-2.661997080E0,-3.528289795E-1,-9.605293274E-1,2.851899951E0
1.109997910E-1,-2.464271307E0,-5.219213963E-1,-1.023278236E0,2.718847801E0
1.158266660E-1,-2.100958824E0,-9.415330887E-1,7.047290802E-1,2.407728310E0
1.206527600E-1,-2.639217615E0,-1.301746607E0,1.594658852E0,3.347080922E0
1.254781250E-1,-2.744626045E0,-1.305246353E0,1.050518990E0,3.215622851E0
1.303042180E-1,-2.674399376E0,-1.475083351E0,-8.068084717E-2,3.055289236E0
1.351310930E-1,-2.345978737E0,-1.494853258E0,-6.852073669E-1,2.864910406E0
1.399572390E-1,-1.926844478E0,-1.439327717E0,-8.439702988E-1,2.548858525E0
1.447825520E-1,-1.292010903E0,-1.422481775E0,-1.044820786E0,2.187326462E0
1.496086450E-1,-6.495841742E-1,-1.319588661E0,-1.576853275E0,2.156325598E0
1.544355730E-1,-6.717257500E-1,-1.398293495E0,1.585721970E-1,1.559354137E0
1.592616660E-1,-5.785067081E-1,-1.375233412E0,1.510597229E0,2.123167666E0
1.640869790E-1,-6.024348140E-1,-1.517810822E0,1.323760986E0,2.102146651E0
1.689131250E-1,-1.173863888E0,-1.743186593E0,1.679725647E-1,2.108286202E0
1.737400000E-1,-1.509653807E0,-1.723142505E0,-8.620138168E-1,2.447721906E0
1.785660930E-1,-1.749735355E0,-1.679541707E0,-1.331301689E0,2.766730624E0
1.833914580E-1,-1.993295908E0,-1.758171439E0,-1.434949875E0,3.020509316E0
1.882175520E-1,-2.175770521E0,-1.847331882E0,-1.636164188E0,3.289930956E0
1.930444270E-1,-2.513684750E0,-1.743995547E0,-2.119055271E0,3.721629580E0
1.978705730E-1,-2.961661339E0,-1.606473327E0,-2.695155144E0,4.314632740E0
2.026958850E-1,-3.150800467E0,-1.324718475E0,-2.795804024E0,4.415760722E0
2.075219790E-1,-3.012296200E0,-8.949933052E-1,-2.268541336E0,3.875722024E0
2.123489060E-1,-2.724524021E0,-4.695641994E-1,-1.412436485E0,3.104593130E0
2.171750000E-1,-2.595922709E0,-2.714502811E-1,-5.542573929E-1,2.668276826E0
2.220003120E-1,-2.527136087E0,-3.438374996E-1,-1.523113251E-2,2.550465255E0
2.268264580E-1,-2.360260487E0,-1.756491661E-1,-6.674289703E-2,2.367728196E0
2.316533330E-1,-1.869816780E0,1.973137856E-1,-3.356704712E-1,1.909927273E0
2.364794790E-1,-1.384805202E0,4.790222645E-1,-1.705265045E-2,1.465414130E0
2.413047910E-1,-7.864503860E-1,6.564748287E-1,1.709537506E-1,1.038599343E0
2.461308850E-1,-2.771363258E-1,7.665715218E-1,-2.634811401E-2,8.155554329E-1
2.509578120E-1,-7.322674990E-2,8.084247112E-1,-5.066728592E-1,9.568856028E-1
2.557839060E-1,1.404522061E-1,8.549883366E-1,-1.032791615E0,1.348106226E0
2.606092180E-1,1.411638498E0,1.163016319E0,-1.836034775E0,2.591592928E0
2.654353640E-1,4.835148811E0,2.178211451E0,-2.685118675E0,5.944167852E0
2.702622390E-1,8.088423729E0,3.321023703E0,-3.543808937E0,9.434531183E0
2.750883330E-1,7.807329178E0,3.546671152E0,-3.734334946E0,9.352995383E0
2.799136980E-1,7.896558762E0,3.701792002E0,-3.586208820E0,9.429729477E0
2.847397910E-1,5.939430237E0,2.684412718E0,-2.399461746E0,6.945525167E0
2.895666660E-1,2.544262886E0,9.519026279E-1,-4.899802208E-1,2.760339266E0
2.943928120E-1,3.412750959E-1,-3.422260284E-1,4.289617538E-1,6.462163198E-1
2.992181250E-1,-5.229811668E-1,-7.207081318E-1,-6.109428406E-2,8.925592550E-1
3.040442180E-1,-4.688863754E-1,-5.331609249E-1,-6.657595634E-1,9.733194754E-1
3.088711450E-1,-5.774084330E-1,-2.846546173E-1,-8.115758896E-1,1.035897762E0
3.136972390E-1,-7.859277725E-1,-5.355691910E-2,-6.267638206E-1,1.006669605E0
3.185225520E-1,-1.050016046E0,1.424396038E-1,-3.890628815E-1,1.128801427E0
3.233486980E-1,-1.211924076E0,1.915960312E-1,-2.041149139E-2,1.227145319E0
3.281755730E-1,-1.363332987E0,1.260831356E-1,6.084165573E-1,1.498247142E0
3.330017180E-1,-1.546518683E0,-6.706047058E-2,1.325116158E0,2.037682501E0
3.378270310E-1,-1.576151133E0,-2.148110867E-1,1.469964027E0,2.165915612E0
3.426531250E-1,-1.477418423E0,-3.655893803E-1,1.195233345E0,1.935201163E0
3.474800520E-1,-1.342588425E0,-7.555832863E-1,9.659614563E-1,1.818387009E0
3.523061450E-1,-1.541381359E0,-1.114511967E0,1.047491074E0,2.171458258E0
3.571314580E-1,-1.526273489E0,-1.223831177E0,8.927888870E-1,2.150429145E0
3.619576040E-1,-1.045820475E0,-1.117554665E0,6.816654205E-1,1.675510859E0
3.667844790E-1,-3.635632992E-1,-9.111111164E-1,7.373228073E-1,1.227170184E0
3.716106250E-1,1.851167679E-1,-8.032042980E-1,1.331620216E0,1.566083575E0
3.764359370E-1,4.939377308E-1,-8.133616447E-1,2.273563385E0,2.464674849E0
3.812620310E-1,7.427148819E-1,-8.926239014E-1,2.766822815E0,3.000618489E0
3.860889580E-1,9.892802238E-1,-9.920059443E-1,2.643226624E0,2.991554469E0
3.909150520E-1,1.149015903E0,-1.124063969E0,2.021844864E0,2.582946768E0
3.957403640E-1,1.045372725E0,-1.366602898E0,1.422744751E0,2.232624070E0
4.005665100E-1,8.528060913E-1,-1.602395773E0,1.010449409E0,2.077488496E0
4.053933850E-1,7.242598534E-1,-1.677622914E0,7.211589813E-1,1.964444261E0
4.102195310E-1,5.536990166E-1,-1.579808831E0,5.396471024E-1,1.758862570E0
4.150448430E-1,4.808373451E-1,-1.396219373E0,4.275712967E-1,1.537351717E0
4.198709370E-1,4.375834465E-1,-1.111341715E0,4.371089935E-1,1.271858464E0
4.246978640E-1,3.018918037E-1,-8.164278269E-1,5.536346436E-1,1.031602819E0
4.295239580E-1,2.415680885E-1,-5.657281876E-1,6.377611160E-1,8.860828205E-1
4.343492700E-1,2.792696953E-1,-4.195458889E-1,7.486495972E-1,9.024890775E-1
4.391754160E-1,4.097845554E-1,-5.132803917E-1,1.124394417E0,1.302168555E0
4.440022910E-1,4.890501499E-1,-7.870755196E-1,1.400384903E0,1.679206896E0
4.488283850E-1,6.851079464E-1,-1.041338444E0,1.515339851E0,1.962145132E0
4.536537500E-1,9.681086540E-1,-1.044220686E0,2.791740417E0,3.133918596E0
4.584798430E-1,1.130455732E0,-7.026932240E-1,3.271363258E0,3.531787861E0
4.633067700E-1,1.040912628E0,-5.246350765E-1,3.188304901E0,3.394706056E0
4.681328640E-1,7.986791134E-1,-5.234963894E-1,2.996521950E0,3.145008838E0
4.729581770E-1,5.977766514E-1,-5.937070847E-1,2.387721062E0,2.532002547E0
